Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,25-047,NOP,BRK,1.0,31.0,10.0,17.0,0.588,2.0,4.0,0.5,6.0,9.0,0.667,0.0,7.0,7.0,5.0,1.0,0.0,4.0,3.0,28.0,20.3,24.0,13.0,8.0,0.6153846153846154,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,11.0,89.0,5.5625,17.900000000000002,88.0,5.5,19.2,3.5,1.7,2.2,-0.4,0.1185753892087865,0.582,0.196,0.326,1.4,1.8,W (+22),W (+22)
2.0,2.0,2022-10-21,25-049,NOP,CHO,1.0,37.48333333333333,8.0,16.0,0.5,1.0,1.0,1.0,11.0,11.0,1.0,0.0,9.0,9.0,7.0,2.0,1.0,5.0,0.0,28.0,25.3,23.0,15.0,7.0,0.4666666666666667,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,15.0,77.0,4.8125,20.9,89.5,5.59375,19.2,3.5,1.7,2.2,-0.4,0.1185753892087865,0.582,0.196,0.326,1.4,1.8,W (+12),W (+12)
3.0,3.0,2022-10-23,25-051,NOP,UTA,1.0,10.816666666666666,4.0,5.0,0.8,1.0,2.0,0.5,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,8.0,0.0,3.0,3.0,1.0,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,4.0,65.0,4.0625,7.6,82.39999999999999,5.15,19.2,3.5,1.7,2.2,-0.4,0.1185753892087865,0.582,0.196,0.326,1.4,1.8,L (-1),L (-1)
4.0,,2022-10-25,25-053,NOP,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,78.0,4.875,0.0,83.1,5.19375,19.2,3.5,1.7,2.2,-0.4,0.1185753892087865,0.582,0.196,0.326,1.4,1.8,W (+2),W (+2)
5.0,,2022-10-28,25-056,NOP,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,81.0,5.0625,0.0,85.3,5.33125,19.2,3.5,1.7,2.2,-0.4,0.1185753892087865,0.582,0.196,0.326,1.4,1.8,L (-13),L (-13)
6.0,,2022-10-30,25-058,NOP,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,96.0,6.0,0.0,95.7,5.98125,19.2,3.5,1.7,2.2,-0.4,0.1185753892087865,0.582,0.196,0.326,1.4,1.8,W (+21),W (+21)
7.0,,2022-11-02,25-061,NOP,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,95.0,5.9375,0.0,91.7,5.73125,19.2,3.5,1.7,2.2,-0.4,0.1185753892087865,0.582,0.196,0.326,1.4,1.8,L (-3),L (-3)
8.0,4.0,2022-11-04,25-063,NOP,GSW,1.0,36.23333333333333,8.0,17.0,0.471,3.0,7.0,0.429,7.0,10.0,0.7,0.0,5.0,5.0,5.0,0.0,2.0,4.0,2.0,26.0,17.7,8.0,10.0,5.0,0.5,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,7.0,62.0,3.875,14.900000000000002,68.4,4.275,19.2,3.5,1.7,2.2,-0.4,0.1185753892087865,0.582,0.196,0.326,1.4,1.8,W (+9),W (+9)
9.0,5.0,2022-11-05,25-064,NOP,ATL,1.0,38.25,7.0,23.0,0.304,2.0,4.0,0.5,0.0,0.0,,1.0,4.0,5.0,7.0,0.0,2.0,1.0,4.0,16.0,8.3,-3.0,19.0,5.0,0.2631578947368421,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,6.0,54.0,3.375,8.299999999999999,71.69999999999999,4.481249999999999,19.2,3.5,1.7,2.2,-0.4,0.1185753892087865,0.582,0.196,0.326,1.4,1.8,L (-3),L (-3)
10.0,6.0,2022-11-07,25-066,NOP,IND,1.0,36.766666666666666,12.0,24.0,0.5,3.0,4.0,0.75,2.0,2.0,1.0,2.0,4.0,6.0,2.0,0.0,2.0,2.0,2.0,29.0,19.6,-5.0,20.0,9.0,0.45,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,11.0,89.0,5.5625,18.8,74.60000000000001,4.6625000000000005,19.2,3.5,1.7,2.2,-0.4,0.1185753892087865,0.582,0.196,0.326,1.4,1.8,L (-7),L (-7)
