Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Lawson,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,11.0,2022-11-07,26-357,MIN,NYK,1.0,38.1,9.0,12.0,0.75,1.0,3.0,0.333,6.0,6.0,1.0,0.0,13.0,13.0,7.0,2.0,1.0,3.0,1.0,25.0,28.3,-9.0,9.0,8.0,0.8888888888888888,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,27.0,45.0,2.3684210526315788,25.90000000000001,53.79999999999999,2.8315789473684205,0.0634084685064251,L (-13),L (-13)
12.0,12.0,2022-11-09,26-359,MIN,PHO,1.0,27.666666666666668,3.0,7.0,0.429,1.0,3.0,0.333,4.0,4.0,1.0,0.0,8.0,8.0,4.0,0.0,1.0,3.0,4.0,11.0,8.6,4.0,4.0,2.0,0.5,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,10.0,60.0,3.1578947368421053,7.0,75.1,3.952631578947368,0.0634084685064251,L (-12),L (-12)
13.0,13.0,2022-11-11,26-361,MIN,MEM,1.0,26.183333333333334,4.0,9.0,0.444,1.0,4.0,0.25,4.0,4.0,1.0,4.0,6.0,10.0,4.0,0.0,0.0,1.0,6.0,13.0,12.3,-5.0,5.0,3.0,0.6,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,13.0,60.0,3.1578947368421053,10.7,74.0,3.8947368421052633,0.0634084685064251,L (-11),L (-11)
14.0,14.0,2022-11-13,26-363,MIN,CLE,1.0,36.6,11.0,16.0,0.688,3.0,6.0,0.5,4.0,6.0,0.667,2.0,11.0,13.0,3.0,1.0,1.0,2.0,5.0,29.0,25.9,15.0,10.0,8.0,0.8,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,23.0,46.0,2.421052631578948,24.3,48.9,2.573684210526316,0.0634084685064251,W (+5),W (+5)
15.0,15.0,2022-11-16,27-001,MIN,ORL,1.0,36.21666666666667,10.0,15.0,0.667,2.0,5.0,0.4,8.0,8.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,2.0,3.0,30.0,26.7,12.0,10.0,8.0,0.8,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,16.0,64.0,3.3684210526315788,23.500000000000007,72.89999999999999,3.8368421052631576,0.0634084685064251,W (+18),W (+18)
16.0,16.0,2022-11-19,27-004,MIN,PHI,1.0,31.65,5.0,14.0,0.357,2.0,7.0,0.286,0.0,0.0,,0.0,8.0,8.0,3.0,1.0,0.0,3.0,4.0,12.0,5.1,2.0,7.0,3.0,0.4285714285714285,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,7.0,61.0,3.210526315789474,5.100000000000001,68.39999999999999,3.6,0.0634084685064251,W (+3),W (+3)
17.0,17.0,2022-11-21,27-006,MIN,MIA,1.0,34.43333333333333,8.0,15.0,0.533,2.0,8.0,0.25,7.0,8.0,0.875,1.0,7.0,8.0,9.0,1.0,1.0,3.0,6.0,25.0,22.7,14.0,7.0,6.0,0.8571428571428571,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,18.0,57.0,3.0,19.9,62.0,3.263157894736842,0.0634084685064251,W (+4),W (+4)
18.0,18.0,2022-11-23,27-008,MIN,IND,1.0,36.81666666666667,8.0,11.0,0.727,1.0,1.0,1.0,6.0,7.0,0.857,3.0,8.0,11.0,8.0,2.0,2.0,5.0,3.0,23.0,25.4,19.0,10.0,7.0,0.7,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,23.0,60.0,3.1578947368421053,23.0,59.69999999999999,3.142105263157894,0.0634084685064251,W (+14),W (+14)
19.0,19.0,2022-11-25,27-010,MIN,CHO,1.0,36.93333333333333,6.0,22.0,0.273,1.0,11.0,0.091,6.0,7.0,0.857,2.0,2.0,4.0,5.0,0.0,2.0,2.0,5.0,19.0,8.5,-4.0,11.0,5.0,0.4545454545454545,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,-1.0,46.0,2.421052631578948,6.099999999999998,45.39999999999999,2.3894736842105258,0.0634084685064251,L (-2),L (-2)
20.0,20.0,2022-11-27,27-012,MIN,GSW,1.0,30.85,8.0,14.0,0.571,1.0,5.0,0.2,4.0,4.0,1.0,0.0,4.0,4.0,4.0,2.0,0.0,6.0,4.0,21.0,12.8,-26.0,9.0,7.0,0.7777777777777778,1,28,11,11,21,27,22,21,2,24,3,11,18,27,25,6,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3544303797468354,0.2115384615384615,0.44,0.2957746478873239,0.3417721518987341,0.3384615384615385,0.4883720930232558,0.1333333333333333,0.3478260869565217,0.1071428571428571,0.2894736842105263,0.2647058823529412,0.3857142857142857,0.4629629629629629,0.2068965517241379,1,6,6,34.0,67.0,59.0,29.0,0.0294117647058823,0.0895522388059701,0.1016949152542373,0.0,19,7.0,28.0,1.4736842105263157,11.199999999999996,45.89999999999999,2.4157894736842103,0.0634084685064251,L (-23),L (-23)
