Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Lawson,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,23-102,MIN,OKC,0,18.25,5.0,11.0,.455,2.0,5.0,.400,1,1.0,1.000,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,13.0,9.2,-1,6.0,3.0,0.5,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,6.0,67.0,3.526315789473684,8.8,76.30000000000001,4.015789473684211,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,W (+7),W (+7)
2.0,2.0,2022-10-21,23-104,MIN,UTA,0,19.633333333333333,8.0,14.0,.571,2.0,5.0,.400,0,1.0,.000,1.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,18.0,13.5,+7,9.0,6.0,0.6666666666666666,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,9.0,57.0,3.0,13.499999999999998,63.50000000000001,3.342105263157895,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,L (-6),L (-6)
3.0,3.0,2022-10-23,23-106,MIN,OKC,0,23.766666666666666,5.0,16.0,.313,1.0,6.0,.167,3,4.0,.750,1.0,5.0,6.0,1.0,2.0,0.0,1.0,0.0,14.0,8.3,+4,10.0,4.0,0.4,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,2.0,79.0,4.157894736842105,7.1,83.29999999999998,4.384210526315789,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,W (+10),W (+10)
4.0,4.0,2022-10-24,23-107,MIN,SAS,0,25.766666666666666,6.0,16.0,.375,1.0,7.0,.143,0,0.0,,3.0,6.0,9.0,2.0,1.0,0.0,0.0,2.0,13.0,9.7,+8,9.0,5.0,0.5555555555555556,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,9.0,56.0,2.9473684210526314,9.7,58.19999999999998,3.063157894736841,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,L (-9),L (-9)
5.0,5.0,2022-10-26,23-109,MIN,SAS,0,21.8,9.0,13.0,.692,3.0,5.0,.600,2,2.0,1.000,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,23.0,20.1,+12,8.0,6.0,0.75,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,14.0,88.0,4.631578947368421,19.3,94.7,4.984210526315789,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,W (+12),W (+12)
6.0,6.0,2022-10-28,23-111,MIN,LAL,0,19.9,3.0,12.0,.250,0.0,3.0,.000,0,0.0,,3.0,2.0,5.0,5.0,1.0,1.0,0.0,2.0,6.0,5.9,-3,9.0,3.0,0.3333333333333333,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,6.0,78.0,4.105263157894737,5.900000000000001,94.5,4.973684210526316,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,W (+9),W (+9)
7.0,7.0,2022-10-30,23-113,MIN,SAS,0,10.316666666666666,1.0,8.0,.125,0.0,3.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-3.6,-8,5.0,1.0,0.2,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,-6.0,70.0,3.684210526315789,-3.6,82.5,4.342105263157895,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,L (-9),L (-9)
8.0,8.0,2022-11-01,23-115,MIN,PHO,0,22.433333333333334,4.0,13.0,.308,0.0,1.0,.000,2,3.0,.667,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,10.0,4.1,+14,12.0,4.0,0.3333333333333333,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,-1.0,72.0,3.789473684210526,3.3,80.60000000000001,4.242105263157895,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,L (-9),L (-9)
9.0,9.0,2022-11-04,23-118,MIN,MIL,0,17.166666666666668,4.0,10.0,.400,2.0,5.0,.400,3,4.0,.750,0.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,13.0,8.0,+13,5.0,2.0,0.4,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,4.0,61.0,3.210526315789474,6.800000000000002,64.60000000000001,3.4000000000000004,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,L (-13),L (-13)
10.0,10.0,2022-11-05,23-119,MIN,HOU,0,15.783333333333331,3.0,5.0,.600,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,7.0,5.8,-8,3.0,2.0,0.6666666666666666,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,4.0,95.0,5.0,5.799999999999999,106.29999999999998,5.594736842105262,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,W (+12),W (+12)
