Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Lawson,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.
0,1,1,2022-10-19,26-238,MIN,,OKC,W (+7),1,34.583333333333336,7.0,16.0,.438,2.0,6.0,.333,4,5,.800,0,5,5,2,1,1,4,5,20,9.8,-8,10.0,5.0,0.5,1,54,40,22,51,54,20,8,21,42,18,28,47,45,33,20,15.0,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.6835443037974683,0.7692307692307693,0.88,0.6455696202531646,0.8307692307692308,0.4651162790697674,0.5333333333333333,0.7241379310344828,0.6086956521739131,0.6428571428571429,0.7368421052631579,0.6911764705882353,0.6428571428571429,0.6111111111111112,0.6896551724137931
1,2,2,2022-10-21,26-240,MIN,,UTA,L (-6),1,39.43333333333333,8.0,17.0,.471,3.0,8.0,.375,4,4,1.000,1,4,5,7,2,1,3,0,23,20.8,-7,9.0,5.0,0.5555555555555556,1,54,40,22,51,54,20,8,21,42,18,28,47,45,33,20,15.0,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.6835443037974683,0.7692307692307693,0.88,0.6455696202531646,0.8307692307692308,0.4651162790697674,0.5333333333333333,0.7241379310344828,0.6086956521739131,0.6428571428571429,0.7368421052631579,0.6911764705882353,0.6428571428571429,0.6111111111111112,0.6896551724137931
2,3,3,2022-10-23,26-242,MIN,@,OKC,W (+10),1,25.8,2.0,5.0,.400,0.0,2.0,.000,2,2,1.000,1,2,3,6,1,0,3,0,6,6.8,0,3.0,2.0,0.6666666666666666,1,54,40,22,51,54,20,8,21,42,18,28,47,45,33,20,15.0,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.6835443037974683,0.7692307692307693,0.88,0.6455696202531646,0.8307692307692308,0.4651162790697674,0.5333333333333333,0.7241379310344828,0.6086956521739131,0.6428571428571429,0.7368421052631579,0.6911764705882353,0.6428571428571429,0.6111111111111112,0.6896551724137931
3,4,4,2022-10-24,26-243,MIN,,SAS,L (-9),1,31.383333333333333,8.0,16.0,.500,3.0,6.0,.500,6,6,1.000,2,3,5,7,2,1,3,2,25,23.1,-12,10.0,5.0,0.5,1,54,40,22,51,54,20,8,21,42,18,28,47,45,33,20,15.0,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.6835443037974683,0.7692307692307693,0.88,0.6455696202531646,0.8307692307692308,0.4651162790697674,0.5333333333333333,0.7241379310344828,0.6086956521739131,0.6428571428571429,0.7368421052631579,0.6911764705882353,0.6428571428571429,0.6111111111111112,0.6896551724137931
4,5,5,2022-10-26,26-245,MIN,,SAS,W (+12),1,28.983333333333334,5.0,10.0,.500,1.0,4.0,.250,1,4,.250,0,2,2,9,0,1,4,1,12,9.0,0,6.0,4.0,0.6666666666666666,1,54,40,22,51,54,20,8,21,42,18,28,47,45,33,20,15.0,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.6835443037974683,0.7692307692307693,0.88,0.6455696202531646,0.8307692307692308,0.4651162790697674,0.5333333333333333,0.7241379310344828,0.6086956521739131,0.6428571428571429,0.7368421052631579,0.6911764705882353,0.6428571428571429,0.6111111111111112,0.6896551724137931
5,6,6,2022-10-28,26-247,MIN,,LAL,W (+9),1,30.8,4.0,15.0,.267,2.0,7.0,.286,1,2,.500,0,4,4,7,7,1,2,1,11,13.1,+12,8.0,2.0,0.25,1,54,40,22,51,54,20,8,21,42,18,28,47,45,33,20,15.0,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.6835443037974683,0.7692307692307693,0.88,0.6455696202531646,0.8307692307692308,0.4651162790697674,0.5333333333333333,0.7241379310344828,0.6086956521739131,0.6428571428571429,0.7368421052631579,0.6911764705882353,0.6428571428571429,0.6111111111111112,0.6896551724137931
6,7,7,2022-10-30,26-249,MIN,@,SAS,L (-9),1,27.833333333333332,5.0,17.0,.294,0.0,7.0,.000,0,0,,2,3,5,4,0,1,2,4,10,2.3,0,10.0,5.0,0.5,1,54,40,22,51,54,20,8,21,42,18,28,47,45,33,20,15.0,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.6835443037974683,0.7692307692307693,0.88,0.6455696202531646,0.8307692307692308,0.4651162790697674,0.5333333333333333,0.7241379310344828,0.6086956521739131,0.6428571428571429,0.7368421052631579,0.6911764705882353,0.6428571428571429,0.6111111111111112,0.6896551724137931
7,8,8,2022-11-01,26-251,MIN,@,PHO,L (-9),1,22.633333333333333,2.0,8.0,.250,1.0,3.0,.333,0,0,,0,4,4,4,0,0,4,3,5,-1.0,-20,5.0,1.0,0.2,1,54,40,22,51,54,20,8,21,42,18,28,47,45,33,20,15.0,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.6835443037974683,0.7692307692307693,0.88,0.6455696202531646,0.8307692307692308,0.4651162790697674,0.5333333333333333,0.7241379310344828,0.6086956521739131,0.6428571428571429,0.7368421052631579,0.6911764705882353,0.6428571428571429,0.6111111111111112,0.6896551724137931
8,9,9,2022-11-04,26-254,MIN,,MIL,L (-13),1,27.166666666666668,3.0,15.0,.200,2.0,8.0,.250,1,2,.500,1,2,3,4,0,0,3,0,9,0.4,-18,7.0,1.0,0.1428571428571428,1,54,40,22,51,54,20,8,21,42,18,28,47,45,33,20,15.0,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.6835443037974683,0.7692307692307693,0.88,0.6455696202531646,0.8307692307692308,0.4651162790697674,0.5333333333333333,0.7241379310344828,0.6086956521739131,0.6428571428571429,0.7368421052631579,0.6911764705882353,0.6428571428571429,0.6111111111111112,0.6896551724137931
9,10,10,2022-11-05,26-255,MIN,,HOU,W (+12),1,26.633333333333333,5.0,9.0,.556,1.0,3.0,.333,2,3,.667,3,3,6,4,2,0,3,4,13,11.5,+2,6.0,4.0,0.6666666666666666,1,54,40,22,51,54,20,8,21,42,18,28,47,45,33,20,15.0,79.0,52.0,25.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.6835443037974683,0.7692307692307693,0.88,0.6455696202531646,0.8307692307692308,0.4651162790697674,0.5333333333333333,0.7241379310344828,0.6086956521739131,0.6428571428571429,0.7368421052631579,0.6911764705882353,0.6428571428571429,0.6111111111111112,0.6896551724137931
