Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.
0,1,1,2022-11-16,22-124,MIN,@,ORL,W (+18),0,1.7666666666666666,1.0,1.0,1.000,0.0,0.0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,-5,1.0,1.0,1.0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0
1,2,,2022-11-19,22-127,MIN,@,PHI,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0
2,3,,2022-11-21,22-129,MIN,,MIA,W (+4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0
3,4,,2022-11-23,22-131,MIN,@,IND,W (+14),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0
4,5,,2022-11-25,22-133,MIN,@,CHO,L (-2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0
5,6,,2022-11-27,22-135,MIN,,GSW,L (-23),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0
6,7,,2022-11-28,22-136,MIN,@,WAS,L (-15),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0
7,8,,2022-11-30,22-138,MIN,,MEM,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0
8,9,,2022-12-03,22-141,MIN,,OKC,L (-7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0
9,10,,2022-12-07,22-145,MIN,,IND,W (+6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0
