Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,25-029,MIN,OKC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,25,16,28,36,33,15,14,11,30,22,32,27,22,22,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,68.0,70.0,54.0,29.0,0.0,0.4683544303797468,0.4807692307692308,0.64,0.3943661971830985,0.4556962025316455,0.5076923076923077,0.3488372093023256,0.9333333333333332,0.3793103448275862,0.4347826086956521,0.7857142857142857,0.4705882352941176,0.3857142857142857,0.4074074074074074,0.7586206896551724,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,73.0,4.055555555555555,0.0,85.1,4.727777777777778,14.5,0.7,-3.2,-2.4,-0.8,0.0146408257847061,0.655,0.272,0.704,-0.1,0.4,W (+7),W (+7)
2.0,,2022-10-21,25-031,MIN,UTA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,25,16,28,36,33,15,14,11,30,22,32,27,22,22,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,68.0,70.0,54.0,29.0,0.0,0.4683544303797468,0.4807692307692308,0.64,0.3943661971830985,0.4556962025316455,0.5076923076923077,0.3488372093023256,0.9333333333333332,0.3793103448275862,0.4347826086956521,0.7857142857142857,0.4705882352941176,0.3857142857142857,0.4074074074074074,0.7586206896551724,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,66.0,3.6666666666666665,0.0,77.0,4.277777777777778,14.5,0.7,-3.2,-2.4,-0.8,0.0146408257847061,0.655,0.272,0.704,-0.1,0.4,L (-6),L (-6)
3.0,1.0,2022-10-23,25-033,MIN,OKC,0,2.4833333333333334,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,-12,0.0,0.0,,37,25,16,28,36,33,15,14,11,30,22,32,27,22,22,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,68.0,70.0,54.0,29.0,0.0,0.4683544303797468,0.4807692307692308,0.64,0.3943661971830985,0.4556962025316455,0.5076923076923077,0.3488372093023256,0.9333333333333332,0.3793103448275862,0.4347826086956521,0.7857142857142857,0.4705882352941176,0.3857142857142857,0.4074074074074074,0.7586206896551724,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,2.0,79.0,4.388888888888889,0.1999999999999999,90.2,5.011111111111111,14.5,0.7,-3.2,-2.4,-0.8,0.0146408257847061,0.655,0.272,0.704,-0.1,0.4,W (+10),W (+10)
4.0,2.0,2022-10-24,25-034,MIN,SAS,0,1.1166666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+2,0.0,0.0,,37,25,16,28,36,33,15,14,11,30,22,32,27,22,22,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,68.0,70.0,54.0,29.0,0.0,0.4683544303797468,0.4807692307692308,0.64,0.3943661971830985,0.4556962025316455,0.5076923076923077,0.3488372093023256,0.9333333333333332,0.3793103448275862,0.4347826086956521,0.7857142857142857,0.4705882352941176,0.3857142857142857,0.4074074074074074,0.7586206896551724,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,0.0,65.0,3.611111111111111,0.0,67.89999999999998,3.772222222222221,14.5,0.7,-3.2,-2.4,-0.8,0.0146408257847061,0.655,0.272,0.704,-0.1,0.4,L (-9),L (-9)
5.0,,2022-10-26,25-036,MIN,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,25,16,28,36,33,15,14,11,30,22,32,27,22,22,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,68.0,70.0,54.0,29.0,0.0,0.4683544303797468,0.4807692307692308,0.64,0.3943661971830985,0.4556962025316455,0.5076923076923077,0.3488372093023256,0.9333333333333332,0.3793103448275862,0.4347826086956521,0.7857142857142857,0.4705882352941176,0.3857142857142857,0.4074074074074074,0.7586206896551724,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,102.0,5.666666666666667,0.0,114.0,6.333333333333333,14.5,0.7,-3.2,-2.4,-0.8,0.0146408257847061,0.655,0.272,0.704,-0.1,0.4,W (+12),W (+12)
6.0,,2022-10-28,25-038,MIN,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,25,16,28,36,33,15,14,11,30,22,32,27,22,22,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,68.0,70.0,54.0,29.0,0.0,0.4683544303797468,0.4807692307692308,0.64,0.3943661971830985,0.4556962025316455,0.5076923076923077,0.3488372093023256,0.9333333333333332,0.3793103448275862,0.4347826086956521,0.7857142857142857,0.4705882352941176,0.3857142857142857,0.4074074074074074,0.7586206896551724,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,84.0,4.666666666666667,0.0,100.4,5.577777777777778,14.5,0.7,-3.2,-2.4,-0.8,0.0146408257847061,0.655,0.272,0.704,-0.1,0.4,W (+9),W (+9)
7.0,,2022-10-30,25-040,MIN,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,25,16,28,36,33,15,14,11,30,22,32,27,22,22,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,68.0,70.0,54.0,29.0,0.0,0.4683544303797468,0.4807692307692308,0.64,0.3943661971830985,0.4556962025316455,0.5076923076923077,0.3488372093023256,0.9333333333333332,0.3793103448275862,0.4347826086956521,0.7857142857142857,0.4705882352941176,0.3857142857142857,0.4074074074074074,0.7586206896551724,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,64.0,3.555555555555556,0.0,78.89999999999999,4.383333333333333,14.5,0.7,-3.2,-2.4,-0.8,0.0146408257847061,0.655,0.272,0.704,-0.1,0.4,L (-9),L (-9)
8.0,,2022-11-01,25-042,MIN,PHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,25,16,28,36,33,15,14,11,30,22,32,27,22,22,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,68.0,70.0,54.0,29.0,0.0,0.4683544303797468,0.4807692307692308,0.64,0.3943661971830985,0.4556962025316455,0.5076923076923077,0.3488372093023256,0.9333333333333332,0.3793103448275862,0.4347826086956521,0.7857142857142857,0.4705882352941176,0.3857142857142857,0.4074074074074074,0.7586206896551724,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,71.0,3.9444444444444446,0.0,83.9,4.661111111111111,14.5,0.7,-3.2,-2.4,-0.8,0.0146408257847061,0.655,0.272,0.704,-0.1,0.4,L (-9),L (-9)
9.0,,2022-11-04,25-045,MIN,MIL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,25,16,28,36,33,15,14,11,30,22,32,27,22,22,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,68.0,70.0,54.0,29.0,0.0,0.4683544303797468,0.4807692307692308,0.64,0.3943661971830985,0.4556962025316455,0.5076923076923077,0.3488372093023256,0.9333333333333332,0.3793103448275862,0.4347826086956521,0.7857142857142857,0.4705882352941176,0.3857142857142857,0.4074074074074074,0.7586206896551724,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,65.0,3.611111111111111,0.0,71.4,3.966666666666667,14.5,0.7,-3.2,-2.4,-0.8,0.0146408257847061,0.655,0.272,0.704,-0.1,0.4,L (-13),L (-13)
10.0,3.0,2022-11-05,25-046,MIN,HOU,0,1.9833333333333327,1.0,1.0,1.000,0.0,0.0,,1,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.7,-7,1.0,1.0,1.0,37,25,16,28,36,33,15,14,11,30,22,32,27,22,22,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,68.0,70.0,54.0,29.0,0.0,0.4683544303797468,0.4807692307692308,0.64,0.3943661971830985,0.4556962025316455,0.5076923076923077,0.3488372093023256,0.9333333333333332,0.3793103448275862,0.4347826086956521,0.7857142857142857,0.4705882352941176,0.3857142857142857,0.4074074074074074,0.7586206896551724,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,0.0,99.0,5.5,1.3000000000000005,110.79999999999998,6.155555555555555,14.5,0.7,-3.2,-2.4,-0.8,0.0146408257847061,0.655,0.272,0.704,-0.1,0.4,W (+12),W (+12)
