Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,27-040,CHO,,WAS,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,48.0,2.823529411764706,0.0,73.10000000000001,4.300000000000001
11,12,,2022-11-09,27-042,CHO,,POR,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,24.0,1.411764705882353,0.0,45.6,2.682352941176471
12,13,,2022-11-10,27-043,CHO,@,MIA,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,33.0,1.9411764705882355,0.0,47.7,2.8058823529411767
13,14,,2022-11-12,27-045,CHO,@,MIA,L (-17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,52.0,3.0588235294117645,0.0,76.89999999999999,4.523529411764706
14,15,,2022-11-14,27-047,CHO,@,ORL,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,42.0,2.4705882352941178,0.0,65.59999999999998,3.8588235294117634
15,16,,2022-11-16,27-049,CHO,,IND,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,47.0,2.764705882352941,0.0,75.3,4.429411764705883
16,17,,2022-11-18,27-051,CHO,@,CLE,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,63.0,3.7058823529411766,0.0,81.5,4.794117647058823
17,18,,2022-11-20,27-053,CHO,@,WAS,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,50.0,2.9411764705882355,0.0,64.1,3.770588235294117
18,19,,2022-11-23,27-056,CHO,,PHI,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,33.0,1.9411764705882355,0.0,52.39999999999999,3.0823529411764703
19,20,,2022-11-25,27-058,CHO,,MIN,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,52.0,3.0588235294117645,0.0,76.4,4.4941176470588236
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-28,27-061,CHO,@,BOS,L (-35),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,51.0,3.0,0.0,66.19999999999999,3.894117647058823
22,22,,2022-12-02,27-065,CHO,,WAS,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,53.0,3.117647058823529,0.0,72.2,4.247058823529412
23,23,,2022-12-03,27-066,CHO,,MIL,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,16.0,0.9411764705882352,0.0,30.300000000000004,1.782352941176471
24,24,,2022-12-05,27-068,CHO,,LAC,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,54.0,3.176470588235294,0.0,73.39999999999999,4.317647058823529
25,25,,2022-12-07,27-070,CHO,@,BRK,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,43.0,2.5294117647058822,0.0,61.400000000000006,3.6117647058823534
26,26,,2022-12-09,27-072,CHO,,NYK,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,36.0,2.117647058823529,0.0,50.7,2.9823529411764707
27,27,,2022-12-11,27-074,CHO,@,PHI,L (-18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,39.0,2.294117647058824,0.0,64.39999999999999,3.7882352941176465
28,28,,2022-12-14,27-077,CHO,,DET,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,34.0,2.0,0.0,64.20000000000002,3.776470588235295
29,29,,2022-12-16,27-079,CHO,,ATL,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,53.0,3.117647058823529,0.0,74.1,4.358823529411764
