Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,10,2022-11-07,21-148,CHO,,WAS,L (-8),0,5:15,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,+4,0.0,0.0,,22,1,16,20,36,32,33,30,33,4,13,14,36,39,39,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,4.0,0.4782608695652174,0.1428571428571428,0.2962962962962963,0.4,0.45,0.9411764705882352,0.4782608695652174,0.6521739130434783,0.6875,0.8,0.3611111111111111,0.3255813953488372,0.4556962025316455,0.6,0.5342465753424658,0.4126984126984127,0.0,22,8,67.0,32.0,0.0,0.25,18,2.0,46.0,2.555555555555556,1.0,72.10000000000001,4.005555555555556
11,12,11,2022-11-09,21-150,CHO,,POR,L (-10),0,11:26,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,-1.9,-19,1.0,0.0,0.0,22,1,16,20,36,32,33,30,33,4,13,14,36,39,39,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,4.0,0.4782608695652174,0.1428571428571428,0.2962962962962963,0.4,0.45,0.9411764705882352,0.4782608695652174,0.6521739130434783,0.6875,0.8,0.3611111111111111,0.3255813953488372,0.4556962025316455,0.6,0.5342465753424658,0.4126984126984127,0.0,22,8,67.0,32.0,0.0,0.25,18,0.0,24.0,1.3333333333333333,-1.9,47.49999999999999,2.6388888888888884
12,13,12,2022-11-10,21-151,CHO,@,MIA,L (-5),0,7:37,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.4,-4,0.0,0.0,,22,1,16,20,36,32,33,30,33,4,13,14,36,39,39,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,4.0,0.4782608695652174,0.1428571428571428,0.2962962962962963,0.4,0.45,0.9411764705882352,0.4782608695652174,0.6521739130434783,0.6875,0.8,0.3611111111111111,0.3255813953488372,0.4556962025316455,0.6,0.5342465753424658,0.4126984126984127,0.0,22,8,67.0,32.0,0.0,0.25,18,1.0,32.0,1.7777777777777777,-0.4000000000000001,48.1,2.6722222222222225
13,14,13,2022-11-12,21-153,CHO,@,MIA,L (-17),0,19:36,3.0,3.0,1.000,0.0,0.0,,2,2.0,1.000,0.0,6.0,6.0,2.0,0.0,0.0,0.0,2.0,8.0,9.5,+6,3.0,3.0,1.0,22,1,16,20,36,32,33,30,33,4,13,14,36,39,39,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,4.0,0.4782608695652174,0.1428571428571428,0.2962962962962963,0.4,0.45,0.9411764705882352,0.4782608695652174,0.6521739130434783,0.6875,0.8,0.3611111111111111,0.3255813953488372,0.4556962025316455,0.6,0.5342465753424658,0.4126984126984127,0.0,22,8,67.0,32.0,0.0,0.25,18,11.0,41.0,2.2777777777777777,8.7,68.19999999999999,3.7888888888888883
14,15,14,2022-11-14,21-155,CHO,@,ORL,W (+7),0,24:47,4.0,4.0,1.000,2.0,2.0,1.000,4,5.0,.800,0.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,14.0,14.8,0,2.0,2.0,1.0,22,1,16,20,36,32,33,30,33,4,13,14,36,39,39,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,4.0,0.4782608695652174,0.1428571428571428,0.2962962962962963,0.4,0.45,0.9411764705882352,0.4782608695652174,0.6521739130434783,0.6875,0.8,0.3611111111111111,0.3255813953488372,0.4556962025316455,0.6,0.5342465753424658,0.4126984126984127,0.0,22,8,67.0,32.0,0.0,0.25,18,12.0,30.0,1.6666666666666667,13.2,52.39999999999999,2.9111111111111105
15,16,15,2022-11-16,21-157,CHO,,IND,L (-12),0,21:37,2.0,4.0,.500,1.0,2.0,.500,2,2.0,1.000,0.0,3.0,3.0,1.0,2.0,1.0,0.0,2.0,7.0,8.5,-2,2.0,1.0,0.5,22,1,16,20,36,32,33,30,33,4,13,14,36,39,39,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,4.0,0.4782608695652174,0.1428571428571428,0.2962962962962963,0.4,0.45,0.9411764705882352,0.4782608695652174,0.6521739130434783,0.6875,0.8,0.3611111111111111,0.3255813953488372,0.4556962025316455,0.6,0.5342465753424658,0.4126984126984127,0.0,22,8,67.0,32.0,0.0,0.25,18,8.0,39.0,2.1666666666666665,7.699999999999997,67.6,3.755555555555555
16,17,16,2022-11-18,21-159,CHO,@,CLE,L (-10),0,13:29,0.0,5.0,.000,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,-2.5,-4,3.0,0.0,0.0,22,1,16,20,36,32,33,30,33,4,13,14,36,39,39,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,4.0,0.4782608695652174,0.1428571428571428,0.2962962962962963,0.4,0.45,0.9411764705882352,0.4782608695652174,0.6521739130434783,0.6875,0.8,0.3611111111111111,0.3255813953488372,0.4556962025316455,0.6,0.5342465753424658,0.4126984126984127,0.0,22,8,67.0,32.0,0.0,0.25,18,-2.0,65.0,3.611111111111111,-2.5,84.0,4.666666666666667
17,18,,2022-11-20,21-161,CHO,@,WAS,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,22,1,16,20,36,32,33,30,33,4,13,14,36,39,39,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,4.0,0.4782608695652174,0.1428571428571428,0.2962962962962963,0.4,0.45,0.9411764705882352,0.4782608695652174,0.6521739130434783,0.6875,0.8,0.3611111111111111,0.3255813953488372,0.4556962025316455,0.6,0.5342465753424658,0.4126984126984127,0.0,22,8,67.0,32.0,0.0,0.25,18,,50.0,2.7777777777777777,0.0,64.1,3.561111111111111
18,19,17,2022-11-23,21-164,CHO,,PHI,W (+6),0,16:03,2.0,6.0,.333,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,4.0,3.3,+11,5.0,2.0,0.4,22,1,16,20,36,32,33,30,33,4,13,14,36,39,39,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,4.0,0.4782608695652174,0.1428571428571428,0.2962962962962963,0.4,0.45,0.9411764705882352,0.4782608695652174,0.6521739130434783,0.6875,0.8,0.3611111111111111,0.3255813953488372,0.4556962025316455,0.6,0.5342465753424658,0.4126984126984127,0.0,22,8,67.0,32.0,0.0,0.25,18,2.0,31.0,1.7222222222222223,3.299999999999999,49.1,2.727777777777778
19,20,18,2022-11-25,21-166,CHO,,MIN,W (+2),0,25:33,4.0,7.0,.571,1.0,1.0,1.000,5,6.0,.833,2.0,5.0,7.0,3.0,1.0,0.0,1.0,1.0,14.0,14.9,+2,6.0,3.0,0.5,22,1,16,20,36,32,33,30,33,4,13,14,36,39,39,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,4.0,0.4782608695652174,0.1428571428571428,0.2962962962962963,0.4,0.45,0.9411764705882352,0.4782608695652174,0.6521739130434783,0.6875,0.8,0.3611111111111111,0.3255813953488372,0.4556962025316455,0.6,0.5342465753424658,0.4126984126984127,0.0,22,8,67.0,32.0,0.0,0.25,18,11.0,41.0,2.2777777777777777,12.900000000000002,63.5,3.5277777777777777
