Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,28-216,CHO,@,SAS,W (+27),1,29:43,10.0,19.0,.526,4.0,7.0,.571,0,0.0,,0.0,6.0,6.0,6.0,0.0,1.0,4.0,1.0,24.0,17.0,+18,12.0,6.0,0.5,32,7,44,39,46,17,51,33,38,2,33,34,46,48,58,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,44.0,4.0,0.6956521739130435,1.0,0.8148148148148148,0.78,0.575,0.5,0.7391304347826086,0.717391304347826,0.7916666666666666,0.4,0.9166666666666666,0.7906976744186046,0.5822784810126582,0.7384615384615385,0.7945205479452054,0.5909090909090909,0.0,28,10,67.0,32.0,0.0,0.3125,18,14.0,67.0,3.7222222222222223,17.000000000000007,84.3,4.683333333333334
1,2,2,2022-10-21,28-218,CHO,,NOP,L (-12),1,36:08,7.0,24.0,.292,2.0,8.0,.250,7,8.0,.875,4.0,4.0,8.0,11.0,1.0,2.0,2.0,1.0,23.0,20.3,-5,16.0,5.0,0.3125,32,7,44,39,46,17,51,33,38,2,33,34,46,48,58,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,44.0,4.0,0.6956521739130435,1.0,0.8148148148148148,0.78,0.575,0.5,0.7391304347826086,0.717391304347826,0.7916666666666666,0.4,0.9166666666666666,0.7906976744186046,0.5822784810126582,0.7384615384615385,0.7945205479452054,0.5909090909090909,0.0,28,10,67.0,32.0,0.0,0.3125,18,11.0,41.0,2.2777777777777777,17.500000000000004,53.2,2.9555555555555557
2,3,,2022-10-23,28-220,CHO,@,ATL,W (+17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,7,44,39,46,17,51,33,38,2,33,34,46,48,58,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,44.0,4.0,0.6956521739130435,1.0,0.8148148148148148,0.78,0.575,0.5,0.7391304347826086,0.717391304347826,0.7916666666666666,0.4,0.9166666666666666,0.7906976744186046,0.5822784810126582,0.7384615384615385,0.7945205479452054,0.5909090909090909,0.0,28,10,67.0,32.0,0.0,0.3125,18,,84.0,4.666666666666667,0.0,102.1,5.672222222222222
3,4,,2022-10-26,28-223,CHO,@,NYK,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,7,44,39,46,17,51,33,38,2,33,34,46,48,58,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,44.0,4.0,0.6956521739130435,1.0,0.8148148148148148,0.78,0.575,0.5,0.7391304347826086,0.717391304347826,0.7916666666666666,0.4,0.9166666666666666,0.7906976744186046,0.5822784810126582,0.7384615384615385,0.7945205479452054,0.5909090909090909,0.0,28,10,67.0,32.0,0.0,0.3125,18,,59.0,3.2777777777777777,0.0,83.19999999999999,4.622222222222222
4,5,,2022-10-28,28-225,CHO,@,ORL,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,7,44,39,46,17,51,33,38,2,33,34,46,48,58,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,44.0,4.0,0.6956521739130435,1.0,0.8148148148148148,0.78,0.575,0.5,0.7391304347826086,0.717391304347826,0.7916666666666666,0.4,0.9166666666666666,0.7906976744186046,0.5822784810126582,0.7384615384615385,0.7945205479452054,0.5909090909090909,0.0,28,10,67.0,32.0,0.0,0.3125,18,,43.0,2.388888888888889,0.0,57.6,3.2
5,6,,2022-10-29,28-226,CHO,,GSW,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,7,44,39,46,17,51,33,38,2,33,34,46,48,58,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,44.0,4.0,0.6956521739130435,1.0,0.8148148148148148,0.78,0.575,0.5,0.7391304347826086,0.717391304347826,0.7916666666666666,0.4,0.9166666666666666,0.7906976744186046,0.5822784810126582,0.7384615384615385,0.7945205479452054,0.5909090909090909,0.0,28,10,67.0,32.0,0.0,0.3125,18,,49.0,2.7222222222222223,0.0,74.3,4.127777777777777
6,7,,2022-10-31,28-228,CHO,,SAC,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,7,44,39,46,17,51,33,38,2,33,34,46,48,58,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,44.0,4.0,0.6956521739130435,1.0,0.8148148148148148,0.78,0.575,0.5,0.7391304347826086,0.717391304347826,0.7916666666666666,0.4,0.9166666666666666,0.7906976744186046,0.5822784810126582,0.7384615384615385,0.7945205479452054,0.5909090909090909,0.0,28,10,67.0,32.0,0.0,0.3125,18,,59.0,3.2777777777777777,0.0,65.8,3.6555555555555554
7,8,,2022-11-02,28-230,CHO,@,CHI,L (-18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,7,44,39,46,17,51,33,38,2,33,34,46,48,58,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,44.0,4.0,0.6956521739130435,1.0,0.8148148148148148,0.78,0.575,0.5,0.7391304347826086,0.717391304347826,0.7916666666666666,0.4,0.9166666666666666,0.7906976744186046,0.5822784810126582,0.7384615384615385,0.7945205479452054,0.5909090909090909,0.0,28,10,67.0,32.0,0.0,0.3125,18,,41.0,2.2777777777777777,0.0,57.10000000000001,3.1722222222222225
8,9,,2022-11-04,28-232,CHO,@,MEM,L (-31),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,7,44,39,46,17,51,33,38,2,33,34,46,48,58,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,44.0,4.0,0.6956521739130435,1.0,0.8148148148148148,0.78,0.575,0.5,0.7391304347826086,0.717391304347826,0.7916666666666666,0.4,0.9166666666666666,0.7906976744186046,0.5822784810126582,0.7384615384615385,0.7945205479452054,0.5909090909090909,0.0,28,10,67.0,32.0,0.0,0.3125,18,,42.0,2.333333333333333,0.0,62.6,3.477777777777778
9,10,3,2022-11-05,28-233,CHO,,BRK,L (-4),1,36:21,9.0,24.0,.375,6.0,14.0,.429,1,1.0,1.000,1.0,6.0,7.0,3.0,0.0,0.0,4.0,1.0,25.0,12.0,+6,10.0,3.0,0.3,32,7,44,39,46,17,51,33,38,2,33,34,46,48,58,26,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,44.0,4.0,0.6956521739130435,1.0,0.8148148148148148,0.78,0.575,0.5,0.7391304347826086,0.717391304347826,0.7916666666666666,0.4,0.9166666666666666,0.7906976744186046,0.5822784810126582,0.7384615384615385,0.7945205479452054,0.5909090909090909,0.0,28,10,67.0,32.0,0.0,0.3125,18,6.0,24.0,1.3333333333333333,11.600000000000009,32.4,1.7999999999999998
