Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,22-031,CHO,@,SAS,W (+27),0,14:26,0.0,5.0,.000,0.0,4.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.6,-2,1.0,0.0,0.0,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,-2.0,83.0,4.611111111111111,-2.6,103.90000000000002,5.772222222222223
1,2,2,2022-10-21,22-033,CHO,,NOP,L (-12),0,13:09,0.0,5.0,.000,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.9,-1,2.0,0.0,0.0,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,-4.0,56.0,3.111111111111111,-3.9,74.60000000000001,4.144444444444445
2,3,3,2022-10-23,22-035,CHO,@,ATL,W (+17),0,17:40,3.0,9.0,.333,2.0,4.0,.500,2,2.0,1.000,0.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,10.0,6.0,+20,5.0,1.0,0.2,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,3.0,81.0,4.5,5.200000000000001,96.9,5.383333333333334
3,4,4,2022-10-26,22-038,CHO,@,NYK,L (-3),0,17:10,5.0,9.0,.556,2.0,5.0,.400,1,2.0,.500,0.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,13.0,10.2,+9,4.0,3.0,0.75,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,7.0,52.0,2.888888888888889,9.8,73.4,4.077777777777778
4,5,5,2022-10-28,22-040,CHO,@,ORL,L (-20),0,26:09,4.0,11.0,.364,3.0,7.0,.429,0,2.0,.000,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,11.0,1.2,-7,4.0,1.0,0.25,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,-2.0,45.0,2.5,1.200000000000001,56.39999999999999,3.133333333333333
5,6,6,2022-10-29,22-041,CHO,,GSW,W (+7),0,14:44,0.0,5.0,.000,0.0,4.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.9,-3,1.0,0.0,0.0,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,-3.0,52.0,2.888888888888889,-2.9,77.19999999999999,4.288888888888888
6,7,7,2022-10-31,22-043,CHO,,SAC,L (-7),0,16:26,2.0,4.0,.500,2.0,3.0,.667,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,6.0,2.5,+12,1.0,0.0,0.0,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,3.0,56.0,3.111111111111111,2.5,63.3,3.5166666666666666
7,8,8,2022-11-02,22-045,CHO,@,CHI,L (-18),0,20:47,2.0,7.0,.286,1.0,5.0,.200,2,2.0,1.000,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,4.1,-8,2.0,1.0,0.5,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,2.0,39.0,2.1666666666666665,3.2999999999999994,53.8,2.988888888888889
8,9,9,2022-11-04,22-047,CHO,@,MEM,L (-31),0,27:38,7.0,10.0,.700,0.0,0.0,,0,0.0,,2.0,2.0,4.0,5.0,1.0,0.0,1.0,2.0,14.0,14.5,0,10.0,7.0,0.7,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,13.0,29.0,1.6111111111111112,14.5,48.1,2.6722222222222225
9,10,10,2022-11-05,22-048,CHO,,BRK,L (-4),0,28:53,1.0,9.0,.111,0.0,4.0,.000,1,2.0,.500,1.0,4.0,5.0,5.0,1.0,2.0,4.0,1.0,3.0,0.1,0,5.0,1.0,0.2,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,1.0,29.0,1.6111111111111112,-0.2999999999999985,44.30000000000001,2.4611111111111117
