Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,24-328,CHO,@,SAS,W (+27),0,21:11,5.0,7.0,.714,2.0,2.0,1.000,0,0.0,,0.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,12.0,14.1,+28,5.0,3.0,0.6,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,14.0,67.0,3.7222222222222223,14.1,87.2,4.844444444444445
1,2,2,2022-10-21,24-330,CHO,,NOP,L (-12),0,22:24,4.0,7.0,.571,2.0,3.0,.667,0,0.0,,0.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,10.0,10.7,+2,4.0,2.0,0.5,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,10.0,42.0,2.333333333333333,10.7,60.00000000000001,3.333333333333334
2,3,3,2022-10-23,24-332,CHO,@,ATL,W (+17),1,33:30,8.0,16.0,.500,1.0,2.0,.500,1,1.0,1.000,1.0,1.0,2.0,6.0,3.0,1.0,2.0,3.0,18.0,15.7,+9,14.0,7.0,0.5,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,11.0,73.0,4.055555555555555,15.3,86.80000000000001,4.822222222222223
3,4,4,2022-10-26,24-335,CHO,@,NYK,L (-3),1,36:37,7.0,16.0,.438,0.0,3.0,.000,0,2.0,.000,0.0,3.0,3.0,11.0,2.0,0.0,1.0,5.0,14.0,12.4,-5,13.0,7.0,0.5384615384615384,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,11.0,48.0,2.6666666666666665,12.4,70.8,3.933333333333333
4,5,5,2022-10-28,24-337,CHO,@,ORL,L (-20),1,27:25,2.0,7.0,.286,0.0,1.0,.000,0,0.0,,1.0,3.0,4.0,4.0,1.0,0.0,2.0,2.0,4.0,2.5,-14,6.0,2.0,0.3333333333333333,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,4.0,39.0,2.1666666666666665,2.5,55.1,3.0611111111111113
5,6,6,2022-10-29,24-338,CHO,,GSW,W (+7),1,37:05,4.0,10.0,.400,2.0,2.0,1.000,3,4.0,.750,2.0,7.0,9.0,8.0,0.0,0.0,2.0,2.0,13.0,13.5,+12,8.0,2.0,0.25,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,14.0,35.0,1.9444444444444444,12.300000000000002,62.000000000000014,3.444444444444445
6,7,7,2022-10-31,24-340,CHO,,SAC,L (-7),1,36:38,7.0,13.0,.538,1.0,5.0,.200,0,0.0,,2.0,5.0,7.0,8.0,6.0,1.0,4.0,4.0,15.0,18.3,-1,8.0,6.0,0.75,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,20.0,39.0,2.1666666666666665,18.3,47.49999999999999,2.6388888888888884
7,8,8,2022-11-02,24-342,CHO,@,CHI,L (-18),1,32:10,5.0,9.0,.556,0.0,1.0,.000,0,0.0,,0.0,5.0,5.0,6.0,2.0,0.0,1.0,0.0,10.0,12.4,0,8.0,5.0,0.625,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,13.0,28.0,1.5555555555555556,12.4,44.70000000000001,2.483333333333334
8,9,9,2022-11-04,24-344,CHO,@,MEM,L (-31),1,28:40,3.0,7.0,.429,1.0,2.0,.500,1,2.0,.500,0.0,3.0,3.0,5.0,2.0,1.0,3.0,1.0,8.0,7.6,-28,5.0,2.0,0.4,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,7.0,35.0,1.9444444444444444,7.200000000000001,55.39999999999999,3.0777777777777775
9,10,10,2022-11-05,24-345,CHO,,BRK,L (-4),1,6:36,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,-3,1.0,0.0,0.0,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,2.0,28.0,1.5555555555555556,0.6,43.400000000000006,2.4111111111111114
10,11,11,2022-11-07,24-347,CHO,,WAS,L (-8),1,34:12,1.0,11.0,.091,0.0,2.0,.000,1,2.0,.500,2.0,3.0,5.0,10.0,0.0,3.0,1.0,2.0,3.0,4.9,-5,9.0,1.0,0.1111111111111111,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,7.0,41.0,2.2777777777777777,4.5,68.60000000000001,3.811111111111112
