Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,26-314,CHO,@,SAS,W (+27),1,22:38,5.0,10.0,.500,1.0,3.0,.333,2,3.0,.667,0.0,4.0,4.0,2.0,3.0,0.0,0.0,4.0,13.0,11.6,+36,7.0,4.0,0.5714285714285714,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,9.0,72.0,4.0,10.8,90.5,5.027777777777778
1,2,2,2022-10-21,26-316,CHO,,NOP,L (-12),1,30:12,6.0,13.0,.462,2.0,6.0,.333,1,2.0,.500,1.0,3.0,4.0,0.0,3.0,0.0,2.0,4.0,15.0,8.9,-24,7.0,4.0,0.5714285714285714,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,5.0,47.0,2.611111111111111,8.499999999999996,62.20000000000001,3.455555555555556
2,3,3,2022-10-23,26-318,CHO,@,ATL,W (+17),1,32:30,9.0,20.0,.450,3.0,6.0,.500,3,3.0,1.000,2.0,8.0,10.0,0.0,1.0,0.0,1.0,4.0,24.0,15.8,+12,14.0,6.0,0.4285714285714285,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,11.0,73.0,4.055555555555555,14.6,87.5,4.861111111111111
3,4,4,2022-10-26,26-321,CHO,@,NYK,L (-3),1,35:12,7.0,18.0,.389,1.0,6.0,.167,2,3.0,.667,1.0,4.0,5.0,0.0,2.0,1.0,2.0,5.0,17.0,7.4,-10,12.0,6.0,0.5,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,2.0,57.0,3.1666666666666665,6.599999999999998,76.6,4.2555555555555555
4,5,5,2022-10-28,26-323,CHO,@,ORL,L (-20),1,21:51,4.0,16.0,.250,2.0,10.0,.200,2,4.0,.500,2.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,12.0,2.9,-13,6.0,2.0,0.3333333333333333,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,-4.0,47.0,2.611111111111111,2.1000000000000014,55.49999999999999,3.083333333333333
5,6,6,2022-10-29,26-324,CHO,,GSW,W (+7),1,38:16,7.0,18.0,.389,3.0,7.0,.429,1,2.0,.500,1.0,4.0,5.0,5.0,0.0,1.0,0.0,0.0,18.0,13.9,+10,11.0,4.0,0.3636363636363636,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,9.0,40.0,2.2222222222222223,13.499999999999998,60.80000000000001,3.377777777777778
6,7,7,2022-10-31,26-326,CHO,,SAC,L (-7),1,25:01,6.0,13.0,.462,4.0,8.0,.500,0,0.0,,0.0,4.0,4.0,2.0,1.0,0.0,2.0,2.0,16.0,10.1,-10,5.0,2.0,0.4,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,8.0,51.0,2.833333333333333,10.099999999999996,55.70000000000001,3.094444444444445
7,8,8,2022-11-02,26-328,CHO,@,CHI,L (-18),1,30:02,9.0,17.0,.529,5.0,11.0,.455,1,2.0,.500,1.0,4.0,5.0,1.0,2.0,1.0,0.0,2.0,24.0,19.8,-10,6.0,4.0,0.6666666666666666,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,14.0,27.0,1.5,19.40000000000001,37.7,2.0944444444444446
8,9,9,2022-11-04,26-330,CHO,@,MEM,L (-31),1,24:36,5.0,12.0,.417,2.0,5.0,.400,5,6.0,.833,0.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,17.0,10.0,-40,7.0,3.0,0.4285714285714285,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,1.0,41.0,2.2777777777777777,8.0,54.6,3.033333333333333
9,10,10,2022-11-05,26-331,CHO,,BRK,L (-4),1,31:06,5.0,14.0,.357,4.0,11.0,.364,4,7.0,.571,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,18.0,6.3,-14,3.0,1.0,0.3333333333333333,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,-3.0,33.0,1.8333333333333333,4.700000000000001,39.30000000000001,2.183333333333334
