Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,21-084,DET,ORL,0,16.183333333333334,1.0,9.0,.111,0.0,3.0,.000,1,1.0,1.000,0.0,5.0,5.0,5.0,3.0,1.0,0.0,1.0,3.0,5.4,+6,6.0,1.0,0.1666666666666666,46,55,3,10,12,56,52,49,47,68,63,12,39,37,12,27,48,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,0.9322033898305084,1.0,1.0,1.0,0.9032258064516128,0.9285714285714286,0.9423076923076924,0.94,0.918918918918919,0.9402985074626866,0.8571428571428571,0.6190476190476191,0.8809523809523809,0.7058823529411765,0.84375,0.6233766233766234,0.0,22,15,19,40.0,36.0,45.0,47.0,0.4888888888888889,0.375,0.0,0.4042553191489361,20,7.0,73.0,3.65,4.999999999999999,89.80000000000001,4.49,0.0868988391376451,W (+4),W (+4)
2.0,2.0,2022-10-21,21-086,DET,NYK,0,17.516666666666666,0.0,5.0,.000,0.0,3.0,.000,1,2.0,.500,0.0,1.0,1.0,5.0,0.0,0.0,1.0,4.0,1.0,-1.7,-14,2.0,0.0,0.0,46,55,3,10,12,56,52,49,47,68,63,12,39,37,12,27,48,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,0.9322033898305084,1.0,1.0,1.0,0.9032258064516128,0.9285714285714286,0.9423076923076924,0.94,0.918918918918919,0.9402985074626866,0.8571428571428571,0.6190476190476191,0.8809523809523809,0.7058823529411765,0.84375,0.6233766233766234,0.0,22,15,19,40.0,36.0,45.0,47.0,0.4888888888888889,0.375,0.0,0.4042553191489361,20,-1.0,49.0,2.45,-2.1000000000000005,59.2,2.96,0.0868988391376451,L (-24),L (-24)
3.0,3.0,2022-10-22,21-087,DET,IND,0,17.483333333333334,2.0,4.0,.500,1.0,3.0,.333,0,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,5.0,4.3,-12,1.0,1.0,1.0,46,55,3,10,12,56,52,49,47,68,63,12,39,37,12,27,48,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,0.9322033898305084,1.0,1.0,1.0,0.9032258064516128,0.9285714285714286,0.9423076923076924,0.94,0.918918918918919,0.9402985074626866,0.8571428571428571,0.6190476190476191,0.8809523809523809,0.7058823529411765,0.84375,0.6233766233766234,0.0,22,15,19,40.0,36.0,45.0,47.0,0.4888888888888889,0.375,0.0,0.4042553191489361,20,4.0,66.0,3.3,4.3,82.30000000000001,4.115,0.0868988391376451,L (-9),L (-9)
4.0,4.0,2022-10-25,21-090,DET,WAS,0,16.95,0.0,6.0,.000,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,-8.0,-3,5.0,0.0,0.0,46,55,3,10,12,56,52,49,47,68,63,12,39,37,12,27,48,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,0.9322033898305084,1.0,1.0,1.0,0.9032258064516128,0.9285714285714286,0.9423076923076924,0.94,0.918918918918919,0.9402985074626866,0.8571428571428571,0.6190476190476191,0.8809523809523809,0.7058823529411765,0.84375,0.6233766233766234,0.0,22,15,19,40.0,36.0,45.0,47.0,0.4888888888888889,0.375,0.0,0.4042553191489361,20,-8.0,43.0,2.15,-7.999999999999999,62.7,3.135,0.0868988391376451,L (-21),L (-21)
5.0,5.0,2022-10-26,21-091,DET,ATL,0,15.7,2.0,6.0,.333,1.0,2.0,.500,0,0.0,,1.0,0.0,1.0,4.0,1.0,1.0,0.0,4.0,5.0,5.2,-8,4.0,1.0,0.25,46,55,3,10,12,56,52,49,47,68,63,12,39,37,12,27,48,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,0.9322033898305084,1.0,1.0,1.0,0.9032258064516128,0.9285714285714286,0.9423076923076924,0.94,0.918918918918919,0.9402985074626866,0.8571428571428571,0.6190476190476191,0.8809523809523809,0.7058823529411765,0.84375,0.6233766233766234,0.0,22,15,19,40.0,36.0,45.0,47.0,0.4888888888888889,0.375,0.0,0.4042553191489361,20,6.0,60.0,3.0,5.200000000000001,68.49999999999999,3.4249999999999994,0.0868988391376451,L (-5),L (-5)
6.0,6.0,2022-10-28,21-093,DET,ATL,0,18.6,1.0,6.0,.167,0.0,1.0,.000,0,0.0,,2.0,3.0,5.0,4.0,0.0,0.0,2.0,2.0,2.0,0.5,-10,5.0,1.0,0.2,46,55,3,10,12,56,52,49,47,68,63,12,39,37,12,27,48,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,0.9322033898305084,1.0,1.0,1.0,0.9032258064516128,0.9285714285714286,0.9423076923076924,0.94,0.918918918918919,0.9402985074626866,0.8571428571428571,0.6190476190476191,0.8809523809523809,0.7058823529411765,0.84375,0.6233766233766234,0.0,22,15,19,40.0,36.0,45.0,47.0,0.4888888888888889,0.375,0.0,0.4042553191489361,20,3.0,47.0,2.35,0.5,72.9,3.645000000000001,0.0868988391376451,L (-24),L (-24)
7.0,7.0,2022-10-30,21-095,DET,GSW,0,17.883333333333333,2.0,7.0,.286,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,5.0,1.0,0.0,2.0,4.0,4.0,1.4,-1,6.0,2.0,0.3333333333333333,46,55,3,10,12,56,52,49,47,68,63,12,39,37,12,27,48,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,0.9322033898305084,1.0,1.0,1.0,0.9032258064516128,0.9285714285714286,0.9423076923076924,0.94,0.918918918918919,0.9402985074626866,0.8571428571428571,0.6190476190476191,0.8809523809523809,0.7058823529411765,0.84375,0.6233766233766234,0.0,22,15,19,40.0,36.0,45.0,47.0,0.4888888888888889,0.375,0.0,0.4042553191489361,20,3.0,74.0,3.7,1.399999999999999,90.09999999999998,4.504999999999999,0.0868988391376451,W (+14),W (+14)
8.0,8.0,2022-10-31,21-096,DET,MIL,0,16.55,0.0,4.0,.000,0.0,1.0,.000,0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,-1.3,+7,3.0,0.0,0.0,46,55,3,10,12,56,52,49,47,68,63,12,39,37,12,27,48,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,0.9322033898305084,1.0,1.0,1.0,0.9032258064516128,0.9285714285714286,0.9423076923076924,0.94,0.918918918918919,0.9402985074626866,0.8571428571428571,0.6190476190476191,0.8809523809523809,0.7058823529411765,0.84375,0.6233766233766234,0.0,22,15,19,40.0,36.0,45.0,47.0,0.4888888888888889,0.375,0.0,0.4042553191489361,20,2.0,50.0,2.5,-1.3,70.6,3.53,0.0868988391376451,L (-2),L (-2)
9.0,9.0,2022-11-02,21-098,DET,MIL,0,22.48333333333333,1.0,5.0,.200,1.0,2.0,.500,2,2.0,1.000,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,5.0,0.5,-3,3.0,0.0,0.0,46,55,3,10,12,56,52,49,47,68,63,12,39,37,12,27,48,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,0.9322033898305084,1.0,1.0,1.0,0.9032258064516128,0.9285714285714286,0.9423076923076924,0.94,0.918918918918919,0.9402985074626866,0.8571428571428571,0.6190476190476191,0.8809523809523809,0.7058823529411765,0.84375,0.6233766233766234,0.0,22,15,19,40.0,36.0,45.0,47.0,0.4888888888888889,0.375,0.0,0.4042553191489361,20,-2.0,41.0,2.05,-0.2999999999999989,39.19999999999999,1.9599999999999995,0.0868988391376451,L (-25),L (-25)
10.0,10.0,2022-11-04,21-100,DET,CLE,0,18.23333333333333,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,0.2,-17,2.0,1.0,0.5,46,55,3,10,12,56,52,49,47,68,63,12,39,37,12,27,48,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,0.9322033898305084,1.0,1.0,1.0,0.9032258064516128,0.9285714285714286,0.9423076923076924,0.94,0.918918918918919,0.9402985074626866,0.8571428571428571,0.6190476190476191,0.8809523809523809,0.7058823529411765,0.84375,0.6233766233766234,0.0,22,15,19,40.0,36.0,45.0,47.0,0.4888888888888889,0.375,0.0,0.4042553191489361,20,1.0,26.0,1.3,0.2000000000000001,36.1,1.805,0.0868988391376451,L (-24),L (-24)
