Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,21-024,DET,ORL,1.0,35.1,6.0,16.0,0.375,2.0,6.0,0.333,4.0,4.0,1.0,0.0,1.0,1.0,10.0,1.0,0.0,3.0,2.0,18.0,13.7,3.0,10.0,4.0,0.4,12,2,1,10,12,10,12,11,9,1,8,12,4,5,12,51.0,59.0,3.0,10.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.2033898305084746,0.6666666666666666,0.1,0.1612903225806451,0.2142857142857142,0.1923076923076923,0.24,0.1486486486486486,0.1343283582089552,0.0714285714285714,0.1269841269841269,0.1578947368421052,0.0,0.2352941176470588,0.15625,0.1558441558441558,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,15,7.0,73.0,4.866666666666666,12.1,82.7,5.513333333333334,14.0,-0.1,-0.7,-0.1,-0.6,0.0264234383637368,0.492,0.272,0.192,0.1,-0.4,W (+4),W (+4)
2.0,2.0,2022-10-21,21-026,DET,NYK,1.0,32.45,6.0,16.0,0.375,1.0,6.0,0.167,2.0,4.0,0.5,4.0,4.0,8.0,7.0,2.0,0.0,4.0,3.0,15.0,11.1,0.0,10.0,5.0,0.5,12,2,1,10,12,10,12,11,9,1,8,12,4,5,12,51.0,59.0,3.0,10.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.2033898305084746,0.6666666666666666,0.1,0.1612903225806451,0.2142857142857142,0.1923076923076923,0.24,0.1486486486486486,0.1343283582089552,0.0714285714285714,0.1269841269841269,0.1578947368421052,0.0,0.2352941176470588,0.15625,0.1558441558441558,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,15,8.0,40.0,2.6666666666666665,10.299999999999995,46.79999999999999,3.119999999999999,14.0,-0.1,-0.7,-0.1,-0.6,0.0264234383637368,0.492,0.272,0.192,0.1,-0.4,L (-24),L (-24)
3.0,3.0,2022-10-22,21-027,DET,IND,1.0,33.05,8.0,19.0,0.421,4.0,8.0,0.5,2.0,2.0,1.0,2.0,2.0,4.0,4.0,1.0,0.0,2.0,3.0,22.0,14.5,4.0,11.0,4.0,0.3636363636363636,12,2,1,10,12,10,12,11,9,1,8,12,4,5,12,51.0,59.0,3.0,10.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.2033898305084746,0.6666666666666666,0.1,0.1612903225806451,0.2142857142857142,0.1923076923076923,0.24,0.1486486486486486,0.1343283582089552,0.0714285714285714,0.1269841269841269,0.1578947368421052,0.0,0.2352941176470588,0.15625,0.1558441558441558,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,15,8.0,62.0,4.133333333333334,13.700000000000005,72.89999999999999,4.859999999999999,14.0,-0.1,-0.7,-0.1,-0.6,0.0264234383637368,0.492,0.272,0.192,0.1,-0.4,L (-9),L (-9)
4.0,4.0,2022-10-25,21-030,DET,WAS,1.0,32.016666666666666,7.0,19.0,0.368,0.0,2.0,0.0,5.0,6.0,0.833,0.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,19.0,7.9,-18.0,17.0,7.0,0.4117647058823529,12,2,1,10,12,10,12,11,9,1,8,12,4,5,12,51.0,59.0,3.0,10.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.2033898305084746,0.6666666666666666,0.1,0.1612903225806451,0.2142857142857142,0.1923076923076923,0.24,0.1486486486486486,0.1343283582089552,0.0714285714285714,0.1269841269841269,0.1578947368421052,0.0,0.2352941176470588,0.15625,0.1558441558441558,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,15,-2.0,37.0,2.466666666666667,5.899999999999999,48.79999999999999,3.2533333333333325,14.0,-0.1,-0.7,-0.1,-0.6,0.0264234383637368,0.492,0.272,0.192,0.1,-0.4,L (-21),L (-21)
5.0,5.0,2022-10-26,21-031,DET,ATL,1.0,36.53333333333333,11.0,25.0,0.44,1.0,3.0,0.333,3.0,4.0,0.75,0.0,8.0,8.0,6.0,1.0,2.0,7.0,2.0,26.0,13.7,-8.0,22.0,10.0,0.4545454545454545,12,2,1,10,12,10,12,11,9,1,8,12,4,5,12,51.0,59.0,3.0,10.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.2033898305084746,0.6666666666666666,0.1,0.1612903225806451,0.2142857142857142,0.1923076923076923,0.24,0.1486486486486486,0.1343283582089552,0.0714285714285714,0.1269841269841269,0.1578947368421052,0.0,0.2352941176470588,0.15625,0.1558441558441558,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,15,7.0,59.0,3.933333333333333,12.499999999999996,61.2,4.08,14.0,-0.1,-0.7,-0.1,-0.6,0.0264234383637368,0.492,0.272,0.192,0.1,-0.4,L (-5),L (-5)
6.0,6.0,2022-10-28,21-033,DET,ATL,1.0,33.15,14.0,23.0,0.609,0.0,3.0,0.0,7.0,8.0,0.875,1.0,8.0,9.0,8.0,1.0,0.0,1.0,5.0,35.0,30.8,-13.0,20.0,14.0,0.7,12,2,1,10,12,10,12,11,9,1,8,12,4,5,12,51.0,59.0,3.0,10.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.2033898305084746,0.6666666666666666,0.1,0.1612903225806451,0.2142857142857142,0.1923076923076923,0.24,0.1486486486486486,0.1343283582089552,0.0714285714285714,0.1269841269841269,0.1578947368421052,0.0,0.2352941176470588,0.15625,0.1558441558441558,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,15,21.0,29.0,1.933333333333333,28.000000000000004,45.4,3.0266666666666664,14.0,-0.1,-0.7,-0.1,-0.6,0.0264234383637368,0.492,0.272,0.192,0.1,-0.4,L (-24),L (-24)
7.0,7.0,2022-10-30,21-035,DET,GSW,1.0,39.23333333333333,9.0,20.0,0.45,1.0,3.0,0.333,4.0,4.0,1.0,1.0,9.0,10.0,9.0,0.0,1.0,4.0,4.0,23.0,17.4,16.0,17.0,8.0,0.4705882352941176,12,2,1,10,12,10,12,11,9,1,8,12,4,5,12,51.0,59.0,3.0,10.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.2033898305084746,0.6666666666666666,0.1,0.1612903225806451,0.2142857142857142,0.1923076923076923,0.24,0.1486486486486486,0.1343283582089552,0.0714285714285714,0.1269841269841269,0.1578947368421052,0.0,0.2352941176470588,0.15625,0.1558441558441558,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,15,15.0,62.0,4.133333333333334,15.799999999999995,75.69999999999999,5.046666666666666,14.0,-0.1,-0.7,-0.1,-0.6,0.0264234383637368,0.492,0.272,0.192,0.1,-0.4,W (+14),W (+14)
8.0,8.0,2022-10-31,21-036,DET,MIL,1.0,36.4,11.0,23.0,0.478,3.0,9.0,0.333,2.0,2.0,1.0,1.0,5.0,6.0,7.0,1.0,1.0,5.0,2.0,27.0,18.3,-7.0,14.0,8.0,0.5714285714285714,12,2,1,10,12,10,12,11,9,1,8,12,4,5,12,51.0,59.0,3.0,10.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.2033898305084746,0.6666666666666666,0.1,0.1612903225806451,0.2142857142857142,0.1923076923076923,0.24,0.1486486486486486,0.1343283582089552,0.0714285714285714,0.1269841269841269,0.1578947368421052,0.0,0.2352941176470588,0.15625,0.1558441558441558,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,15,12.0,40.0,2.6666666666666665,17.500000000000004,51.8,3.453333333333333,14.0,-0.1,-0.7,-0.1,-0.6,0.0264234383637368,0.492,0.272,0.192,0.1,-0.4,L (-2),L (-2)
9.0,9.0,2022-11-02,21-038,DET,MIL,1.0,31.23333333333333,5.0,13.0,0.385,0.0,2.0,0.0,0.0,0.0,,0.0,6.0,6.0,4.0,1.0,0.0,2.0,3.0,10.0,5.3,-24.0,11.0,5.0,0.4545454545454545,12,2,1,10,12,10,12,11,9,1,8,12,4,5,12,51.0,59.0,3.0,10.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.2033898305084746,0.6666666666666666,0.1,0.1612903225806451,0.2142857142857142,0.1923076923076923,0.24,0.1486486486486486,0.1343283582089552,0.0714285714285714,0.1269841269841269,0.1578947368421052,0.0,0.2352941176470588,0.15625,0.1558441558441558,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,15,6.0,33.0,2.2,5.300000000000002,33.599999999999994,2.24,14.0,-0.1,-0.7,-0.1,-0.6,0.0264234383637368,0.492,0.272,0.192,0.1,-0.4,L (-25),L (-25)
10.0,10.0,2022-11-04,21-040,DET,CLE,1.0,31.416666666666668,7.0,18.0,0.389,3.0,6.0,0.5,2.0,3.0,0.667,1.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,19.0,14.5,-8.0,12.0,4.0,0.3333333333333333,12,2,1,10,12,10,12,11,9,1,8,12,4,5,12,51.0,59.0,3.0,10.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.2033898305084746,0.6666666666666666,0.1,0.1612903225806451,0.2142857142857142,0.1923076923076923,0.24,0.1486486486486486,0.1343283582089552,0.0714285714285714,0.1269841269841269,0.1578947368421052,0.0,0.2352941176470588,0.15625,0.1558441558441558,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,15,9.0,18.0,1.2,13.699999999999998,22.6,1.5066666666666668,14.0,-0.1,-0.7,-0.1,-0.6,0.0264234383637368,0.492,0.272,0.192,0.1,-0.4,L (-24),L (-24)
