Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,25-247,DET,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,80.0,4.705882352941177,0.0,94.8,5.576470588235294,18.6,0.0,2.9,2.1,0.8,0.0004422332780541,1.064,0.0,2.0,0.0,0.0,W (+4),W (+4)
2.0,1.0,2022-10-21,25-249,DET,NYK,0,4.65,1.0,1.0,1.000,0.0,0.0,,2,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.7,-3,1.0,1.0,1.0,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,1.0,47.0,2.764705882352941,2.9000000000000004,54.19999999999998,3.188235294117646,18.6,0.0,2.9,2.1,0.8,0.0004422332780541,1.064,0.0,2.0,0.0,0.0,L (-24),L (-24)
3.0,,2022-10-22,25-250,DET,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,70.0,4.117647058823529,0.0,86.60000000000001,5.094117647058824,18.6,0.0,2.9,2.1,0.8,0.0004422332780541,1.064,0.0,2.0,0.0,0.0,L (-9),L (-9)
4.0,,2022-10-25,25-253,DET,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,35.0,2.0588235294117645,0.0,54.7,3.217647058823529,18.6,0.0,2.9,2.1,0.8,0.0004422332780541,1.064,0.0,2.0,0.0,0.0,L (-21),L (-21)
5.0,,2022-10-26,25-254,DET,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,66.0,3.882352941176471,0.0,73.69999999999999,4.3352941176470585,18.6,0.0,2.9,2.1,0.8,0.0004422332780541,1.064,0.0,2.0,0.0,0.0,L (-5),L (-5)
6.0,,2022-10-28,25-256,DET,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,50.0,2.9411764705882355,0.0,73.4,4.31764705882353,18.6,0.0,2.9,2.1,0.8,0.0004422332780541,1.064,0.0,2.0,0.0,0.0,L (-24),L (-24)
7.0,,2022-10-30,25-258,DET,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,77.0,4.529411764705882,0.0,91.5,5.382352941176471,18.6,0.0,2.9,2.1,0.8,0.0004422332780541,1.064,0.0,2.0,0.0,0.0,W (+14),W (+14)
8.0,,2022-10-31,25-259,DET,MIL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,52.0,3.0588235294117645,0.0,69.3,4.076470588235294,18.6,0.0,2.9,2.1,0.8,0.0004422332780541,1.064,0.0,2.0,0.0,0.0,L (-2),L (-2)
9.0,2.0,2022-11-02,25-261,DET,MIL,0,2.25,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,+3,0.0,0.0,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,1.0,38.0,2.235294117647059,0.3,38.6,2.2705882352941176,18.6,0.0,2.9,2.1,0.8,0.0004422332780541,1.064,0.0,2.0,0.0,0.0,L (-25),L (-25)
10.0,,2022-11-04,25-263,DET,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,27.0,1.588235294117647,0.0,36.3,2.135294117647059,18.6,0.0,2.9,2.1,0.8,0.0004422332780541,1.064,0.0,2.0,0.0,0.0,L (-24),L (-24)
