Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,31-060,DET,ORL,0,15.116666666666667,3.0,3.0,1.000,2.0,2.0,1.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,8.0,7.6,-1,1.0,1.0,1.0,34,41,2,10,10,38,35,36,55,52,10,31,56,37,8,28,34,51.0,59.0,3.0,10.0,12.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6949152542372882,0.6666666666666666,1.0,0.8333333333333334,0.6785714285714286,0.6730769230769231,0.72,0.7432432432432432,0.7761194029850746,0.7142857142857143,0.492063492063492,0.7368421052631579,0.8809523809523809,0.4705882352941176,0.875,0.4415584415584415,0.0,23,16,20,40.0,36.0,45.0,47.0,0.5111111111111111,0.4,0.0,0.425531914893617,20,8.0,72.0,3.6,7.6,87.2,4.36,12.1,1.8,-1.5,-0.7,-0.8,0.047208402432283,0.558,0.513,0.205,0.2,1.5,W (+4),W (+4)
2.0,2.0,2022-10-21,31-062,DET,NYK,0,12.3,0.0,1.0,.000,0.0,0.0,,0,0.0,,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,-26,1.0,0.0,0.0,34,41,2,10,10,38,35,36,55,52,10,31,56,37,8,28,34,51.0,59.0,3.0,10.0,12.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6949152542372882,0.6666666666666666,1.0,0.8333333333333334,0.6785714285714286,0.6730769230769231,0.72,0.7432432432432432,0.7761194029850746,0.7142857142857143,0.492063492063492,0.7368421052631579,0.8809523809523809,0.4705882352941176,0.875,0.4415584415584415,0.0,23,16,20,40.0,36.0,45.0,47.0,0.5111111111111111,0.4,0.0,0.425531914893617,20,3.0,45.0,2.25,0.9999999999999996,56.09999999999999,2.805,12.1,1.8,-1.5,-0.7,-0.8,0.047208402432283,0.558,0.513,0.205,0.2,1.5,L (-24),L (-24)
3.0,3.0,2022-10-22,31-063,DET,IND,0,16.05,3.0,6.0,.500,2.0,3.0,.667,2,2.0,1.000,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,10.0,8.6,-5,3.0,1.0,0.3333333333333333,34,41,2,10,10,38,35,36,55,52,10,31,56,37,8,28,34,51.0,59.0,3.0,10.0,12.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6949152542372882,0.6666666666666666,1.0,0.8333333333333334,0.6785714285714286,0.6730769230769231,0.72,0.7432432432432432,0.7761194029850746,0.7142857142857143,0.492063492063492,0.7368421052631579,0.8809523809523809,0.4705882352941176,0.875,0.4415584415584415,0.0,23,16,20,40.0,36.0,45.0,47.0,0.5111111111111111,0.4,0.0,0.425531914893617,20,6.0,64.0,3.2,7.8,78.8,3.94,12.1,1.8,-1.5,-0.7,-0.8,0.047208402432283,0.558,0.513,0.205,0.2,1.5,L (-9),L (-9)
4.0,4.0,2022-10-25,31-066,DET,WAS,0,14.333333333333334,2.0,5.0,.400,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,5.0,3.3,0,3.0,1.0,0.3333333333333333,34,41,2,10,10,38,35,36,55,52,10,31,56,37,8,28,34,51.0,59.0,3.0,10.0,12.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6949152542372882,0.6666666666666666,1.0,0.8333333333333334,0.6785714285714286,0.6730769230769231,0.72,0.7432432432432432,0.7761194029850746,0.7142857142857143,0.492063492063492,0.7368421052631579,0.8809523809523809,0.4705882352941176,0.875,0.4415584415584415,0.0,23,16,20,40.0,36.0,45.0,47.0,0.5111111111111111,0.4,0.0,0.425531914893617,20,2.0,33.0,1.65,3.299999999999999,51.399999999999984,2.5699999999999994,12.1,1.8,-1.5,-0.7,-0.8,0.047208402432283,0.558,0.513,0.205,0.2,1.5,L (-21),L (-21)
5.0,5.0,2022-10-26,31-067,DET,ATL,1,31.633333333333333,0.0,3.0,.000,0.0,1.0,.000,2,2.0,1.000,0.0,3.0,3.0,6.0,0.0,0.0,0.0,4.0,2.0,3.4,+2,2.0,0.0,0.0,34,41,2,10,10,38,35,36,55,52,10,31,56,37,8,28,34,51.0,59.0,3.0,10.0,12.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6949152542372882,0.6666666666666666,1.0,0.8333333333333334,0.6785714285714286,0.6730769230769231,0.72,0.7432432432432432,0.7761194029850746,0.7142857142857143,0.492063492063492,0.7368421052631579,0.8809523809523809,0.4705882352941176,0.875,0.4415584415584415,0.0,23,16,20,40.0,36.0,45.0,47.0,0.5111111111111111,0.4,0.0,0.425531914893617,20,6.0,60.0,3.0,2.6,71.1,3.555,12.1,1.8,-1.5,-0.7,-0.8,0.047208402432283,0.558,0.513,0.205,0.2,1.5,L (-5),L (-5)
6.0,6.0,2022-10-28,31-069,DET,ATL,0,16.083333333333332,0.0,3.0,.000,0.0,2.0,.000,1,2.0,.500,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,-0.4,-5,1.0,0.0,0.0,34,41,2,10,10,38,35,36,55,52,10,31,56,37,8,28,34,51.0,59.0,3.0,10.0,12.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6949152542372882,0.6666666666666666,1.0,0.8333333333333334,0.6785714285714286,0.6730769230769231,0.72,0.7432432432432432,0.7761194029850746,0.7142857142857143,0.492063492063492,0.7368421052631579,0.8809523809523809,0.4705882352941176,0.875,0.4415584415584415,0.0,23,16,20,40.0,36.0,45.0,47.0,0.5111111111111111,0.4,0.0,0.425531914893617,20,-2.0,52.0,2.6,-0.8,74.19999999999999,3.71,12.1,1.8,-1.5,-0.7,-0.8,0.047208402432283,0.558,0.513,0.205,0.2,1.5,L (-24),L (-24)
7.0,7.0,2022-10-30,31-071,DET,GSW,0,4.933333333333334,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,0.0,,34,41,2,10,10,38,35,36,55,52,10,31,56,37,8,28,34,51.0,59.0,3.0,10.0,12.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6949152542372882,0.6666666666666666,1.0,0.8333333333333334,0.6785714285714286,0.6730769230769231,0.72,0.7432432432432432,0.7761194029850746,0.7142857142857143,0.492063492063492,0.7368421052631579,0.8809523809523809,0.4705882352941176,0.875,0.4415584415584415,0.0,23,16,20,40.0,36.0,45.0,47.0,0.5111111111111111,0.4,0.0,0.425531914893617,20,0.0,77.0,3.85,0.0,91.5,4.575,12.1,1.8,-1.5,-0.7,-0.8,0.047208402432283,0.558,0.513,0.205,0.2,1.5,W (+14),W (+14)
8.0,,2022-10-31,31-072,DET,MIL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,34,41,2,10,10,38,35,36,55,52,10,31,56,37,8,28,34,51.0,59.0,3.0,10.0,12.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6949152542372882,0.6666666666666666,1.0,0.8333333333333334,0.6785714285714286,0.6730769230769231,0.72,0.7432432432432432,0.7761194029850746,0.7142857142857143,0.492063492063492,0.7368421052631579,0.8809523809523809,0.4705882352941176,0.875,0.4415584415584415,0.0,23,16,20,40.0,36.0,45.0,47.0,0.5111111111111111,0.4,0.0,0.425531914893617,20,,52.0,2.6,0.0,69.3,3.465,12.1,1.8,-1.5,-0.7,-0.8,0.047208402432283,0.558,0.513,0.205,0.2,1.5,L (-2),L (-2)
9.0,8.0,2022-11-02,31-074,DET,MIL,0,10.45,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,5.4,-6,1.0,1.0,1.0,34,41,2,10,10,38,35,36,55,52,10,31,56,37,8,28,34,51.0,59.0,3.0,10.0,12.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6949152542372882,0.6666666666666666,1.0,0.8333333333333334,0.6785714285714286,0.6730769230769231,0.72,0.7432432432432432,0.7761194029850746,0.7142857142857143,0.492063492063492,0.7368421052631579,0.8809523809523809,0.4705882352941176,0.875,0.4415584415584415,0.0,23,16,20,40.0,36.0,45.0,47.0,0.5111111111111111,0.4,0.0,0.425531914893617,20,8.0,31.0,1.55,5.4,33.5,1.675,12.1,1.8,-1.5,-0.7,-0.8,0.047208402432283,0.558,0.513,0.205,0.2,1.5,L (-25),L (-25)
10.0,9.0,2022-11-04,31-076,DET,CLE,0,6.083333333333333,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.9,-1,0.0,0.0,,34,41,2,10,10,38,35,36,55,52,10,31,56,37,8,28,34,51.0,59.0,3.0,10.0,12.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6949152542372882,0.6666666666666666,1.0,0.8333333333333334,0.6785714285714286,0.6730769230769231,0.72,0.7432432432432432,0.7761194029850746,0.7142857142857143,0.492063492063492,0.7368421052631579,0.8809523809523809,0.4705882352941176,0.875,0.4415584415584415,0.0,23,16,20,40.0,36.0,45.0,47.0,0.5111111111111111,0.4,0.0,0.425531914893617,20,1.0,26.0,1.3,0.8999999999999999,35.4,1.77,12.1,1.8,-1.5,-0.7,-0.8,0.047208402432283,0.558,0.513,0.205,0.2,1.5,L (-24),L (-24)
