Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Shared Games with Stanley Umude,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude
0,1,1,2022-10-19,23-069,DET,,ORL,W (+4),0,13.166666666666666,1.0,8.0,.125,1.0,6.0,.167,0,0,,0,3,3,0,0,0,2,2,3,-4.1,-2,2.0,0.0,0.0,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
1,2,2,2022-10-21,23-071,DET,@,NYK,L (-24),0,11.366666666666667,1.0,6.0,.167,0.0,3.0,.000,0,0,,1,1,2,0,0,0,0,0,2,-0.8,-22,3.0,1.0,0.3333333333333333,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
2,3,,2022-10-22,23-072,DET,@,IND,L (-9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
3,4,3,2022-10-25,23-075,DET,@,WAS,L (-21),0,3.3166666666666664,1.0,2.0,.500,0.0,1.0,.000,0,0,,0,0,0,0,1,0,0,3,2,0.8,-5,1.0,1.0,1.0,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
4,5,4,2022-10-26,23-076,DET,,ATL,L (-5),0,5.433333333333334,0.0,0.0,,0.0,0.0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,+3,0.0,0.0,,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
5,6,5,2022-10-28,23-078,DET,,ATL,L (-24),0,3.05,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,0.0,0.0,,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
6,7,,2022-10-30,23-080,DET,,GSW,W (+14),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
7,8,,2022-10-31,23-081,DET,@,MIL,L (-2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
8,9,6,2022-11-02,23-083,DET,@,MIL,L (-25),0,5.066666666666666,2.0,3.0,.667,0.0,1.0,.000,0,0,,0,0,0,0,0,0,0,0,4,2.7,+3,2.0,2.0,1.0,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
9,10,7,2022-11-04,23-085,DET,,CLE,L (-24),0,17.616666666666667,1.0,3.0,.333,1.0,3.0,.333,0,0,,1,1,2,1,0,1,1,2,3,1.9,0,0.0,0.0,,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
