Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Shared Games with Stanley Umude,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude
0,1,,2022-10-19,28-192,DET,,ORL,W (+4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,10,13,2,0,4,8,14,10,8,13,7,5,13,12,3,8,13,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0
1,2,,2022-10-21,28-194,DET,@,NYK,L (-24),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,10,13,2,0,4,8,14,10,8,13,7,5,13,12,3,8,13,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0
2,3,,2022-10-22,28-195,DET,@,IND,L (-9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,10,13,2,0,4,8,14,10,8,13,7,5,13,12,3,8,13,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0
3,4,,2022-10-25,28-198,DET,@,WAS,L (-21),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,10,13,2,0,4,8,14,10,8,13,7,5,13,12,3,8,13,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0
4,5,,2022-10-26,28-199,DET,,ATL,L (-5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,10,13,2,0,4,8,14,10,8,13,7,5,13,12,3,8,13,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0
5,6,,2022-10-28,28-201,DET,,ATL,L (-24),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,10,13,2,0,4,8,14,10,8,13,7,5,13,12,3,8,13,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0
6,7,,2022-10-30,28-203,DET,,GSW,W (+14),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,10,13,2,0,4,8,14,10,8,13,7,5,13,12,3,8,13,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0
7,8,1,2022-10-31,28-204,DET,@,MIL,L (-2),0,18.5,0.0,3.0,.000,0.0,0.0,,2,2,1.000,2,2,4,2,1,1,0,1,2,4.6,+1,3.0,0.0,0.0,10,13,2,0,4,8,14,10,8,13,7,5,13,12,3,8,13,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0
8,9,2,2022-11-02,28-206,DET,@,MIL,L (-25),0,13.25,2.0,4.0,.500,0.0,0.0,,0,0,,0,3,3,1,0,0,0,2,4,2.8,-7,4.0,2.0,0.5,10,13,2,0,4,8,14,10,8,13,7,5,13,12,3,8,13,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0
9,10,3,2022-11-04,28-208,DET,,CLE,L (-24),0,18.716666666666665,1.0,3.0,.333,0.0,0.0,,0,0,,0,6,6,0,2,0,3,2,2,0.3,-10,3.0,1.0,0.3333333333333333,10,13,2,0,4,8,14,10,8,13,7,5,13,12,3,8,13,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,32.0,77.0,1.0,0.196078431372549,0.2203389830508474,0.6666666666666666,0.0,0.3333333333333333,0.1290322580645161,0.25,0.1923076923076923,0.16,0.1756756756756756,0.1044776119402985,0.3571428571428571,0.2063492063492063,0.1578947368421052,0.0714285714285714,0.25,0.1688311688311688,0.0
