Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-20,27-318,MIL,@,PHI,W (+2),1,36:05,9.0,16.0,.563,1.0,3.0,.333,2,5.0,.400,0.0,13.0,13.0,8.0,1.0,3.0,1.0,4.0,21.0,22.2,+13,13.0,8.0,0.6153846153846154,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,24.0,45.0,2.3684210526315788,21.4,51.399999999999984,2.705263157894736
1,2,2,2022-10-22,27-320,MIL,,HOU,W (+20),1,27:38,17.0,21.0,.810,2.0,3.0,.667,8,13.0,.615,2.0,10.0,12.0,3.0,0.0,0.0,4.0,2.0,44.0,35.8,+23,18.0,15.0,0.8333333333333334,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,21.0,60.0,3.1578947368421053,32.599999999999994,56.6,2.9789473684210526
2,3,3,2022-10-26,27-324,MIL,,BRK,W (+11),1,37:52,16.0,25.0,.640,1.0,4.0,.250,10,14.0,.714,2.0,12.0,14.0,5.0,1.0,3.0,7.0,4.0,43.0,33.3,+5,21.0,15.0,0.7142857142857143,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,20.0,41.0,2.1578947368421053,29.3,41.5,2.1842105263157894
3,4,4,2022-10-28,27-326,MIL,,NYK,W (+11),1,38:55,11.0,22.0,.500,1.0,6.0,.167,7,11.0,.636,0.0,14.0,14.0,9.0,1.0,1.0,2.0,0.0,30.0,27.6,+27,16.0,10.0,0.625,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,20.0,54.0,2.8421052631578947,24.800000000000004,64.19999999999999,3.378947368421052
4,5,5,2022-10-29,27-327,MIL,,ATL,W (+8),1,32:37,11.0,22.0,.500,1.0,1.0,1.000,11,19.0,.579,5.0,12.0,17.0,4.0,0.0,1.0,2.0,4.0,34.0,26.8,-10,21.0,10.0,0.4761904761904761,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,13.0,68.0,3.5789473684210527,22.4,75.2,3.9578947368421056
5,6,6,2022-10-31,27-329,MIL,,DET,W (+2),1,31:44,12.0,23.0,.522,0.0,4.0,.000,7,9.0,.778,2.0,5.0,7.0,2.0,0.0,2.0,4.0,5.0,31.0,18.6,-1,19.0,12.0,0.631578947368421,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,6.0,60.0,3.1578947368421053,15.799999999999994,64.8,3.4105263157894736
6,7,7,2022-11-02,27-331,MIL,,DET,W (+25),1,29:31,11.0,24.0,.458,0.0,4.0,.000,10,12.0,.833,5.0,7.0,12.0,4.0,5.0,2.0,1.0,1.0,32.0,32.2,+12,20.0,11.0,0.55,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,18.0,52.0,2.736842105263158,28.2,51.69999999999998,2.7210526315789463
7,8,8,2022-11-04,27-333,MIL,@,MIN,W (+13),1,33:35,7.0,17.0,.412,2.0,4.0,.500,10,20.0,.500,0.0,14.0,14.0,11.0,0.0,0.0,4.0,3.0,26.0,19.6,+25,13.0,5.0,0.3846153846153846,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,10.0,74.0,3.8947368421052633,15.600000000000003,81.39999999999998,4.284210526315788
8,9,,2022-11-05,27-334,MIL,,OKC,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,,72.0,3.789473684210526,0.0,79.7,4.1947368421052635
9,10,9,2022-11-07,27-336,MIL,@,ATL,L (-19),1,26:47,9.0,20.0,.450,0.0,1.0,.000,7,8.0,.875,1.0,6.0,7.0,2.0,2.0,1.0,5.0,3.0,25.0,14.6,-22,19.0,9.0,0.4736842105263157,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,4.0,42.0,2.210526315789474,11.800000000000004,43.7,2.3000000000000003
