Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-20,32-130,MIL,@,PHI,W (+2),1,35:47,2.0,15.0,.133,0.0,6.0,.000,2,2.0,1.000,1.0,3.0,4.0,8.0,2.0,0.0,1.0,1.0,6.0,4.1,-6,9.0,2.0,0.2222222222222222,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,2.0,67.0,3.526315789473684,3.3,69.49999999999999,3.6578947368421044
1,2,2,2022-10-22,32-132,MIL,,HOU,W (+20),1,32:09,8.0,15.0,.533,3.0,4.0,.750,0,0.0,,0.0,5.0,5.0,10.0,0.0,3.0,2.0,2.0,19.0,19.5,+8,11.0,5.0,0.4545454545454545,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,20.0,61.0,3.210526315789474,19.5,69.7,3.668421052631579
2,3,3,2022-10-26,32-136,MIL,,BRK,W (+11),1,35:56,5.0,18.0,.278,1.0,6.0,.167,4,5.0,.800,3.0,4.0,7.0,4.0,2.0,1.0,5.0,4.0,15.0,6.2,+10,12.0,4.0,0.3333333333333333,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,1.0,60.0,3.1578947368421053,4.600000000000001,66.19999999999999,3.4842105263157888
3,4,4,2022-10-28,32-138,MIL,,NYK,W (+11),1,31:58,6.0,19.0,.316,2.0,6.0,.333,2,2.0,1.000,0.0,5.0,5.0,6.0,2.0,1.0,1.0,3.0,16.0,11.3,+17,13.0,4.0,0.3076923076923077,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,8.0,66.0,3.473684210526316,10.499999999999996,78.49999999999999,4.13157894736842
4,5,5,2022-10-29,32-139,MIL,,ATL,W (+8),1,36:40,13.0,22.0,.591,3.0,7.0,.429,5,7.0,.714,0.0,2.0,2.0,12.0,4.0,1.0,3.0,3.0,34.0,32.5,+12,15.0,10.0,0.6666666666666666,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,21.0,60.0,3.1578947368421053,30.500000000000007,67.1,3.5315789473684207
5,6,6,2022-10-31,32-141,MIL,,DET,W (+2),1,37:19,7.0,15.0,.467,5.0,11.0,.455,6,7.0,.857,1.0,6.0,7.0,10.0,1.0,0.0,4.0,1.0,25.0,23.0,+10,4.0,2.0,0.5,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,17.0,49.0,2.5789473684210527,20.6,59.99999999999999,3.157894736842105
6,7,7,2022-11-02,32-143,MIL,,DET,W (+25),1,29:58,11.0,16.0,.688,4.0,7.0,.571,0,0.0,,2.0,5.0,7.0,3.0,0.0,0.0,2.0,1.0,26.0,21.8,+25,9.0,7.0,0.7777777777777778,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,18.0,52.0,2.736842105263158,21.8,58.09999999999998,3.0578947368421043
7,8,8,2022-11-04,32-145,MIL,@,MIN,W (+13),1,33:37,12.0,24.0,.500,4.0,11.0,.364,1,1.0,1.000,1.0,7.0,8.0,6.0,2.0,0.0,0.0,0.0,29.0,26.0,+15,13.0,8.0,0.6153846153846154,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,20.0,64.0,3.3684210526315788,25.6,71.39999999999999,3.757894736842105
8,9,9,2022-11-05,32-146,MIL,,OKC,W (+14),1,28:50,3.0,10.0,.300,0.0,3.0,.000,4,4.0,1.000,4.0,2.0,6.0,13.0,1.0,0.0,3.0,0.0,10.0,14.7,+8,7.0,3.0,0.4285714285714285,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,13.0,59.0,3.1052631578947367,13.099999999999998,66.6,3.5052631578947366
9,10,10,2022-11-07,32-148,MIL,@,ATL,L (-19),1,28:49,7.0,14.0,.500,2.0,6.0,.333,0,0.0,,1.0,5.0,6.0,7.0,1.0,1.0,8.0,2.0,16.0,9.0,-3,8.0,5.0,0.625,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,9.0,37.0,1.947368421052632,8.999999999999996,46.50000000000001,2.447368421052632
