Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-20,29-287,MIL,@,PHI,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,69.0,3.631578947368421,0.0,72.79999999999998,3.83157894736842
1,2,,2022-10-22,29-289,MIL,,HOU,W (+20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,81.0,4.2631578947368425,0.0,89.2,4.6947368421052635
2,3,,2022-10-26,29-293,MIL,,BRK,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,61.0,3.210526315789474,0.0,70.79999999999998,3.7263157894736834
3,4,,2022-10-28,29-295,MIL,,NYK,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,74.0,3.8947368421052633,0.0,88.99999999999999,4.6842105263157885
4,5,,2022-10-29,29-296,MIL,,ATL,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,81.0,4.2631578947368425,0.0,97.6,5.136842105263158
5,6,,2022-10-31,29-298,MIL,,DET,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,66.0,3.473684210526316,0.0,80.59999999999998,4.242105263157893
6,7,,2022-11-02,29-300,MIL,,DET,W (+25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,70.0,3.684210526315789,0.0,79.89999999999999,4.205263157894737
7,8,,2022-11-04,29-302,MIL,@,MIN,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,84.0,4.421052631578948,0.0,97.0,5.105263157894737
8,9,,2022-11-05,29-303,MIL,,OKC,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,72.0,3.789473684210526,0.0,79.7,4.1947368421052635
9,10,,2022-11-07,29-305,MIL,@,ATL,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,46.0,2.421052631578948,0.0,55.50000000000001,2.921052631578948
