Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-20,27-012,MIL,@,PHI,W (+2),1,32:04,3.0,10.0,.300,2.0,6.0,.333,4,5.0,.800,0.0,3.0,3.0,4.0,0.0,0.0,3.0,1.0,12.0,6.1,-1,4.0,1.0,0.25,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,1.0,68.0,3.5789473684210527,4.499999999999998,68.29999999999998,3.594736842105262
1,2,2,2022-10-22,27-014,MIL,,HOU,W (+20),1,27:52,3.0,11.0,.273,2.0,7.0,.286,3,4.0,.750,2.0,3.0,5.0,2.0,1.0,0.0,0.0,2.0,11.0,8.0,+4,4.0,1.0,0.25,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,4.0,77.0,4.052631578947368,6.8,82.4,4.336842105263158
2,3,3,2022-10-26,27-018,MIL,,BRK,W (+11),1,28:08,1.0,8.0,.125,1.0,6.0,.167,2,2.0,1.000,0.0,5.0,5.0,4.0,0.0,0.0,1.0,0.0,5.0,3.1,+17,2.0,0.0,0.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,3.0,58.0,3.0526315789473686,2.3,68.49999999999999,3.6052631578947363
3,4,4,2022-10-28,27-020,MIL,,NYK,W (+11),1,28:47,6.0,10.0,.600,4.0,6.0,.667,1,1.0,1.000,1.0,3.0,4.0,2.0,1.0,0.0,1.0,2.0,17.0,14.6,+23,4.0,2.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,12.0,62.0,3.263157894736842,14.199999999999994,74.79999999999998,3.936842105263157
4,5,5,2022-10-29,27-021,MIL,,ATL,W (+8),1,20:06,1.0,5.0,.200,0.0,3.0,.000,0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.9,-4,2.0,1.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,0.0,81.0,4.2631578947368425,0.8999999999999995,96.7,5.089473684210526
5,6,6,2022-10-31,27-023,MIL,,DET,W (+2),1,19:53,2.0,4.0,.500,1.0,3.0,.333,4,4.0,1.000,0.0,2.0,2.0,2.0,1.0,0.0,4.0,1.0,9.0,5.6,+11,1.0,1.0,1.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,2.0,64.0,3.3684210526315788,4.0,76.59999999999998,4.03157894736842
6,7,7,2022-11-02,27-025,MIL,,DET,W (+25),1,24:59,2.0,6.0,.333,1.0,4.0,.250,0,0.0,,0.0,1.0,1.0,4.0,1.0,0.0,0.0,3.0,5.0,4.5,+18,2.0,1.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,5.0,65.0,3.421052631578948,4.499999999999999,75.39999999999999,3.9684210526315784
7,8,8,2022-11-04,27-027,MIL,@,MIN,W (+13),1,29:56,3.0,5.0,.600,2.0,3.0,.667,2,2.0,1.000,3.0,2.0,5.0,2.0,2.0,0.0,2.0,2.0,10.0,11.0,+25,2.0,1.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,10.0,74.0,3.8947368421052633,10.199999999999996,86.8,4.568421052631579
8,9,9,2022-11-05,27-028,MIL,,OKC,W (+14),0,20:53,6.0,8.0,.750,5.0,6.0,.833,2,2.0,1.000,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,19.0,17.5,+8,2.0,1.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,12.0,60.0,3.1578947368421053,16.7,62.99999999999999,3.31578947368421
9,10,10,2022-11-07,27-030,MIL,@,ATL,L (-19),1,27:44,3.0,8.0,.375,3.0,7.0,.429,2,2.0,1.000,0.0,0.0,0.0,3.0,0.0,1.0,3.0,3.0,11.0,5.2,-17,1.0,0.0,0.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,2.0,44.0,2.3157894736842106,4.399999999999998,51.1,2.6894736842105265
