Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,TS%,3PAr,FTr,VORP,OWS,Player_Played,avg_MP,avg_FG,avg_FGA,avg_FG%,avg_3P,avg_3PA,avg_3P%,avg_FT,avg_FTA,avg_FT%,avg_ORB,avg_DRB,avg_TRB,avg_AST,avg_STL,avg_BLK,avg_TOV,avg_PF,avg_PTS,avg_GmSc,avg_+/-,avg_2PA,avg_2P,avg_2P%,avg_CO_EFF,avg_avg_EFF,avg_CO_HGS,avg_avg_HGS,avg_PER,avg_WS,avg_BPM,avg_OBPM,avg_DBPM,avg_TS%,avg_3PAr,avg_FTr,avg_VORP,avg_OWS,WIN,home,team_opp,Team
2022/11/6,240,40,88,4.568,13,36,2.442,11,13,3.5,15,31,46,27,5,10,17,20,104,83.3,-45,52,27,4.886904762,66,1374,152.6666667,67.9,1272.4,141.3777778,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,9,26.66666667,4.444444444,9.777777778,0.507555556,1.444444444,4,0.271333333,1.222222222,1.444444444,0.388888889,1.666666667,3.444444444,5.111111111,3,0.555555556,1.111111111,1.888888889,2.222222222,11.55555556,9.255555556,-5,5.777777778,3,0.542989418,7.333333333,16.96296296,7.544444444,15.70864198,17.64444444,3.322222222,1.144444444,0.044444444,1.122222222,0.734444444,0.457666667,0.318,1.211111111,2,L (-9),@,TOR,CHI
2022/11/7,240,42,80,4.827,9,28,2.369,18,22,5.8,9,40,49,30,7,7,21,21,111,92,70,52,33,5.488095238,76,1556,129.6666667,78.4,1440.8,120.0666667,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,12,20,3.5,6.666666667,0.40225,0.75,2.333333333,0.197416667,1.5,1.833333333,0.483333333,0.75,3.333333333,4.083333333,2.5,0.583333333,0.583333333,1.75,1.75,9.25,7.666666667,5.833333333,4.333333333,2.75,0.45734127,6.333333333,10.80555556,6.533333333,10.00555556,13.23333333,2.491666667,0.858333333,0.033333333,0.841666667,0.550833333,0.34325,0.2385,0.908333333,1.5,W (+14),,TOR,CHI
2022/11/9,240,44,87,4.755,7,27,1.45,16,18,5.633,6,29,35,23,5,8,15,23,111,82.3,-20,60,37,5.55,54,1146,114.6,63.2,1087.5,108.75,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,10,24,4.4,8.7,0.4755,0.7,2.7,0.145,1.6,1.8,0.5633,0.6,2.9,3.5,2.3,0.5,0.8,1.5,2.3,11.1,8.23,-2,6,3.7,0.555,5.4,11.46,6.32,10.875,15.88,2.99,1.03,0.04,1.01,0.661,0.4119,0.2862,1.09,1.8,L (-4),,NOP,CHI
2022/11/13,240,40,81,4.436,6,22,2.667,17,21,5.967,8,28,36,24,9,4,18,19,103,77.7,-115,59,34,4.86468254,50,1054,87.83333333,50.6,1006.1,83.84166667,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,12,20,3.333333333,6.75,0.369666667,0.5,1.833333333,0.22225,1.416666667,1.75,0.49725,0.666666667,2.333333333,3,2,0.75,0.333333333,1.5,1.583333333,8.583333333,6.475,-9.583333333,4.916666667,2.833333333,0.405390212,4.166666667,7.319444444,4.216666667,6.986805556,13.23333333,2.491666667,0.858333333,0.033333333,0.841666667,0.550833333,0.34325,0.2385,0.908333333,1.5,L (-23),,DEN,CHI
2022/11/16,240,44,89,5.457,11,32,3.014,11,17,2.607,7,30,37,25,2,1,12,18,110,77.8,-70,57,33,5.373593074,53,1019,84.91666667,63,1074.4,89.53333333,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,12,20,3.666666667,7.416666667,0.45475,0.916666667,2.666666667,0.251166667,0.916666667,1.416666667,0.21725,0.583333333,2.5,3.083333333,2.083333333,0.166666667,0.083333333,1,1.5,9.166666667,6.483333333,-5.833333333,4.75,2.75,0.447799423,4.416666667,7.076388889,5.25,7.461111111,13.23333333,2.491666667,0.858333333,0.033333333,0.841666667,0.550833333,0.34325,0.2385,0.908333333,1.5,L (-14),@,NOP,CHI
2022/11/18,240,41,89,4.539,5,21,2,20,25,4.556,13,33,46,27,6,6,11,19,107,88.6,-5,68,36,5.201370851,64,1504,136.7272727,73.2,1388.4,126.2181818,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,11,21.81818182,3.727272727,8.090909091,0.412636364,0.454545455,1.909090909,0.181818182,1.818181818,2.272727273,0.414181818,1.181818182,3,4.181818182,2.454545455,0.545454545,0.545454545,1,1.727272727,9.727272727,8.054545455,-0.454545455,6.181818182,3.272727273,0.472851896,5.818181818,12.42975207,6.654545455,11.47438017,14.43636364,2.718181818,0.936363636,0.036363636,0.918181818,0.600909091,0.374454545,0.260181818,0.990909091,1.636363636,L (-1),,ORL,CHI
2022/11/21,240,46,89,5.328,14,29,2.917,15,20,4.75,8,43,51,26,10,1,11,19,121,103.9,70,60,32,5.661904762,90,1622,162.2,92.7,1432.5,143.25,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,10,24,4.6,8.9,0.5328,1.4,2.9,0.2917,1.5,2,0.475,0.8,4.3,5.1,2.6,1,0.1,1.1,1.9,12.1,10.39,7,6,3.2,0.566190476,9,16.22,9.27,14.325,15.88,2.99,1.03,0.04,1.01,0.661,0.4119,0.2862,1.09,1.8,W (+14),,BOS,CHI
2022/11/23,240,43,87,4.098,18,42,3.578,14,18,3.857,5,30,35,30,9,12,13,20,118,102.6,25,45,25,4.488095238,86,1594,177.1111111,93,1527.6,169.7333333,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,9,26.66666667,4.777777778,9.666666667,0.455333333,2,4.666666667,0.397555556,1.555555556,2,0.428555556,0.555555556,3.333333333,3.888888889,3.333333333,1,1.333333333,1.444444444,2.222222222,13.11111111,11.4,2.777777778,5,2.777777778,0.498677249,9.555555556,19.67901235,10.33333333,18.85925926,17.64444444,3.322222222,1.144444444,0.044444444,1.122222222,0.734444444,0.457666667,0.318,1.211111111,2,W (+5),@,MIL,CHI
2022/11/25,265,44,101,4.414,12,33,2.907,19,23,6.083,14,33,47,25,5,4,15,24,119,84.7,-20,68,32,4.275824176,65,1007,91.54545455,75.7,1105.2,100.4727273,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,11,24.09090909,4,9.181818182,0.401272727,1.090909091,3,0.264272727,1.727272727,2.090909091,0.553,1.272727273,3,4.272727273,2.272727273,0.454545455,0.363636364,1.363636364,2.181818182,10.81818182,7.7,-1.818181818,6.181818182,2.909090909,0.388711289,5.909090909,8.32231405,6.881818182,9.133884298,14.43636364,2.718181818,0.936363636,0.036363636,0.918181818,0.600909091,0.374454545,0.260181818,0.990909091,1.636363636,L (-4),@,OKC,CHI
2022/11/28,240,43,93,5.199,6,22,1.6,22,25,5.472,13,37,50,21,6,3,7,17,114,94.1,35,71,37,5.742640254,65,1039,103.9,70.1,1027.2,102.72,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,10,24,4.3,9.3,0.5199,0.6,2.2,0.16,2.2,2.5,0.5472,1.3,3.7,5,2.1,0.6,0.3,0.7,1.7,11.4,9.41,3.5,7.1,3.7,0.574264025,6.5,10.39,7.01,10.272,15.88,2.99,1.03,0.04,1.01,0.661,0.4119,0.2862,1.09,1.8,W (+7),@,UTA,CHI
2022/11/30,240,41,82,6.666,4,25,1,27,33,5.722,5,30,35,21,5,6,11,19,113,87.4,-95,57,37,8.568452381,58,1158,89.07692308,69.3,1144.9,88.06923077,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,13,18.46153846,3.153846154,6.307692308,0.512769231,0.307692308,1.923076923,0.076923077,2.076923077,2.538461538,0.440153846,0.384615385,2.307692308,2.692307692,1.615384615,0.384615385,0.461538462,0.846153846,1.461538462,8.692307692,6.723076923,-7.307692308,4.384615385,2.846153846,0.659111722,4.461538462,6.852071006,5.330769231,6.774556213,12.21538462,2.3,0.792307692,0.030769231,0.776923077,0.508461538,0.316846154,0.220153846,0.838461538,1.384615385,L (-19),@,PHO,CHI
2022/12/2,240,43,93,4.682,9,27,2.965,16,24,2.806,6,38,44,28,7,1,12,28,111,79.6,-40,66,34,5.848989899,50,1118,101.6363636,61.5,1191.6,108.3272727,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,11,21.81818182,3.909090909,8.454545455,0.425636364,0.818181818,2.454545455,0.269545455,1.454545455,2.181818182,0.255090909,0.545454545,3.454545455,4,2.545454545,0.636363636,0.090909091,1.090909091,2.545454545,10.09090909,7.236363636,-3.636363636,6,3.090909091,0.531726354,4.545454545,9.239669421,5.590909091,9.847933884,14.43636364,2.718181818,0.936363636,0.036363636,0.918181818,0.600909091,0.374454545,0.260181818,0.990909091,1.636363636,L (-8),@,GSW,CHI
2022/12/4,240,38,86,4.59,9,25,2.832,16,19,4.357,7,32,39,17,9,5,16,16,101,71.3,-45,61,29,4.36754386,49,943,94.3,63.7,1114.2,111.42,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,10,24,3.8,8.6,0.459,0.9,2.5,0.2832,1.6,1.9,0.4357,0.7,3.2,3.9,1.7,0.9,0.5,1.6,1.6,10.1,7.13,-4.5,6.1,2.9,0.436754386,4.9,9.43,6.37,11.142,15.88,2.99,1.03,0.04,1.01,0.661,0.4119,0.2862,1.09,1.8,L (-9),@,SAC,CHI
2022/12/7,240,45,90,4.695,10,23,2.489,15,17,5.5,6,35,41,29,11,4,19,20,115,91,20,67,35,5.541125541,74,1398,139.8,83.6,1374.1,137.41,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,10,24,4.5,9,0.4695,1,2.3,0.2489,1.5,1.7,0.55,0.6,3.5,4.1,2.9,1.1,0.4,1.9,2,11.5,9.1,2,6.7,3.5,0.554112554,7.4,13.98,8.36,13.741,15.88,2.99,1.03,0.04,1.01,0.661,0.4119,0.2862,1.09,1.8,W (+4),,WAS,CHI
2022/12/10,240,54,85,7.579,19,34,5.434,17,24,4.034,4,40,44,33,8,5,8,17,144,137.9,145,51,35,6.910606061,109,2099,174.9166667,111.6,1958.6,163.2166667,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,12,20,4.5,7.083333333,0.631583333,1.583333333,2.833333333,0.452833333,1.416666667,2,0.336166667,0.333333333,3.333333333,3.666666667,2.75,0.666666667,0.416666667,0.666666667,1.416666667,12,11.49166667,12.08333333,4.25,2.916666667,0.575883838,9.083333333,14.57638889,9.3,13.60138889,13.23333333,2.491666667,0.858333333,0.033333333,0.841666667,0.550833333,0.34325,0.2385,0.908333333,1.5,W (+29),,DAL,CHI
2022/12/11,265,48,100,4.684,7,27,1.644,19,23,2.767,13,40,53,28,11,6,18,21,122,99.1,-5,73,41,5.58044733,80,1504,150.4,77,1348.5,134.85,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,10,26.5,4.8,10,0.4684,0.7,2.7,0.1644,1.9,2.3,0.2767,1.3,4,5.3,2.8,1.1,0.6,1.8,2.1,12.2,9.91,-0.5,7.3,4.1,0.558044733,8,15.04,7.7,13.485,15.88,2.99,1.03,0.04,1.01,0.661,0.4119,0.2862,1.09,1.8,L (-1),@,ATL,CHI
