Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,31-082,DET,,ORL,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,80.0,4.0,0.0,94.8,4.74
1,2,1,2022-10-21,31-084,DET,@,NYK,L (-24),0,4:39,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,-3,0.0,0.0,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,1.0,47.0,2.35,1.6,55.5,2.775
2,3,,2022-10-22,31-085,DET,@,IND,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,70.0,3.5,0.0,86.60000000000001,4.33
3,4,,2022-10-25,31-088,DET,@,WAS,L (-21),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,35.0,1.75,0.0,54.7,2.7350000000000003
4,5,,2022-10-26,31-089,DET,,ATL,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,66.0,3.3,0.0,73.69999999999999,3.6849999999999996
5,6,2,2022-10-28,31-091,DET,,ATL,L (-24),0,3:03,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,0.0,50.0,2.5,0.0,73.4,3.6700000000000004
6,7,,2022-10-30,31-093,DET,,GSW,W (+14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,77.0,3.85,0.0,91.5,4.575
7,8,,2022-10-31,31-094,DET,@,MIL,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,52.0,2.6,0.0,69.3,3.465
8,9,3,2022-11-02,31-096,DET,@,MIL,L (-25),0,1:30,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,+5,0.0,0.0,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,0.0,39.0,1.95,-0.4,39.3,1.9649999999999999
9,10,4,2022-11-04,31-098,DET,,CLE,L (-24),0,6:05,0.0,3.0,.000,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,-1,2.0,0.0,0.0,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,0.0,27.0,1.35,-0.3999999999999997,36.7,1.8350000000000002
10,11,,2022-11-07,31-101,DET,,OKC,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,59.0,2.95,0.0,63.19999999999999,3.1599999999999993
11,12,5,2022-11-09,31-103,DET,@,BOS,L (-16),0,5:36,0.0,1.0,.000,0.0,0.0,,2,2.0,1.000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,+8,1.0,0.0,0.0,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,0.0,61.0,3.05,1.2,79.1,3.9549999999999996
12,13,,2022-11-11,31-105,DET,@,NYK,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,64.0,3.2,0.0,80.8,4.04
