Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,Shared Games with A.J. Green,Shared Games with A.J. Lawson,Shared Games with Aaron Gordon,Shared Games with Aaron Holiday,Shared Games with Aaron Nesmith,Shared Games with Aaron Wiggins,Shared Games with Admiral Schofield,Shared Games with AJ Griffin,Shared Games with Al Horford,Shared Games with Alec Burks,Shared Games with Aleksej Pokusevski,Shared Games with Alize Johnson,Shared Games with Alperen Şengün,Shared Games with Amir Coffey,Shared Games with Andre Drummond,Shared Games with Andre Iguodala,Shared Games with Andrew Nembhard,Shared Games with Andrew Wiggins,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Kristaps Porziņģis,Marcus Smart,co_inf with A.J. Green,co_inf with A.J. Lawson,co_inf with Aaron Gordon,co_inf with Aaron Holiday,co_inf with Aaron Nesmith,co_inf with Aaron Wiggins,co_inf with Admiral Schofield,co_inf with AJ Griffin,co_inf with Al Horford,co_inf with Alec Burks,co_inf with Aleksej Pokusevski,co_inf with Alex Caruso,co_inf with Alize Johnson,co_inf with Alondes Williams,co_inf with Alperen Şengün,co_inf with Amir Coffey,co_inf with Andre Drummond,co_inf with Andre Iguodala,co_inf with Andrew Nembhard,co_inf with Andrew Wiggins,co_inf with Anfernee Simons,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,27-078,WAS,@,IND,W (+7),1,31:46,5.0,14.0,.357,1.0,5.0,.200,4,6.0,.667,2.0,8.0,10.0,3.0,0.0,2.0,2.0,2.0,15.0,10.9,+7,9.0,4.0,0.4444444444444444,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,65.0,61.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.0,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,36,8.0,136.0,3.7777777777777777,9.299999999999995,144.2,4.0055555555555555
1,2,2,2022-10-21,27-080,WAS,,CHI,W (+2),1,28:48,6.0,13.0,.462,2.0,5.0,.400,0,0.0,,0.0,3.0,3.0,2.0,1.0,2.0,1.0,6.0,14.0,8.6,+17,8.0,4.0,0.5,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,65.0,61.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.0,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,36,8.0,140.0,3.888888888888889,8.599999999999994,142.8,3.966666666666667
2,3,3,2022-10-23,27-082,WAS,@,CLE,L (-10),1,37:56,7.0,16.0,.438,4.0,8.0,.500,0,1.0,.000,1.0,10.0,11.0,3.0,1.0,1.0,2.0,4.0,18.0,13.1,+1,8.0,3.0,0.375,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,65.0,61.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.0,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,36,15.0,101.0,2.805555555555556,13.100000000000003,122.80000000000004,3.4111111111111123
3,4,4,2022-10-25,27-084,WAS,,DET,W (+21),1,25:18,8.0,13.0,.615,2.0,4.0,.500,2,2.0,1.000,4.0,3.0,7.0,2.0,0.0,0.0,3.0,5.0,20.0,14.2,+1,9.0,6.0,0.6666666666666666,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,65.0,61.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.0,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,36,11.0,173.0,4.805555555555555,13.399999999999997,169.79999999999998,4.716666666666666
4,5,5,2022-10-28,27-087,WAS,,IND,L (-10),1,30:56,7.0,13.0,.538,2.0,4.0,.500,6,7.0,.857,2.0,4.0,6.0,1.0,1.0,0.0,2.0,4.0,22.0,16.0,-13,9.0,5.0,0.5555555555555556,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,65.0,61.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.0,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,36,8.0,112.0,3.111111111111111,13.6,130.2,3.6166666666666663
5,6,6,2022-10-30,27-089,WAS,@,BOS,L (-18),1,27:55,8.0,16.0,.500,0.0,4.0,.000,1,2.0,.500,7.0,6.0,13.0,1.0,0.0,2.0,3.0,3.0,17.0,13.2,-4,12.0,8.0,0.6666666666666666,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,65.0,61.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.0,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,36,12.0,98.0,2.7222222222222223,12.799999999999995,96.0,2.6666666666666665
6,7,7,2022-10-31,27-090,WAS,,PHI,L (-7),1,34:40,10.0,17.0,.588,3.0,7.0,.429,9,9.0,1.000,4.0,5.0,9.0,3.0,2.0,0.0,0.0,3.0,32.0,31.3,+8,10.0,7.0,0.7,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,65.0,61.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.0,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,36,20.0,101.0,2.805555555555556,27.7,102.6,2.8499999999999996
7,8,8,2022-11-02,27-092,WAS,@,PHI,W (+10),1,34:24,9.0,13.0,.692,1.0,4.0,.250,11,11.0,1.000,0.0,9.0,9.0,3.0,1.0,3.0,1.0,1.0,30.0,31.0,+7,9.0,8.0,0.8888888888888888,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,65.0,61.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.0,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,36,21.0,137.0,3.8055555555555554,26.60000000000001,146.60000000000002,4.072222222222223
8,9,9,2022-11-04,27-094,WAS,,BRK,L (-42),1,25:41,4.0,11.0,.364,2.0,4.0,.500,4,6.0,.667,3.0,7.0,10.0,1.0,0.0,0.0,1.0,2.0,14.0,10.2,-17,7.0,2.0,0.2857142857142857,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,65.0,61.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.0,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,36,7.0,74.0,2.055555555555556,8.6,73.39999999999998,2.0388888888888883
9,10,10,2022-11-06,27-096,WAS,@,MEM,L (-6),1,30:53,3.0,13.0,.231,1.0,6.0,.167,3,4.0,.750,1.0,3.0,4.0,3.0,1.0,3.0,4.0,5.0,10.0,2.5,+2,7.0,2.0,0.2857142857142857,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,65.0,61.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.0,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,36,0.0,174.0,4.833333333333333,1.3000000000000007,147.20000000000002,4.0888888888888895
