Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,24-253,WAS,@,IND,W (+7),0,24:00,3.0,7.0,.429,1.0,1.0,1.000,0,0.0,,1.0,4.0,5.0,0.0,0.0,1.0,3.0,2.0,7.0,2.1,-6,6.0,2.0,0.3333333333333333,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,3.0,69.0,3.8333333333333335,2.099999999999998,79.29999999999998,4.405555555555555
1,2,2,2022-10-21,24-255,WAS,,CHI,W (+2),0,23:59,4.0,9.0,.444,0.0,2.0,.000,4,4.0,1.000,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,12.0,7.6,-17,7.0,4.0,0.5714285714285714,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,2.0,75.0,4.166666666666667,5.999999999999998,73.99999999999999,4.111111111111111
2,3,3,2022-10-23,24-257,WAS,@,CLE,L (-10),0,20:19,7.0,12.0,.583,2.0,3.0,.667,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,16.0,11.0,-5,9.0,5.0,0.5555555555555556,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,7.0,57.0,3.1666666666666665,11.000000000000002,63.50000000000001,3.527777777777778
3,4,4,2022-10-25,24-259,WAS,,DET,W (+21),0,26:48,4.0,8.0,.500,0.0,1.0,.000,2,2.0,1.000,0.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,10.0,6.9,-5,7.0,4.0,0.5714285714285714,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,4.0,86.0,4.777777777777778,6.099999999999999,92.2,5.122222222222223
4,5,5,2022-10-28,24-262,WAS,,IND,L (-10),0,24:59,3.0,7.0,.429,0.0,1.0,.000,4,6.0,.667,1.0,4.0,5.0,0.0,0.0,1.0,1.0,2.0,10.0,6.3,-19,6.0,3.0,0.5,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,2.0,60.0,3.333333333333333,4.699999999999998,74.0,4.111111111111111
5,6,6,2022-10-30,24-264,WAS,@,BOS,L (-18),0,22:28,5.0,12.0,.417,1.0,4.0,.250,2,4.0,.500,3.0,6.0,9.0,3.0,0.0,1.0,1.0,1.0,13.0,11.1,-17,8.0,4.0,0.5,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,9.0,47.0,2.611111111111111,10.3,50.500000000000014,2.8055555555555562
6,7,7,2022-10-31,24-265,WAS,,PHI,L (-7),0,17:55,4.0,9.0,.444,0.0,2.0,.000,2,2.0,1.000,1.0,5.0,6.0,0.0,2.0,1.0,2.0,0.0,10.0,8.2,-18,7.0,4.0,0.5714285714285714,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,6.0,60.0,3.333333333333333,7.399999999999999,71.6,3.9777777777777774
7,8,8,2022-11-02,24-267,WAS,@,PHI,W (+10),0,32:53,5.0,13.0,.385,0.0,2.0,.000,0,0.0,,2.0,8.0,10.0,4.0,0.0,1.0,1.0,2.0,10.0,8.4,+14,11.0,5.0,0.4545454545454545,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,11.0,77.0,4.277777777777778,8.4,91.5,5.083333333333333
8,9,9,2022-11-04,24-269,WAS,,BRK,L (-42),0,17:41,1.0,5.0,.200,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,-1.2,-22,4.0,1.0,0.25,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,-1.0,37.0,2.055555555555556,-1.1999999999999995,46.49999999999999,2.583333333333333
9,10,10,2022-11-06,24-271,WAS,@,MEM,L (-6),0,22:17,7.0,12.0,.583,1.0,3.0,.333,0,1.0,.000,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,15.0,8.5,0,9.0,6.0,0.6666666666666666,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,4.0,74.0,4.111111111111111,8.500000000000002,66.39999999999999,3.688888888888888
