Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,Shared Games with A.J. Green,Shared Games with A.J. Lawson,Shared Games with Aaron Gordon,Shared Games with Aaron Holiday,Shared Games with Aaron Nesmith,Shared Games with Admiral Schofield,Shared Games with AJ Griffin,Shared Games with Al Horford,Shared Games with Alec Burks,Shared Games with Aleksej Pokusevski,Shared Games with Alex Len,Shared Games with Alize Johnson,Shared Games with Alperen Şengün,Shared Games with Amir Coffey,Shared Games with Andre Drummond,Shared Games with Andre Iguodala,Shared Games with Andrew Nembhard,Shared Games with Andrew Wiggins,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Deni Avdija,Marcus Smart,co_inf with A.J. Green,co_inf with A.J. Lawson,co_inf with Aaron Gordon,co_inf with Aaron Holiday,co_inf with Aaron Nesmith,co_inf with Admiral Schofield,co_inf with AJ Griffin,co_inf with Al Horford,co_inf with Alec Burks,co_inf with Aleksej Pokusevski,co_inf with Alex Caruso,co_inf with Alex Len,co_inf with Alize Johnson,co_inf with Alondes Williams,co_inf with Alperen Şengün,co_inf with Amir Coffey,co_inf with Andre Drummond,co_inf with Andre Iguodala,co_inf with Andrew Nembhard,co_inf with Andrew Wiggins,co_inf with Anfernee Simons,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,21-289,WAS,@,IND,W (+7),1,7:40,1.0,1.0,1.000,0.0,0.0,,2,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.7,+14,1.0,1.0,1.0,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,76.0,61.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.0,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,36,1.0,150.0,4.166666666666667,2.9000000000000004,156.99999999999994,4.36111111111111
1,2,2,2022-10-21,21-291,WAS,,CHI,W (+2),1,23:01,2.0,4.0,.500,2.0,2.0,1.000,0,0.0,,0.0,10.0,10.0,4.0,1.0,1.0,1.0,5.0,6.0,8.5,+16,2.0,0.0,0.0,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,76.0,61.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.0,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,36,17.0,122.0,3.388888888888889,8.5,143.0,3.9722222222222223
2,3,3,2022-10-23,21-293,WAS,@,CLE,L (-10),1,14:27,1.0,6.0,.167,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,0.0,2.0,0.0,1.0,4.0,2.0,-1.8,+1,3.0,1.0,0.3333333333333333,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,76.0,61.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.0,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,36,-1.0,133.0,3.6944444444444446,-1.7999999999999994,152.60000000000002,4.23888888888889
3,4,4,2022-10-25,21-295,WAS,,DET,W (+21),1,26:50,3.0,6.0,.500,1.0,3.0,.333,2,2.0,1.000,0.0,7.0,7.0,2.0,1.0,2.0,0.0,3.0,9.0,10.7,+12,3.0,2.0,0.6666666666666666,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,76.0,61.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.0,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,36,13.0,169.0,4.694444444444445,9.9,176.79999999999998,4.9111111111111105
4,5,5,2022-10-28,21-298,WAS,,IND,L (-10),1,19:58,3.0,7.0,.429,1.0,3.0,.333,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,7.0,1.5,-6,4.0,2.0,0.5,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,76.0,61.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.0,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,36,0.0,128.0,3.555555555555556,1.5,154.39999999999998,4.288888888888888
5,6,6,2022-10-30,21-300,WAS,@,BOS,L (-18),1,11:01,2.0,4.0,.500,1.0,1.0,1.000,1,2.0,.500,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,3.8,-9,3.0,1.0,0.3333333333333333,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,76.0,61.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.0,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,36,2.0,118.0,3.2777777777777777,3.4000000000000004,114.8,3.1888888888888887
6,7,7,2022-10-31,21-301,WAS,,PHI,L (-7),0,16:42,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.5,-12,1.0,0.0,0.0,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,76.0,61.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.0,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,36,3.0,135.0,3.75,0.4999999999999998,157.00000000000003,4.361111111111112
7,8,8,2022-11-02,21-303,WAS,@,PHI,W (+10),0,28:48,1.0,3.0,.333,0.0,1.0,.000,3,4.0,.750,1.0,7.0,8.0,1.0,0.0,3.0,0.0,5.0,5.0,6.5,+17,2.0,1.0,0.5,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,76.0,61.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.0,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,36,10.0,159.0,4.416666666666667,5.300000000000001,189.2,5.2555555555555555
8,9,9,2022-11-04,21-305,WAS,,BRK,L (-42),0,21:32,2.0,5.0,.400,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,-0.2,-21,3.0,2.0,0.6666666666666666,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,76.0,61.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.0,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,36,0.0,88.0,2.4444444444444446,-0.2000000000000004,91.0,2.5277777777777777
9,10,10,2022-11-06,21-307,WAS,@,MEM,L (-6),1,26:03,2.0,12.0,.167,0.0,5.0,.000,0,0.0,,4.0,6.0,10.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0,-16,7.0,2.0,0.2857142857142857,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,54,48,68,73,48,6,4,7,23,57,64,62,60,9,28,47,11,39,59.0,50.0,74.0,78.0,50.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,76.0,61.0,0.9152542372881356,0.96,0.918918918918919,0.935897435897436,0.96,1.0,0.6666666666666666,1.0,0.8214285714285714,0.9193548387096774,0.0,0.9846153846153848,0.96875,0.0,0.967741935483871,1.0,0.4444444444444444,0.9591836734693876,1.0,0.6964285714285714,0.0,36,2.0,170.0,4.722222222222222,4.440892098500626e-16,149.79999999999998,4.1611111111111105
