Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Devonte' Graham,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Jeremy Sochan,Shared Games with Julian Champagnie,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Devonte' Graham,Dominick Barlow,Doug McDermott,Gorgui Dieng,Jeremy Sochan,Jordan Hall,Joshua Primo,Julian Champagnie,Justin Jackson,Keita Bates-Diop,Keldon Johnson,Khem Birch,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Devonte' Graham,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Joshua Primo,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Khem Birch,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-20,23-150,MIL,@,PHI,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,19,23,13,17,20,24,8,16,16,5,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692,15,18,4,9,15,15,11,9,7,14,18,9,17,9,14,13,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4864864864864865,0.1142857142857142,0.2368421052631578,0.2054794520547945,0.5357142857142857,0.171875,0.2903225806451613,0.125,0.0,0.0,0.8235294117647058,0.0,0.2686567164179104,0.1428571428571428,0.0,0.2575757575757575,0.2093023255813953,0.0,0.2058823529411764,0.2063492063492063,33,,42.0,1.2727272727272727,0.0,48.899999999999984,1.4818181818181813
1,2,1,2022-10-22,23-152,MIL,,HOU,W (+20),0,2:14,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-2,0.0,0.0,,16,19,23,13,17,20,24,8,16,16,5,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692,15,18,4,9,15,15,11,9,7,14,18,9,17,9,14,13,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4864864864864865,0.1142857142857142,0.2368421052631578,0.2054794520547945,0.5357142857142857,0.171875,0.2903225806451613,0.125,0.0,0.0,0.8235294117647058,0.0,0.2686567164179104,0.1428571428571428,0.0,0.2575757575757575,0.2093023255813953,0.0,0.2058823529411764,0.2063492063492063,33,-1.0,62.0,1.878787878787879,-1.0,68.1,2.0636363636363635
2,3,,2022-10-26,23-156,MIL,,BRK,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,19,23,13,17,20,24,8,16,16,5,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692,15,18,4,9,15,15,11,9,7,14,18,9,17,9,14,13,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4864864864864865,0.1142857142857142,0.2368421052631578,0.2054794520547945,0.5357142857142857,0.171875,0.2903225806451613,0.125,0.0,0.0,0.8235294117647058,0.0,0.2686567164179104,0.1428571428571428,0.0,0.2575757575757575,0.2093023255813953,0.0,0.2058823529411764,0.2063492063492063,33,,63.0,1.9090909090909087,0.0,61.3,1.8575757575757574
3,4,,2022-10-28,23-158,MIL,,NYK,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,19,23,13,17,20,24,8,16,16,5,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692,15,18,4,9,15,15,11,9,7,14,18,9,17,9,14,13,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4864864864864865,0.1142857142857142,0.2368421052631578,0.2054794520547945,0.5357142857142857,0.171875,0.2903225806451613,0.125,0.0,0.0,0.8235294117647058,0.0,0.2686567164179104,0.1428571428571428,0.0,0.2575757575757575,0.2093023255813953,0.0,0.2058823529411764,0.2063492063492063,33,,72.0,2.1818181818181817,0.0,64.49999999999999,1.9545454545454541
4,5,,2022-10-29,23-159,MIL,,ATL,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,19,23,13,17,20,24,8,16,16,5,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692,15,18,4,9,15,15,11,9,7,14,18,9,17,9,14,13,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4864864864864865,0.1142857142857142,0.2368421052631578,0.2054794520547945,0.5357142857142857,0.171875,0.2903225806451613,0.125,0.0,0.0,0.8235294117647058,0.0,0.2686567164179104,0.1428571428571428,0.0,0.2575757575757575,0.2093023255813953,0.0,0.2058823529411764,0.2063492063492063,33,,68.0,2.060606060606061,0.0,78.1,2.3666666666666667
5,6,,2022-10-31,23-161,MIL,,DET,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,19,23,13,17,20,24,8,16,16,5,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692,15,18,4,9,15,15,11,9,7,14,18,9,17,9,14,13,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4864864864864865,0.1142857142857142,0.2368421052631578,0.2054794520547945,0.5357142857142857,0.171875,0.2903225806451613,0.125,0.0,0.0,0.8235294117647058,0.0,0.2686567164179104,0.1428571428571428,0.0,0.2575757575757575,0.2093023255813953,0.0,0.2058823529411764,0.2063492063492063,33,,67.0,2.0303030303030303,0.0,79.5,2.409090909090909
6,7,,2022-11-02,23-163,MIL,,DET,W (+25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,19,23,13,17,20,24,8,16,16,5,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692,15,18,4,9,15,15,11,9,7,14,18,9,17,9,14,13,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4864864864864865,0.1142857142857142,0.2368421052631578,0.2054794520547945,0.5357142857142857,0.171875,0.2903225806451613,0.125,0.0,0.0,0.8235294117647058,0.0,0.2686567164179104,0.1428571428571428,0.0,0.2575757575757575,0.2093023255813953,0.0,0.2058823529411764,0.2063492063492063,33,,57.0,1.7272727272727273,0.0,65.1,1.9727272727272727
7,8,,2022-11-04,23-165,MIL,@,MIN,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,19,23,13,17,20,24,8,16,16,5,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692,15,18,4,9,15,15,11,9,7,14,18,9,17,9,14,13,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4864864864864865,0.1142857142857142,0.2368421052631578,0.2054794520547945,0.5357142857142857,0.171875,0.2903225806451613,0.125,0.0,0.0,0.8235294117647058,0.0,0.2686567164179104,0.1428571428571428,0.0,0.2575757575757575,0.2093023255813953,0.0,0.2058823529411764,0.2063492063492063,33,,63.0,1.9090909090909087,0.0,49.59999999999999,1.5030303030303027
8,9,,2022-11-05,23-166,MIL,,OKC,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,19,23,13,17,20,24,8,16,16,5,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692,15,18,4,9,15,15,11,9,7,14,18,9,17,9,14,13,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4864864864864865,0.1142857142857142,0.2368421052631578,0.2054794520547945,0.5357142857142857,0.171875,0.2903225806451613,0.125,0.0,0.0,0.8235294117647058,0.0,0.2686567164179104,0.1428571428571428,0.0,0.2575757575757575,0.2093023255813953,0.0,0.2058823529411764,0.2063492063492063,33,,65.0,1.9696969696969693,0.0,77.89999999999999,2.3606060606060604
9,10,2,2022-11-07,23-168,MIL,@,ATL,L (-19),0,6:09,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3,+3,1.0,1.0,1.0,16,19,23,13,17,20,24,8,16,16,5,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692,15,18,4,9,15,15,11,9,7,14,18,9,17,9,14,13,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4864864864864865,0.1142857142857142,0.2368421052631578,0.2054794520547945,0.5357142857142857,0.171875,0.2903225806451613,0.125,0.0,0.0,0.8235294117647058,0.0,0.2686567164179104,0.1428571428571428,0.0,0.2575757575757575,0.2093023255813953,0.0,0.2058823529411764,0.2063492063492063,33,-1.0,67.0,2.0303030303030303,0.3000000000000002,73.0,2.212121212121212
