Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Jeremy Sochan,Shared Games with Julian Champagnie,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Sandro Mamukelashvili,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Jeremy Sochan,Jordan Hall,Joshua Primo,Julian Champagnie,Justin Jackson,Keita Bates-Diop,Keldon Johnson,Khem Birch,Malaki Branham,Romeo Langford,Sandro Mamukelashvili,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Joshua Primo,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Khem Birch,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Sandro Mamukelashvili,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-09,27-260,NOP,@,CHI,W (+4),0,16:22,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,5.7,+2,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,7.0,63.0,2.1,5.699999999999999,64.8,2.1599999999999997
11,12,12,2022-11-10,27-261,NOP,,POR,L (-11),0,7:58,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,0.0,55.0,1.8333333333333333,0.0,56.80000000000001,1.8933333333333338
12,13,13,2022-11-12,27-263,NOP,,HOU,W (+13),0,9:19,2.0,4.0,.500,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,5.7,-7,2.0,1.0,0.5,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,4.0,58.0,1.933333333333333,5.7,59.900000000000006,1.9966666666666668
13,14,14,2022-11-15,27-266,NOP,,MEM,W (+11),0,9:29,0.0,1.0,.000,0.0,1.0,.000,1,2.0,.500,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.6,+4,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,1.0,16.0,0.5333333333333333,1.2,32.0,1.0666666666666667
14,15,15,2022-11-16,27-267,NOP,,CHI,W (+14),0,8:21,2.0,3.0,.667,2.0,3.0,.667,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,5.1,0,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,4.0,59.0,1.9666666666666663,5.1,58.8,1.96
15,16,16,2022-11-18,27-269,NOP,,BOS,L (-8),0,8:22,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-4,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,1.0,56.0,1.8666666666666667,2.0,58.3,1.9433333333333331
16,17,17,2022-11-21,27-272,NOP,,GSW,W (+45),0,22:02,6.0,11.0,.545,6.0,11.0,.545,1,1.0,1.000,0.0,5.0,5.0,4.0,1.0,0.0,1.0,1.0,19.0,17.6,+27,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,16.0,34.0,1.1333333333333333,17.200000000000003,34.0,1.1333333333333333
17,18,18,2022-11-23,27-274,NOP,@,SAS,W (+19),0,27:48,7.0,13.0,.538,6.0,11.0,.545,1,1.0,1.000,0.0,4.0,4.0,0.0,1.0,1.0,1.0,2.0,21.0,15.8,+9,2.0,1.0,0.5,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,12.0,25.0,0.8333333333333334,15.400000000000002,36.3,1.21
18,19,19,2022-11-25,27-276,NOP,@,MEM,L (-21),0,14:17,1.0,3.0,.333,1.0,3.0,.333,2,3.0,.667,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,5.0,6.3,-6,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,5.0,43.0,1.4333333333333331,5.499999999999999,52.60000000000001,1.7533333333333336
19,20,20,2022-11-28,27-279,NOP,,OKC,W (+4),0,17:31,1.0,6.0,.167,1.0,5.0,.200,2,2.0,1.000,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,5.0,4.0,-1,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,1.0,55.0,1.8333333333333333,3.2,63.0,2.1
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-30,27-281,NOP,,TOR,W (+18),0,20:09,0.0,6.0,.000,0.0,5.0,.000,2,2.0,1.000,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,-1.9,+2,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,-4.0,94.0,3.1333333333333333,-2.7,101.4,3.3800000000000003
22,22,22,2022-12-02,27-283,NOP,@,SAS,W (+18),0,15:53,1.0,5.0,.200,1.0,4.0,.250,0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,-0.3,+4,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,0.0,72.0,2.4,-0.3000000000000007,89.49999999999997,2.9833333333333325
23,23,23,2022-12-04,27-285,NOP,,DEN,W (+15),0,13:45,1.0,4.0,.250,1.0,4.0,.250,2,2.0,1.000,2.0,1.0,3.0,5.0,0.0,0.0,1.0,1.0,5.0,6.4,+14,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,6.0,62.0,2.066666666666667,5.600000000000001,56.2,1.8733333333333335
24,24,24,2022-12-07,27-288,NOP,,DET,W (+6),0,12:15,1.0,6.0,.167,0.0,4.0,.000,1,1.0,1.000,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,1.8,+12,2.0,1.0,0.5,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,1.0,46.0,1.5333333333333334,1.4000000000000004,52.1,1.7366666666666668
25,25,25,2022-12-09,27-290,NOP,,PHO,W (+11),0,14:55,1.0,2.0,.500,1.0,2.0,.500,2,2.0,1.000,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,5.0,6.1,+3,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,5.0,66.0,2.2,5.3,79.9,2.6633333333333336
26,26,26,2022-12-11,27-292,NOP,,PHO,W (+5),0,9:07,2.0,4.0,.500,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.6,-4,2.0,2.0,1.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,-1.0,64.0,2.1333333333333333,0.6000000000000001,67.29999999999998,2.2433333333333327
27,27,27,2022-12-13,27-294,NOP,@,UTA,L (-21),0,5:48,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.7,-1,1.0,1.0,1.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,2.0,49.0,1.6333333333333333,2.7,50.49999999999999,1.6833333333333331
28,28,28,2022-12-15,27-296,NOP,@,UTA,L (-3),0,20:01,2.0,5.0,.400,1.0,3.0,.333,3,4.0,.750,1.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,8.0,5.9,+4,2.0,1.0,0.5,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,3.0,52.0,1.7333333333333334,4.699999999999999,63.1,2.1033333333333335
29,29,29,2022-12-17,27-298,NOP,@,PHO,L (-4),0,8:01,1.0,3.0,.333,0.0,2.0,.000,1,1.0,1.000,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,2.1,+3,1.0,1.0,1.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0,19,9,7,17,11,8,11,12,19,12,18,6,15,12,16,4.0,37.0,35.0,38.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.5135135135135135,0.2571428571428571,0.1842105263157894,0.6071428571428571,0.171875,0.2580645161290322,0.1964285714285714,0.0,0.0,0.7058823529411765,0.0,0.2835820895522388,0.1904761904761904,0.0,0.2727272727272727,0.1395348837209302,0.3488372093023256,0.0,0.1764705882352941,0.2539682539682539,30,3.0,69.0,2.3,1.7000000000000004,72.2,2.4066666666666667
