Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Josh Richardson,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Shared Games with Devonte' Graham,Shared Games with Julian Champagnie,Shared Games with Sandro Mamukelashvili,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,30-289,SAS,,CHO,L (-27),0,16:25,5.0,10.0,.500,2.0,5.0,.400,0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,7.6,-18,5.0,3.0,0.6,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,4.0,38.0,2.0,7.6,43.99999999999999,2.31578947368421
1,2,2,2022-10-21,30-291,SAS,@,IND,W (+3),0,12:09,1.0,3.0,.333,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,2.3,-10,2.0,0.0,0.0,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,3.0,58.0,3.0526315789473686,2.2999999999999994,63.1,3.3210526315789473
2,3,3,2022-10-22,30-292,SAS,@,PHI,W (+9),0,24:24,5.0,9.0,.556,4.0,5.0,.800,0,0.0,,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,14.0,10.6,+19,4.0,1.0,0.25,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,9.0,54.0,2.8421052631578947,10.599999999999996,60.400000000000006,3.1789473684210527
3,4,4,2022-10-24,30-294,SAS,@,MIN,W (+9),0,17:07,1.0,5.0,.200,0.0,3.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.5,-12,2.0,1.0,0.5,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,-2.0,74.0,3.8947368421052633,-1.5000000000000004,78.09999999999998,4.110526315789473
4,5,5,2022-10-26,30-296,SAS,@,MIN,L (-12),0,24:21,6.0,14.0,.429,4.0,8.0,.500,3,3.0,1.000,1.0,2.0,3.0,3.0,0.0,0.0,1.0,3.0,19.0,12.8,-10,6.0,2.0,0.3333333333333333,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,7.0,61.0,3.210526315789474,11.599999999999998,75.89999999999999,3.994736842105263
5,6,6,2022-10-28,30-298,SAS,,CHI,W (+5),0,26:44,3.0,9.0,.333,1.0,6.0,.167,2,3.0,.667,0.0,4.0,4.0,2.0,0.0,0.0,0.0,3.0,9.0,4.9,+5,3.0,2.0,0.6666666666666666,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,3.0,64.0,3.3684210526315788,4.099999999999999,77.19999999999999,4.063157894736841
6,7,7,2022-10-30,30-300,SAS,,MIN,W (+9),0,25:26,8.0,16.0,.500,7.0,14.0,.500,0,0.0,,0.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,23.0,15.1,+3,2.0,1.0,0.5,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,11.0,46.0,2.421052631578948,15.099999999999998,54.5,2.8684210526315788
7,8,8,2022-11-02,30-303,SAS,,TOR,L (-43),0,22:21,4.0,9.0,.444,1.0,4.0,.250,0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,3.0,1.0,9.0,4.2,-9,5.0,3.0,0.6,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,4.0,59.0,3.1052631578947367,4.199999999999998,52.899999999999984,2.7842105263157886
8,9,9,2022-11-04,30-305,SAS,,LAC,L (-7),0,22:30,4.0,6.0,.667,2.0,3.0,.667,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,10.0,6.4,+5,3.0,2.0,0.6666666666666666,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,4.0,61.0,3.210526315789474,6.4,73.8,3.884210526315789
9,10,10,2022-11-05,30-306,SAS,@,DEN,L (-25),0,15:55,0.0,3.0,.000,0.0,2.0,.000,1,3.0,.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.3,-18,1.0,0.0,0.0,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,-5.0,71.0,3.736842105263158,-2.7,77.4,4.0736842105263165
