Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Mason Plumlee,Shared Games with Bones Hyland,Shared Games with Eric Gordon,Shared Games with Russell Westbrook,Bones Hyland,Eric Gordon,Justin Holiday,Mason Plumlee,Russell Westbrook,co_inf with Mason Plumlee,co_inf with Bones Hyland,co_inf with Eric Gordon,co_inf with Justin Holiday,co_inf with Russell Westbrook,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,20-290,LAC,,CLE,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,13,19,9,7,13,8,15,9,21,15,11,12,15,22,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.38,0.5909090909090909,0.25,0.6428571428571429,0.2058823529411764,0.25,0.135593220338983,0.2307692307692307,0.25,0.2692307692307692,0.25,0.1964285714285714,0.1764705882352941,0.3125,0.2716049382716049,0.0,7,6,6,5,56.0,69.0,46.0,79.0,73.0,0.0886075949367088,0.1071428571428571,0.0869565217391304,0.0,0.0684931506849315,19,,84.0,4.421052631578948,0.0,111.6,5.873684210526315
11,12,,2022-11-09,20-292,LAC,,LAL,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,13,19,9,7,13,8,15,9,21,15,11,12,15,22,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.38,0.5909090909090909,0.25,0.6428571428571429,0.2058823529411764,0.25,0.135593220338983,0.2307692307692307,0.25,0.2692307692307692,0.25,0.1964285714285714,0.1764705882352941,0.3125,0.2716049382716049,0.0,7,6,6,5,56.0,69.0,46.0,79.0,73.0,0.0886075949367088,0.1071428571428571,0.0869565217391304,0.0,0.0684931506849315,19,,84.0,4.421052631578948,0.0,92.2,4.852631578947369
12,13,,2022-11-12,20-295,LAC,,BRK,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,13,19,9,7,13,8,15,9,21,15,11,12,15,22,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.38,0.5909090909090909,0.25,0.6428571428571429,0.2058823529411764,0.25,0.135593220338983,0.2307692307692307,0.25,0.2692307692307692,0.25,0.1964285714285714,0.1764705882352941,0.3125,0.2716049382716049,0.0,7,6,6,5,56.0,69.0,46.0,79.0,73.0,0.0886075949367088,0.1071428571428571,0.0869565217391304,0.0,0.0684931506849315,19,,69.0,3.631578947368421,0.0,72.59999999999998,3.8210526315789464
13,14,,2022-11-14,20-297,LAC,@,HOU,W (+16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,13,19,9,7,13,8,15,9,21,15,11,12,15,22,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.38,0.5909090909090909,0.25,0.6428571428571429,0.2058823529411764,0.25,0.135593220338983,0.2307692307692307,0.25,0.2692307692307692,0.25,0.1964285714285714,0.1764705882352941,0.3125,0.2716049382716049,0.0,7,6,6,5,56.0,69.0,46.0,79.0,73.0,0.0886075949367088,0.1071428571428571,0.0869565217391304,0.0,0.0684931506849315,19,,79.0,4.157894736842105,0.0,90.39999999999998,4.757894736842104
14,15,,2022-11-15,20-298,LAC,@,DAL,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,13,19,9,7,13,8,15,9,21,15,11,12,15,22,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.38,0.5909090909090909,0.25,0.6428571428571429,0.2058823529411764,0.25,0.135593220338983,0.2307692307692307,0.25,0.2692307692307692,0.25,0.1964285714285714,0.1764705882352941,0.3125,0.2716049382716049,0.0,7,6,6,5,56.0,69.0,46.0,79.0,73.0,0.0886075949367088,0.1071428571428571,0.0869565217391304,0.0,0.0684931506849315,19,,85.0,4.473684210526316,0.0,92.6,4.873684210526315
15,16,,2022-11-17,20-300,LAC,,DET,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,13,19,9,7,13,8,15,9,21,15,11,12,15,22,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.38,0.5909090909090909,0.25,0.6428571428571429,0.2058823529411764,0.25,0.135593220338983,0.2307692307692307,0.25,0.2692307692307692,0.25,0.1964285714285714,0.1764705882352941,0.3125,0.2716049382716049,0.0,7,6,6,5,56.0,69.0,46.0,79.0,73.0,0.0886075949367088,0.1071428571428571,0.0869565217391304,0.0,0.0684931506849315,19,,70.0,3.684210526315789,0.0,95.3,5.015789473684211
16,17,,2022-11-19,20-302,LAC,,SAS,W (+22),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,13,19,9,7,13,8,15,9,21,15,11,12,15,22,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.38,0.5909090909090909,0.25,0.6428571428571429,0.2058823529411764,0.25,0.135593220338983,0.2307692307692307,0.25,0.2692307692307692,0.25,0.1964285714285714,0.1764705882352941,0.3125,0.2716049382716049,0.0,7,6,6,5,56.0,69.0,46.0,79.0,73.0,0.0886075949367088,0.1071428571428571,0.0869565217391304,0.0,0.0684931506849315,19,,59.0,3.1052631578947367,0.0,73.3,3.857894736842105
17,18,,2022-11-21,20-304,LAC,,UTA,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,13,19,9,7,13,8,15,9,21,15,11,12,15,22,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.38,0.5909090909090909,0.25,0.6428571428571429,0.2058823529411764,0.25,0.135593220338983,0.2307692307692307,0.25,0.2692307692307692,0.25,0.1964285714285714,0.1764705882352941,0.3125,0.2716049382716049,0.0,7,6,6,5,56.0,69.0,46.0,79.0,73.0,0.0886075949367088,0.1071428571428571,0.0869565217391304,0.0,0.0684931506849315,19,,61.0,3.210526315789474,0.0,71.2,3.7473684210526317
18,19,,2022-11-23,20-306,LAC,@,GSW,L (-17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,13,19,9,7,13,8,15,9,21,15,11,12,15,22,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.38,0.5909090909090909,0.25,0.6428571428571429,0.2058823529411764,0.25,0.135593220338983,0.2307692307692307,0.25,0.2692307692307692,0.25,0.1964285714285714,0.1764705882352941,0.3125,0.2716049382716049,0.0,7,6,6,5,56.0,69.0,46.0,79.0,73.0,0.0886075949367088,0.1071428571428571,0.0869565217391304,0.0,0.0684931506849315,19,,79.0,4.157894736842105,0.0,94.5,4.973684210526316
19,20,,2022-11-25,20-308,LAC,,DEN,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,13,19,9,7,13,8,15,9,21,15,11,12,15,22,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.38,0.5909090909090909,0.25,0.6428571428571429,0.2058823529411764,0.25,0.135593220338983,0.2307692307692307,0.25,0.2692307692307692,0.25,0.1964285714285714,0.1764705882352941,0.3125,0.2716049382716049,0.0,7,6,6,5,56.0,69.0,46.0,79.0,73.0,0.0886075949367088,0.1071428571428571,0.0869565217391304,0.0,0.0684931506849315,19,,53.0,2.789473684210526,0.0,62.6,3.294736842105263
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,19,13,19,9,7,13,8,15,9,21,15,11,12,15,22,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.38,0.5909090909090909,0.25,0.6428571428571429,0.2058823529411764,0.25,0.135593220338983,0.2307692307692307,0.25,0.2692307692307692,0.25,0.1964285714285714,0.1764705882352941,0.3125,0.2716049382716049,0.0,7,6,6,5,56.0,69.0,46.0,79.0,73.0,0.0886075949367088,0.1071428571428571,0.0869565217391304,0.0,0.0684931506849315,19,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-27,20-310,LAC,,IND,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,13,19,9,7,13,8,15,9,21,15,11,12,15,22,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.38,0.5909090909090909,0.25,0.6428571428571429,0.2058823529411764,0.25,0.135593220338983,0.2307692307692307,0.25,0.2692307692307692,0.25,0.1964285714285714,0.1764705882352941,0.3125,0.2716049382716049,0.0,7,6,6,5,56.0,69.0,46.0,79.0,73.0,0.0886075949367088,0.1071428571428571,0.0869565217391304,0.0,0.0684931506849315,19,,92.0,4.842105263157895,0.0,87.39999999999998,4.599999999999999
22,22,3,2022-11-29,20-312,LAC,@,POR,W (+6),0,12:19,1.0,1.0,1.000,0.0,0.0,,1,2.0,.500,2.0,2.0,4.0,0.0,1.0,1.0,0.0,2.0,3.0,5.2,+19,1.0,1.0,1.0,19,13,19,9,7,13,8,15,9,21,15,11,12,15,22,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.38,0.5909090909090909,0.25,0.6428571428571429,0.2058823529411764,0.25,0.135593220338983,0.2307692307692307,0.25,0.2692307692307692,0.25,0.1964285714285714,0.1764705882352941,0.3125,0.2716049382716049,0.0,7,6,6,5,56.0,69.0,46.0,79.0,73.0,0.0886075949367088,0.1071428571428571,0.0869565217391304,0.0,0.0684931506849315,19,6.0,82.0,4.315789473684211,4.8,101.0,5.315789473684211
23,23,4,2022-11-30,20-313,LAC,@,UTA,L (-13),0,16:00,4.0,8.0,.500,0.0,0.0,,3,3.0,1.000,6.0,2.0,8.0,0.0,0.0,0.0,0.0,2.0,11.0,11.0,+7,8.0,4.0,0.5,19,13,19,9,7,13,8,15,9,21,15,11,12,15,22,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.38,0.5909090909090909,0.25,0.6428571428571429,0.2058823529411764,0.25,0.135593220338983,0.2307692307692307,0.25,0.2692307692307692,0.25,0.1964285714285714,0.1764705882352941,0.3125,0.2716049382716049,0.0,7,6,6,5,56.0,69.0,46.0,79.0,73.0,0.0886075949367088,0.1071428571428571,0.0869565217391304,0.0,0.0684931506849315,19,8.0,46.0,2.421052631578948,9.799999999999995,59.29999999999999,3.1210526315789466
