Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Mason Plumlee,Shared Games with Bones Hyland,Shared Games with Eric Gordon,Shared Games with Russell Westbrook,Bones Hyland,Eric Gordon,Justin Holiday,Mason Plumlee,Russell Westbrook,co_inf with Mason Plumlee,co_inf with Bones Hyland,co_inf with Eric Gordon,co_inf with Justin Holiday,co_inf with Russell Westbrook,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,33-328,LAC,,CLE,W (+2),0,15:14,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,2.0,1.0,3.0,1.5,+6,1.0,0.0,0.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,4.0,80.0,4.2105263157894735,1.4999999999999996,110.1,5.794736842105263
11,12,12,2022-11-09,33-330,LAC,,LAL,W (+13),0,15:39,0.0,1.0,.000,0.0,1.0,.000,2,2.0,1.000,3.0,3.0,6.0,1.0,0.0,0.0,1.0,2.0,2.0,3.2,+1,0.0,0.0,,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,5.0,79.0,4.157894736842105,2.4000000000000004,89.80000000000001,4.726315789473685
12,13,13,2022-11-12,33-333,LAC,,BRK,L (-15),0,17:36,0.0,5.0,.000,0.0,3.0,.000,0,0.0,,1.0,5.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.8,0,2.0,0.0,0.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,4.0,65.0,3.421052631578948,0.8000000000000007,71.79999999999998,3.778947368421052
13,14,14,2022-11-14,33-335,LAC,@,HOU,W (+16),0,19:23,4.0,7.0,.571,2.0,5.0,.400,0,2.0,.000,1.0,5.0,6.0,0.0,1.0,1.0,1.0,3.0,10.0,7.6,+10,2.0,2.0,1.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,8.0,71.0,3.736842105263158,7.599999999999998,82.79999999999998,4.357894736842105
14,15,15,2022-11-15,33-336,LAC,@,DAL,L (-2),0,26:26,7.0,7.0,1.000,7.0,7.0,1.000,1,2.0,.500,1.0,4.0,5.0,0.0,1.0,0.0,2.0,3.0,22.0,19.2,-10,0.0,0.0,,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,17.0,68.0,3.5789473684210527,18.8,73.8,3.884210526315789
15,16,16,2022-11-17,33-338,LAC,,DET,W (+5),0,13:55,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-10,0.0,0.0,,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,2.0,68.0,3.5789473684210527,0.1999999999999999,95.1,5.005263157894737
16,17,17,2022-11-19,33-340,LAC,,SAS,W (+22),0,15:57,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,0.8,+17,1.0,0.0,0.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,2.0,57.0,3.0,0.7999999999999996,72.5,3.8157894736842106
17,18,18,2022-11-21,33-342,LAC,,UTA,W (+7),0,25:05,3.0,5.0,.600,1.0,3.0,.333,0,0.0,,0.0,5.0,5.0,4.0,3.0,0.0,1.0,2.0,7.0,10.2,+17,2.0,2.0,1.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,13.0,48.0,2.526315789473684,10.2,60.99999999999999,3.2105263157894735
18,19,19,2022-11-23,33-344,LAC,@,GSW,L (-17),0,10:49,0.0,4.0,.000,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.2,-16,2.0,0.0,0.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,-1.0,80.0,4.2105263157894735,-1.1999999999999995,95.7,5.036842105263158
19,20,20,2022-11-25,33-346,LAC,,DEN,L (-10),0,24:11,0.0,3.0,.000,0.0,3.0,.000,0,0.0,,1.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,-0.2,+14,0.0,0.0,,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,2.0,51.0,2.6842105263157894,-0.1999999999999999,62.79999999999998,3.305263157894736
