Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Mason Plumlee,Shared Games with Bones Hyland,Shared Games with Eric Gordon,Shared Games with Russell Westbrook,Bones Hyland,Eric Gordon,Justin Holiday,Mason Plumlee,Russell Westbrook,co_inf with Mason Plumlee,co_inf with Bones Hyland,co_inf with Eric Gordon,co_inf with Justin Holiday,co_inf with Russell Westbrook,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-20,25-125,LAC,@,LAL,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,84.0,4.421052631578948,0.0,82.0,4.315789473684211
1,2,1,2022-10-22,25-127,LAC,@,SAC,W (+2),0,4:34,1.0,1.0,1.000,0.0,0.0,,1,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.6,0,1.0,1.0,1.0,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,0.0,78.0,4.105263157894737,1.2000000000000002,84.69999999999999,4.457894736842104
2,3,2,2022-10-23,25-128,LAC,,PHO,L (-17),0,2:53,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-2,1.0,0.0,0.0,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,1.0,49.0,2.5789473684210527,1.0,59.7,3.142105263157895
3,4,3,2022-10-25,25-130,LAC,@,OKC,L (-14),0,26:26,1.0,5.0,.200,0.0,1.0,.000,6,6.0,1.000,0.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,6.8,+13,4.0,1.0,0.25,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,2.0,71.0,3.736842105263158,4.4,66.79999999999998,3.5157894736842095
4,5,4,2022-10-27,25-132,LAC,@,OKC,L (-8),0,5:44,0.0,3.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.5,+9,2.0,0.0,0.0,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,-3.0,56.0,2.9473684210526314,-2.5,64.5,3.3947368421052633
5,6,5,2022-10-30,25-135,LAC,,NOP,L (-21),0,13:56,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,4.1,-2,2.0,2.0,1.0,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,4.0,79.0,4.157894736842105,4.1,89.69999999999999,4.721052631578947
6,7,6,2022-10-31,25-136,LAC,,HOU,W (+2),0,12:16,0.0,1.0,.000,0.0,0.0,,3,4.0,.750,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.8,-8,1.0,0.0,0.0,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,1.0,85.0,4.473684210526316,1.6,81.3,4.278947368421052
7,8,7,2022-11-02,25-138,LAC,@,HOU,W (+8),0,6:40,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-11,0.0,0.0,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,1.0,86.0,4.526315789473684,0.3,93.5,4.921052631578948
8,9,8,2022-11-04,25-140,LAC,@,SAS,W (+7),0,11:35,1.0,2.0,.500,1.0,2.0,.500,3,4.0,.750,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,6.2,-4,0.0,0.0,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,2.0,101.0,5.315789473684211,5.0,100.9,5.310526315789474
9,10,9,2022-11-06,25-142,LAC,,UTA,L (-8),0,0:58,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+3,0.0,0.0,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,0.0,87.0,4.578947368421052,0.0,97.3,5.121052631578947
