Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Shared Games with Bones Hyland,Shared Games with Mason Plumlee,Shared Games with Russell Westbrook,Amir Coffey,Bones Hyland,Brandon Boston Jr.,Ivica Zubac,Jason Preston,Justin Holiday,Kawhi Leonard,Marcus Morris,Mason Plumlee,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Robert Covington,Russell Westbrook,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with Justin Holiday,co_inf with Kawhi Leonard,co_inf with Marcus Morris,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Bones Hyland,co_inf with Mason Plumlee,co_inf with Russell Westbrook,co_inf with Xavier Moon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,33-298,HOU,@,ATL,L (-10),1,29:18,4.0,9.0,.444,1.0,4.0,.250,2,2.0,1.000,0.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,11.0,7.6,+8,5.0,3.0,0.6,43,14,25,33,1,38,44,16,43,29,47,34,47,16,41,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,,10,2,18,1,16,18,26,17,18,6,21,11,17,26,11,22,12,21,19,50.0,56.0,22.0,76.0,14.0,46.0,52.0,65.0,79.0,22.0,78.0,60.0,56.0,48.0,73.0,81.0,4.0,0.2,0.0909090909090909,0.2368421052631578,0.0714285714285714,0.0,0.3461538461538461,0.2615384615384615,0.2727272727272727,0.2692307692307692,0.1833333333333333,0.3035714285714285,0.2291666666666666,0.2716049382716049,0.2142857142857142,0.2658227848101265,0.2602739726027397,0.0,34,4.0,80.0,2.3529411764705883,6.799999999999998,75.19999999999999,2.2117647058823526
1,2,2,2022-10-21,33-300,HOU,,MEM,L (-7),1,35:45,5.0,12.0,.417,2.0,5.0,.400,5,7.0,.714,1.0,3.0,4.0,4.0,0.0,0.0,4.0,2.0,17.0,9.4,-6,7.0,3.0,0.4285714285714285,43,14,25,33,1,38,44,16,43,29,47,34,47,16,41,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,,10,2,18,1,16,18,26,17,18,6,21,11,17,26,11,22,12,21,19,50.0,56.0,22.0,76.0,14.0,46.0,52.0,65.0,79.0,22.0,78.0,60.0,56.0,48.0,73.0,81.0,4.0,0.2,0.0909090909090909,0.2368421052631578,0.0714285714285714,0.0,0.3461538461538461,0.2615384615384615,0.2727272727272727,0.2692307692307692,0.1833333333333333,0.3035714285714285,0.2291666666666666,0.2716049382716049,0.2142857142857142,0.2658227848101265,0.2602739726027397,0.0,34,2.0,76.0,2.235294117647059,7.399999999999999,78.49999999999999,2.3088235294117645
2,3,,2022-10-22,33-301,HOU,@,MIL,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,43,14,25,33,1,38,44,16,43,29,47,34,47,16,41,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,,10,2,18,1,16,18,26,17,18,6,21,11,17,26,11,22,12,21,19,50.0,56.0,22.0,76.0,14.0,46.0,52.0,65.0,79.0,22.0,78.0,60.0,56.0,48.0,73.0,81.0,4.0,0.2,0.0909090909090909,0.2368421052631578,0.0714285714285714,0.0,0.3461538461538461,0.2615384615384615,0.2727272727272727,0.2692307692307692,0.1833333333333333,0.3035714285714285,0.2291666666666666,0.2716049382716049,0.2142857142857142,0.2658227848101265,0.2602739726027397,0.0,34,,50.0,1.4705882352941178,0.0,60.7,1.785294117647059
3,4,3,2022-10-24,33-303,HOU,,UTA,W (+6),1,31:01,5.0,11.0,.455,1.0,4.0,.250,2,2.0,1.000,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,13.0,8.3,+8,7.0,4.0,0.5714285714285714,43,14,25,33,1,38,44,16,43,29,47,34,47,16,41,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,,10,2,18,1,16,18,26,17,18,6,21,11,17,26,11,22,12,21,19,50.0,56.0,22.0,76.0,14.0,46.0,52.0,65.0,79.0,22.0,78.0,60.0,56.0,48.0,73.0,81.0,4.0,0.2,0.0909090909090909,0.2368421052631578,0.0714285714285714,0.0,0.3461538461538461,0.2615384615384615,0.2727272727272727,0.2692307692307692,0.1833333333333333,0.3035714285714285,0.2291666666666666,0.2716049382716049,0.2142857142857142,0.2658227848101265,0.2602739726027397,0.0,34,3.0,70.0,2.0588235294117645,7.5,63.69999999999999,1.8735294117647054
4,5,4,2022-10-26,33-305,HOU,@,UTA,L (-8),1,30:02,6.0,12.0,.500,2.0,7.0,.286,2,3.0,.667,0.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,16.0,13.3,-6,5.0,4.0,0.8,43,14,25,33,1,38,44,16,43,29,47,34,47,16,41,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,,10,2,18,1,16,18,26,17,18,6,21,11,17,26,11,22,12,21,19,50.0,56.0,22.0,76.0,14.0,46.0,52.0,65.0,79.0,22.0,78.0,60.0,56.0,48.0,73.0,81.0,4.0,0.2,0.0909090909090909,0.2368421052631578,0.0714285714285714,0.0,0.3461538461538461,0.2615384615384615,0.2727272727272727,0.2692307692307692,0.1833333333333333,0.3035714285714285,0.2291666666666666,0.2716049382716049,0.2142857142857142,0.2658227848101265,0.2602739726027397,0.0,34,7.0,46.0,1.3529411764705883,12.500000000000004,49.5,1.4558823529411764
5,6,5,2022-10-28,33-307,HOU,@,POR,L (-14),1,33:16,6.0,10.0,.600,4.0,7.0,.571,2,2.0,1.000,0.0,3.0,3.0,5.0,1.0,1.0,5.0,1.0,18.0,14.1,+1,3.0,2.0,0.6666666666666666,43,14,25,33,1,38,44,16,43,29,47,34,47,16,41,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,,10,2,18,1,16,18,26,17,18,6,21,11,17,26,11,22,12,21,19,50.0,56.0,22.0,76.0,14.0,46.0,52.0,65.0,79.0,22.0,78.0,60.0,56.0,48.0,73.0,81.0,4.0,0.2,0.0909090909090909,0.2368421052631578,0.0714285714285714,0.0,0.3461538461538461,0.2615384615384615,0.2727272727272727,0.2692307692307692,0.1833333333333333,0.3035714285714285,0.2291666666666666,0.2716049382716049,0.2142857142857142,0.2658227848101265,0.2602739726027397,0.0,34,11.0,72.0,2.117647058823529,13.299999999999995,80.5,2.3676470588235294
6,7,,2022-10-30,33-309,HOU,@,PHO,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,43,14,25,33,1,38,44,16,43,29,47,34,47,16,41,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,,10,2,18,1,16,18,26,17,18,6,21,11,17,26,11,22,12,21,19,50.0,56.0,22.0,76.0,14.0,46.0,52.0,65.0,79.0,22.0,78.0,60.0,56.0,48.0,73.0,81.0,4.0,0.2,0.0909090909090909,0.2368421052631578,0.0714285714285714,0.0,0.3461538461538461,0.2615384615384615,0.2727272727272727,0.2692307692307692,0.1833333333333333,0.3035714285714285,0.2291666666666666,0.2716049382716049,0.2142857142857142,0.2658227848101265,0.2602739726027397,0.0,34,,86.0,2.5294117647058822,0.0,82.89999999999999,2.438235294117647
7,8,6,2022-10-31,33-310,HOU,@,LAC,L (-2),1,30:07,5.0,11.0,.455,2.0,4.0,.500,0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,12.0,9.3,-10,7.0,3.0,0.4285714285714285,43,14,25,33,1,38,44,16,43,29,47,34,47,16,41,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,,10,2,18,1,16,18,26,17,18,6,21,11,17,26,11,22,12,21,19,50.0,56.0,22.0,76.0,14.0,46.0,52.0,65.0,79.0,22.0,78.0,60.0,56.0,48.0,73.0,81.0,4.0,0.2,0.0909090909090909,0.2368421052631578,0.0714285714285714,0.0,0.3461538461538461,0.2615384615384615,0.2727272727272727,0.2692307692307692,0.1833333333333333,0.3035714285714285,0.2291666666666666,0.2716049382716049,0.2142857142857142,0.2658227848101265,0.2602739726027397,0.0,34,7.0,80.0,2.3529411764705883,9.3,84.5,2.485294117647059
8,9,7,2022-11-02,33-312,HOU,,LAC,L (-8),1,32:49,0.0,4.0,.000,0.0,3.0,.000,0,0.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.3,-7,1.0,0.0,0.0,43,14,25,33,1,38,44,16,43,29,47,34,47,16,41,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,,10,2,18,1,16,18,26,17,18,6,21,11,17,26,11,22,12,21,19,50.0,56.0,22.0,76.0,14.0,46.0,52.0,65.0,79.0,22.0,78.0,60.0,56.0,48.0,73.0,81.0,4.0,0.2,0.0909090909090909,0.2368421052631578,0.0714285714285714,0.0,0.3461538461538461,0.2615384615384615,0.2727272727272727,0.2692307692307692,0.1833333333333333,0.3035714285714285,0.2291666666666666,0.2716049382716049,0.2142857142857142,0.2658227848101265,0.2602739726027397,0.0,34,1.0,102.0,3.0,0.2999999999999998,105.59999999999998,3.105882352941176
9,10,8,2022-11-05,33-315,HOU,@,MIN,L (-12),1,26:38,4.0,9.0,.444,2.0,6.0,.333,1,2.0,.500,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,11.0,7.6,-10,3.0,2.0,0.6666666666666666,43,14,25,33,1,38,44,16,43,29,47,34,47,16,41,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,,10,2,18,1,16,18,26,17,18,6,21,11,17,26,11,22,12,21,19,50.0,56.0,22.0,76.0,14.0,46.0,52.0,65.0,79.0,22.0,78.0,60.0,56.0,48.0,73.0,81.0,4.0,0.2,0.0909090909090909,0.2368421052631578,0.0714285714285714,0.0,0.3461538461538461,0.2615384615384615,0.2727272727272727,0.2692307692307692,0.1833333333333333,0.3035714285714285,0.2291666666666666,0.2716049382716049,0.2142857142857142,0.2658227848101265,0.2602739726027397,0.0,34,4.0,83.0,2.4411764705882355,7.1999999999999975,90.1,2.65
