Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Javonte Green,Shared Games with Kostas Antetokounmpo,Shared Games with Lonzo Ball,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine
0,1,1,2022-10-19,36-166,CHI,@,MIA,W (+8),0,18.833333333333332,4.0,8.0,.500,4.0,5.0,.800,0,2,.000,0,0,0,2,2,0,1,2,12,8.8,-9,3.0,0.0,0.0,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
1,2,2,2022-10-21,36-168,CHI,@,WAS,L (-2),0,23.283333333333335,3.0,8.0,.375,1.0,3.0,.333,0,0,,2,0,2,5,0,0,0,4,7,5.9,+22,5.0,2.0,0.4,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
2,3,3,2022-10-22,36-169,CHI,,CLE,L (-32),0,11.416666666666666,2.0,4.0,.500,0.0,1.0,.000,0,0,,0,2,2,3,0,0,1,1,4,3.3,-16,3.0,2.0,0.6666666666666666,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
3,4,4,2022-10-24,36-171,CHI,,BOS,W (+18),0,17.2,2.0,7.0,.286,0.0,1.0,.000,3,4,.750,0,0,0,6,0,0,0,1,7,6.3,+21,6.0,2.0,0.3333333333333333,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
4,5,5,2022-10-26,36-173,CHI,,IND,W (+15),0,15.766666666666667,5.0,9.0,.556,3.0,3.0,1.000,0,0,,0,2,2,5,0,0,2,1,13,10.4,+19,6.0,2.0,0.3333333333333333,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
5,6,6,2022-10-28,36-175,CHI,@,SAS,L (-5),0,21.816666666666666,3.0,8.0,.375,1.0,3.0,.333,2,2,1.000,0,3,3,5,0,0,2,1,9,6.6,+6,5.0,2.0,0.4,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
6,7,7,2022-10-29,36-176,CHI,,PHI,L (-5),0,13.416666666666666,1.0,6.0,.167,0.0,2.0,.000,0,0,,0,1,1,1,0,0,0,2,2,-1.6,-12,4.0,1.0,0.25,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
7,8,8,2022-11-01,36-179,CHI,@,BRK,W (+9),0,19.5,4.0,8.0,.500,4.0,6.0,.667,3,4,.750,0,2,2,2,0,1,1,0,15,12.3,+7,2.0,0.0,0.0,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
8,9,9,2022-11-02,36-180,CHI,,CHO,W (+18),0,15.266666666666667,6.0,9.0,.667,2.0,4.0,.500,2,2,1.000,0,3,3,3,0,1,3,1,16,12.4,+14,5.0,4.0,0.8,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
9,10,10,2022-11-04,36-182,CHI,@,BOS,L (-4),0,19.416666666666668,2.0,9.0,.222,1.0,4.0,.250,0,0,,0,1,1,2,0,1,1,0,5,0.9,-6,5.0,1.0,0.2,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
