Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-06,33-091,CHI,@,TOR,L (-9),1,37:29,7.0,9.0,.778,0.0,1.0,.000,6,6.0,1.000,1.0,4.0,5.0,2.0,1.0,1.0,5.0,2.0,20.0,15.7,-8,8.0,7.0,0.875,60,62,72,6,66,32,58,47,31,4,6,74,74,11,70,67.0,67.0,80.0,7.0,74.0,38.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8955223880597015,0.9253731343283582,0.9,0.8571428571428571,0.8918918918918919,0.8421052631578947,0.90625,0.8103448275862069,0.96875,,,0.8,0.8571428571428571,0.902439024390244,0.902439024390244,0.9166666666666666,0.9090909090909092,4,19,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.2835820895522388,0.0,17,9.0,81.0,4.764705882352941,13.299999999999994,75.69999999999999,4.4529411764705875
11,12,12,2022-11-07,33-092,CHI,,TOR,W (+14),1,35:38,2.0,6.0,.333,0.0,1.0,.000,5,6.0,.833,0.0,6.0,6.0,7.0,1.0,0.0,2.0,4.0,9.0,9.3,+7,5.0,2.0,0.4,60,62,72,6,66,32,58,47,31,4,6,74,74,11,70,67.0,67.0,80.0,7.0,74.0,38.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8955223880597015,0.9253731343283582,0.9,0.8571428571428571,0.8918918918918919,0.8421052631578947,0.90625,0.8103448275862069,0.96875,,,0.8,0.8571428571428571,0.902439024390244,0.902439024390244,0.9166666666666666,0.9090909090909092,4,19,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.2835820895522388,0.0,17,9.0,93.0,5.470588235294118,7.300000000000001,93.5,5.5
12,13,13,2022-11-09,33-094,CHI,,NOP,L (-4),1,36:38,14.0,26.0,.538,0.0,2.0,.000,5,6.0,.833,0.0,3.0,3.0,3.0,1.0,1.0,3.0,5.0,33.0,19.7,-3,24.0,14.0,0.5833333333333334,60,62,72,6,66,32,58,47,31,4,6,74,74,11,70,67.0,67.0,80.0,7.0,74.0,38.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8955223880597015,0.9253731343283582,0.9,0.8571428571428571,0.8918918918918919,0.8421052631578947,0.90625,0.8103448275862069,0.96875,,,0.8,0.8571428571428571,0.902439024390244,0.902439024390244,0.9166666666666666,0.9090909090909092,4,19,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.2835820895522388,0.0,17,6.0,69.0,4.0588235294117645,17.700000000000003,58.59999999999999,3.447058823529411
13,14,14,2022-11-13,33-098,CHI,,DEN,L (-23),1,25:40,6.0,11.0,.545,0.0,1.0,.000,4,6.0,.667,0.0,2.0,2.0,4.0,0.0,1.0,0.0,3.0,16.0,12.8,-26,10.0,6.0,0.6,60,62,72,6,66,32,58,47,31,4,6,74,74,11,70,67.0,67.0,80.0,7.0,74.0,38.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8955223880597015,0.9253731343283582,0.9,0.8571428571428571,0.8918918918918919,0.8421052631578947,0.90625,0.8103448275862069,0.96875,,,0.8,0.8571428571428571,0.902439024390244,0.902439024390244,0.9166666666666666,0.9090909090909092,4,19,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.2835820895522388,0.0,17,6.0,63.0,3.7058823529411766,11.2,58.99999999999999,3.4705882352941173
14,15,15,2022-11-16,33-101,CHI,@,NOP,L (-14),1,30:53,11.0,15.0,.733,0.0,1.0,.000,6,7.0,.857,1.0,3.0,4.0,7.0,0.0,0.0,0.0,3.0,28.0,26.8,-14,14.0,11.0,0.7857142857142857,60,62,72,6,66,32,58,47,31,4,6,74,74,11,70,67.0,67.0,80.0,7.0,74.0,38.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8955223880597015,0.9253731343283582,0.9,0.8571428571428571,0.8918918918918919,0.8421052631578947,0.90625,0.8103448275862069,0.96875,,,0.8,0.8571428571428571,0.902439024390244,0.902439024390244,0.9166666666666666,0.9090909090909092,4,19,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.2835820895522388,0.0,17,17.0,50.0,2.9411764705882355,24.4,51.29999999999999,3.017647058823529
15,16,16,2022-11-18,33-103,CHI,,ORL,L (-1),1,43:38,16.0,30.0,.533,1.0,2.0,.500,8,9.0,.889,1.0,3.0,4.0,2.0,0.0,0.0,2.0,2.0,41.0,26.2,+13,28.0,15.0,0.5357142857142857,60,62,72,6,66,32,58,47,31,4,6,74,74,11,70,67.0,67.0,80.0,7.0,74.0,38.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8955223880597015,0.9253731343283582,0.9,0.8571428571428571,0.8918918918918919,0.8421052631578947,0.90625,0.8103448275862069,0.96875,,,0.8,0.8571428571428571,0.902439024390244,0.902439024390244,0.9166666666666666,0.9090909090909092,4,19,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.2835820895522388,0.0,17,6.0,92.0,5.411764705882353,23.0,73.7,4.335294117647059
16,17,17,2022-11-21,33-106,CHI,,BOS,W (+14),1,35:03,11.0,24.0,.458,3.0,3.0,1.000,3,3.0,1.000,0.0,8.0,8.0,4.0,1.0,0.0,2.0,3.0,28.0,18.6,+20,21.0,8.0,0.3809523809523809,60,62,72,6,66,32,58,47,31,4,6,74,74,11,70,67.0,67.0,80.0,7.0,74.0,38.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8955223880597015,0.9253731343283582,0.9,0.8571428571428571,0.8918918918918919,0.8421052631578947,0.90625,0.8103448275862069,0.96875,,,0.8,0.8571428571428571,0.902439024390244,0.902439024390244,0.9166666666666666,0.9090909090909092,4,19,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.2835820895522388,0.0,17,12.0,95.0,5.588235294117647,17.4,83.89999999999999,4.935294117647058
17,18,18,2022-11-23,33-108,CHI,@,MIL,W (+5),1,37:33,14.0,24.0,.583,2.0,3.0,.667,6,7.0,.857,0.0,4.0,4.0,8.0,1.0,2.0,2.0,0.0,36.0,31.6,+15,21.0,12.0,0.5714285714285714,60,62,72,6,66,32,58,47,31,4,6,74,74,11,70,67.0,67.0,80.0,7.0,74.0,38.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8955223880597015,0.9253731343283582,0.9,0.8571428571428571,0.8918918918918919,0.8421052631578947,0.90625,0.8103448275862069,0.96875,,,0.8,0.8571428571428571,0.902439024390244,0.902439024390244,0.9166666666666666,0.9090909090909092,4,19,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.2835820895522388,0.0,17,18.0,87.0,5.117647058823529,29.200000000000006,78.5,4.617647058823529
18,19,19,2022-11-25,33-110,CHI,@,OKC,L (-4),1,42:16,12.0,27.0,.444,0.0,1.0,.000,6,8.0,.750,0.0,4.0,4.0,6.0,2.0,0.0,2.0,5.0,30.0,18.5,+6,26.0,12.0,0.4615384615384615,60,62,72,6,66,32,58,47,31,4,6,74,74,11,70,67.0,67.0,80.0,7.0,74.0,38.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8955223880597015,0.9253731343283582,0.9,0.8571428571428571,0.8918918918918919,0.8421052631578947,0.90625,0.8103448275862069,0.96875,,,0.8,0.8571428571428571,0.902439024390244,0.902439024390244,0.9166666666666666,0.9090909090909092,4,19,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.2835820895522388,0.0,17,5.0,62.0,3.647058823529412,16.100000000000005,62.2,3.658823529411765
19,20,20,2022-11-28,33-113,CHI,@,UTA,W (+7),1,35:40,9.0,20.0,.450,0.0,1.0,.000,8,9.0,.889,2.0,2.0,4.0,6.0,1.0,0.0,0.0,4.0,26.0,20.8,+2,19.0,9.0,0.4736842105263157,60,62,72,6,66,32,58,47,31,4,6,74,74,11,70,67.0,67.0,80.0,7.0,74.0,38.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8955223880597015,0.9253731343283582,0.9,0.8571428571428571,0.8918918918918919,0.8421052631578947,0.90625,0.8103448275862069,0.96875,,,0.8,0.8571428571428571,0.902439024390244,0.902439024390244,0.9166666666666666,0.9090909090909092,4,19,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.2835820895522388,0.0,17,8.0,61.0,3.588235294117647,17.599999999999994,55.1,3.2411764705882353
