Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
30,30,30,2022-12-20,32-057,CHI,@,MIA,W (+10),1,37:17,13.0,17.0,.765,3.0,5.0,.600,0,0.0,,2.0,10.0,12.0,2.0,1.0,0.0,3.0,2.0,29.0,25.3,+4,12.0,10.0,0.8333333333333334,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,24.0,55.0,3.235294117647059,25.3,68.4,4.023529411764706
31,31,31,2022-12-21,32-058,CHI,@,ATL,W (+2),1,33:08,8.0,17.0,.471,2.0,7.0,.286,2,2.0,1.000,2.0,5.0,7.0,2.0,1.0,1.0,0.0,1.0,20.0,16.9,-13,10.0,6.0,0.6,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,12.0,78.0,4.588235294117647,16.099999999999998,82.39999999999999,4.847058823529411
32,32,32,2022-12-23,32-060,CHI,@,NYK,W (+1),1,39:03,8.0,16.0,.500,3.0,7.0,.429,2,2.0,1.000,3.0,9.0,12.0,2.0,1.0,0.0,1.0,3.0,21.0,18.0,+9,9.0,5.0,0.5555555555555556,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,17.0,86.0,5.0588235294117645,17.199999999999996,86.7,5.1000000000000005
33,33,33,2022-12-26,32-063,CHI,,HOU,L (-15),1,29:50,4.0,13.0,.308,1.0,5.0,.200,1,2.0,.500,0.0,3.0,3.0,4.0,0.0,0.0,2.0,3.0,10.0,2.6,-13,8.0,3.0,0.375,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,0.0,86.0,5.0588235294117645,2.200000000000001,87.0,5.117647058823529
34,34,34,2022-12-28,32-065,CHI,,MIL,W (+6),1,36:30,5.0,12.0,.417,3.0,5.0,.600,2,2.0,1.000,2.0,12.0,14.0,5.0,0.0,3.0,4.0,5.0,15.0,13.2,-4,7.0,2.0,0.2857142857142857,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,19.0,68.0,4.0,12.400000000000002,76.19999999999999,4.48235294117647
35,35,35,2022-12-30,32-067,CHI,,DET,W (+14),1,32:49,9.0,16.0,.563,1.0,3.0,.333,0,0.0,,3.0,6.0,9.0,2.0,1.0,3.0,1.0,1.0,19.0,18.4,+16,13.0,8.0,0.6153846153846154,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,17.0,99.0,5.823529411764706,18.4,98.0,5.764705882352941
36,36,36,2022-12-31,32-068,CHI,,CLE,L (-1),1,34:30,5.0,13.0,.385,0.0,4.0,.000,1,2.0,.500,3.0,11.0,14.0,1.0,2.0,1.0,0.0,2.0,11.0,11.5,+7,9.0,5.0,0.5555555555555556,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,14.0,66.0,3.882352941176471,11.099999999999996,84.6,4.976470588235294
37,37,37,2023-01-02,32-070,CHI,@,CLE,L (-11),1,43:31,6.0,8.0,.750,2.0,4.0,.500,6,7.0,.857,1.0,12.0,13.0,2.0,0.0,0.0,1.0,3.0,20.0,19.9,-19,4.0,4.0,1.0,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,19.0,70.0,4.117647058823529,17.499999999999993,78.29999999999998,4.605882352941175
38,38,38,2023-01-04,32-072,CHI,,BRK,W (+9),1,35:52,8.0,12.0,.667,1.0,3.0,.333,4,4.0,1.000,2.0,11.0,13.0,3.0,0.0,2.0,3.0,2.0,21.0,20.2,+6,9.0,7.0,0.7777777777777778,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,20.0,54.0,3.176470588235294,18.6,69.39999999999998,4.082352941176469
39,39,39,2023-01-06,32-074,CHI,@,PHI,W (+14),1,36:29,8.0,14.0,.571,2.0,3.0,.667,1,1.0,1.000,2.0,16.0,18.0,10.0,0.0,2.0,1.0,1.0,19.0,25.6,+16,11.0,6.0,0.5454545454545454,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,33.0,78.0,4.588235294117647,25.200000000000003,83.00000000000001,4.882352941176471
40,40,40,2023-01-07,32-075,CHI,,UTA,W (+8),1,33:30,5.0,8.0,.625,2.0,3.0,.667,3,4.0,.750,2.0,14.0,16.0,4.0,0.0,2.0,1.0,4.0,15.0,18.2,+1,5.0,3.0,0.6,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,24.0,73.0,4.294117647058823,16.999999999999993,82.30000000000001,4.841176470588236
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,0.0,0.0,0.0,0.0,0.0
42,41,41,2023-01-09,32-077,CHI,@,BOS,L (-8),1,33:38,9.0,15.0,.600,3.0,6.0,.500,0,2.0,.000,1.0,12.0,13.0,1.0,0.0,0.0,0.0,1.0,21.0,17.9,-18,9.0,6.0,0.6666666666666666,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,18.0,53.0,3.117647058823529,17.9,53.39999999999999,3.141176470588235
43,42,42,2023-01-11,32-079,CHI,@,WAS,L (-3),1,38:47,7.0,14.0,.500,1.0,4.0,.250,0,0.0,,3.0,7.0,10.0,5.0,0.0,2.0,2.0,2.0,15.0,14.3,-2,10.0,6.0,0.6,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,16.0,38.0,2.235294117647059,14.3,48.8,2.8705882352941177
44,43,43,2023-01-13,32-081,CHI,,OKC,L (-14),1,39:01,9.0,14.0,.643,1.0,4.0,.250,0,0.0,,3.0,8.0,11.0,4.0,1.0,0.0,4.0,2.0,19.0,16.3,-13,10.0,8.0,0.8,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,17.0,54.0,3.176470588235294,16.3,65.69999999999999,3.8647058823529403
45,44,44,2023-01-15,32-083,CHI,,GSW,W (+14),1,39:01,18.0,31.0,.581,5.0,10.0,.500,2,2.0,1.000,4.0,9.0,13.0,4.0,4.0,0.0,1.0,1.0,43.0,39.4,+12,21.0,13.0,0.6190476190476191,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,30.0,99.0,5.823529411764706,38.6,108.3,6.370588235294117
46,45,45,2023-01-19,32-087,CHI,@,DET,W (+18),1,35:12,8.0,19.0,.421,0.0,5.0,.000,0,0.0,,4.0,11.0,15.0,6.0,1.0,0.0,2.0,4.0,16.0,13.6,+16,14.0,8.0,0.5714285714285714,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,17.0,98.0,5.764705882352941,13.600000000000003,115.70000000000002,6.805882352941177
47,46,46,2023-01-23,32-091,CHI,,ATL,W (+11),1,38:47,6.0,14.0,.429,1.0,5.0,.200,1,2.0,.500,6.0,11.0,17.0,7.0,1.0,0.0,1.0,1.0,14.0,18.2,+19,9.0,5.0,0.5555555555555556,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,22.0,87.0,5.117647058823529,17.8,101.6,5.976470588235294
48,47,47,2023-01-24,32-092,CHI,@,IND,L (-6),1,32:43,9.0,14.0,.643,2.0,2.0,1.000,0,0.0,,0.0,8.0,8.0,5.0,0.0,2.0,3.0,2.0,20.0,17.3,+2,12.0,7.0,0.5833333333333334,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,18.0,75.0,4.411764705882353,17.3,80.4,4.729411764705882
49,48,48,2023-01-26,32-094,CHI,@,CHO,L (-15),1,35:25,5.0,16.0,.313,0.0,6.0,.000,2,2.0,1.000,0.0,9.0,9.0,1.0,1.0,0.0,2.0,4.0,12.0,3.6,-23,10.0,5.0,0.5,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,3.0,53.0,3.117647058823529,2.799999999999999,67.3,3.9588235294117644
50,49,49,2023-01-28,32-096,CHI,@,ORL,W (+19),1,39:11,11.0,18.0,.611,2.0,5.0,.400,2,2.0,1.000,4.0,9.0,13.0,5.0,0.0,2.0,3.0,4.0,26.0,23.6,+23,13.0,9.0,0.6923076923076923,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,23.0,102.0,6.0,22.8,124.2,7.305882352941176
51,50,50,2023-01-31,32-099,CHI,,LAC,L (-5),1,38:40,10.0,15.0,.667,3.0,6.0,.500,0,0.0,,0.0,14.0,14.0,4.0,2.0,0.0,0.0,3.0,23.0,24.3,+10,9.0,7.0,0.7777777777777778,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,28.0,100.0,5.882352941176471,24.3,97.4,5.729411764705882
52,51,51,2023-02-02,32-101,CHI,,CHO,W (+16),1,33:16,7.0,14.0,.500,1.0,5.0,.200,2,2.0,1.000,0.0,12.0,12.0,6.0,1.0,0.0,0.0,2.0,17.0,18.0,+4,9.0,6.0,0.6666666666666666,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,20.0,63.0,3.7058823529411766,17.199999999999996,68.8,4.047058823529412
53,52,52,2023-02-04,32-103,CHI,,POR,W (+8),1,34:34,10.0,17.0,.588,0.0,4.0,.000,3,4.0,.750,3.0,8.0,11.0,4.0,0.0,0.0,1.0,3.0,23.0,19.8,-1,13.0,10.0,0.7692307692307693,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,16.0,95.0,5.588235294117647,18.6,100.89999999999998,5.935294117647057
54,53,53,2023-02-06,32-105,CHI,,SAS,W (+24),1,23:35,10.0,18.0,.556,2.0,6.0,.333,0,0.0,,1.0,11.0,12.0,4.0,1.0,2.0,3.0,2.0,22.0,18.8,-3,12.0,8.0,0.6666666666666666,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,20.0,108.0,6.352941176470588,18.8,89.9,5.288235294117648
55,54,54,2023-02-07,32-106,CHI,@,MEM,L (-15),1,37:15,12.0,26.0,.462,3.0,7.0,.429,1,2.0,.500,4.0,13.0,17.0,6.0,3.0,0.0,1.0,1.0,28.0,26.7,-9,19.0,9.0,0.4736842105263157,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,25.0,66.0,3.882352941176471,26.29999999999999,68.59999999999998,4.035294117647058
56,55,55,2023-02-09,32-108,CHI,@,BRK,L (-11),1,37:13,7.0,15.0,.467,1.0,6.0,.167,0,0.0,,2.0,15.0,17.0,1.0,0.0,0.0,0.0,4.0,15.0,12.3,-3,9.0,6.0,0.6666666666666666,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,18.0,50.0,2.9411764705882355,12.3,71.19999999999999,4.188235294117646
57,56,56,2023-02-11,32-110,CHI,@,CLE,L (-8),1,36:26,7.0,13.0,.538,0.0,4.0,.000,0,0.0,,0.0,14.0,14.0,4.0,0.0,1.0,0.0,2.0,14.0,14.6,-3,9.0,7.0,0.7777777777777778,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,20.0,70.0,4.117647058823529,14.6,57.8,3.4
58,57,57,2023-02-13,32-112,CHI,,ORL,L (-9),1,34:12,5.0,11.0,.455,1.0,2.0,.500,2,2.0,1.000,2.0,11.0,13.0,1.0,2.0,0.0,1.0,4.0,13.0,12.1,-13,9.0,4.0,0.4444444444444444,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,15.0,76.0,4.470588235294118,11.3,73.8,4.341176470588235
59,58,58,2023-02-15,32-114,CHI,@,IND,L (-4),1,36:31,8.0,18.0,.444,3.0,5.0,.600,0,2.0,.000,1.0,6.0,7.0,3.0,0.0,2.0,4.0,3.0,19.0,9.6,-8,13.0,5.0,0.3846153846153846,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,7.0,90.0,5.294117647058823,9.599999999999994,97.5,5.735294117647059
60,59,59,2023-02-16,32-115,CHI,,MIL,L (-12),1,31:21,8.0,20.0,.400,2.0,6.0,.333,4,4.0,1.000,4.0,12.0,16.0,3.0,0.0,0.0,2.0,4.0,22.0,16.1,-23,14.0,6.0,0.4285714285714285,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,15.0,65.0,3.823529411764706,14.5,68.99999999999999,4.058823529411764
61,60,60,2023-02-24,32-123,CHI,,BRK,W (+44),1,28:30,5.0,9.0,.556,0.0,0.0,,3,4.0,.750,1.0,9.0,10.0,2.0,0.0,2.0,0.0,1.0,13.0,14.1,+35,9.0,5.0,0.5555555555555556,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,14.0,115.0,6.764705882352941,12.899999999999997,108.8,6.3999999999999995
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,0.0,0.0,0.0,0.0,0.0
63,61,61,2023-02-26,32-125,CHI,,WAS,W (+20),1,32:22,7.0,16.0,.438,0.0,6.0,.000,2,2.0,1.000,2.0,11.0,13.0,1.0,0.0,0.0,0.0,2.0,16.0,12.2,0,10.0,7.0,0.7,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,12.0,81.0,4.764705882352941,11.4,92.6,5.447058823529411
64,62,62,2023-02-28,32-127,CHI,@,TOR,L (-6),1,31:29,9.0,14.0,.643,4.0,6.0,.667,1,1.0,1.000,1.0,4.0,5.0,4.0,0.0,0.0,6.0,2.0,23.0,14.7,+1,8.0,5.0,0.625,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,11.0,89.0,5.235294117647059,14.3,78.0,4.588235294117647
