Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-06,32-013,CHI,@,TOR,L (-9),1,35:28,8.0,13.0,.615,2.0,5.0,.400,0,0.0,,4.0,8.0,12.0,6.0,0.0,1.0,4.0,2.0,18.0,17.4,-10,8.0,6.0,0.75,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,20.0,70.0,4.117647058823529,17.399999999999995,71.6,4.211764705882352
11,12,12,2022-11-07,32-014,CHI,,TOR,W (+14),1,34:43,7.0,14.0,.500,1.0,4.0,.250,0,0.0,,0.0,13.0,13.0,4.0,0.0,2.0,5.0,3.0,15.0,9.9,+7,10.0,6.0,0.6,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,15.0,87.0,5.117647058823529,9.900000000000002,90.9,5.347058823529412
12,13,13,2022-11-09,32-016,CHI,,NOP,L (-4),1,27:24,6.0,9.0,.667,2.0,4.0,.500,4,5.0,.800,0.0,7.0,7.0,2.0,0.0,0.0,2.0,2.0,18.0,14.4,-13,5.0,4.0,0.8,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,11.0,64.0,3.764705882352941,12.799999999999995,63.49999999999999,3.7352941176470584
13,14,14,2022-11-13,32-020,CHI,,DEN,L (-23),1,23:04,4.0,10.0,.400,1.0,3.0,.333,0,0.0,,0.0,6.0,6.0,0.0,0.0,0.0,3.0,1.0,9.0,2.0,-16,7.0,3.0,0.4285714285714285,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,2.0,67.0,3.941176470588236,1.9999999999999984,68.19999999999999,4.011764705882352
14,15,15,2022-11-16,32-023,CHI,@,NOP,L (-14),1,29:46,6.0,13.0,.462,2.0,5.0,.400,0,0.0,,2.0,8.0,10.0,0.0,1.0,0.0,2.0,1.0,14.0,9.7,-10,8.0,4.0,0.5,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,10.0,57.0,3.3529411764705883,9.699999999999996,66.0,3.8823529411764706
15,16,16,2022-11-18,32-025,CHI,,ORL,L (-1),1,33:24,5.0,13.0,.385,0.0,2.0,.000,4,6.0,.667,3.0,13.0,16.0,7.0,1.0,3.0,1.0,3.0,14.0,17.9,+9,11.0,5.0,0.4545454545454545,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,21.0,77.0,4.529411764705882,16.3,80.4,4.729411764705882
16,17,17,2022-11-21,32-028,CHI,,BOS,W (+14),1,35:03,6.0,7.0,.857,0.0,1.0,.000,0,1.0,.000,1.0,12.0,13.0,6.0,0.0,0.0,0.0,0.0,12.0,17.6,+20,6.0,6.0,1.0,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,23.0,84.0,4.941176470588236,17.6,83.69999999999999,4.923529411764705
17,18,18,2022-11-23,32-030,CHI,@,MIL,W (+5),1,29:48,7.0,14.0,.500,4.0,10.0,.400,0,0.0,,1.0,4.0,5.0,4.0,0.0,1.0,2.0,1.0,18.0,14.0,+13,4.0,3.0,0.75,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,12.0,93.0,5.470588235294118,13.999999999999998,93.7,5.511764705882353
18,19,19,2022-11-25,32-032,CHI,@,OKC,L (-4),1,39:59,6.0,14.0,.429,1.0,7.0,.143,0,0.0,,3.0,10.0,13.0,3.0,0.0,0.0,2.0,1.0,13.0,10.4,+5,7.0,5.0,0.7142857142857143,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,13.0,54.0,3.176470588235294,10.400000000000002,67.89999999999999,3.994117647058823
19,20,20,2022-11-28,32-035,CHI,@,UTA,W (+7),1,33:34,8.0,17.0,.471,0.0,4.0,.000,0,0.0,,3.0,6.0,9.0,2.0,1.0,0.0,1.0,1.0,16.0,12.2,+3,13.0,8.0,0.6153846153846154,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,10.0,59.0,3.4705882352941178,12.199999999999998,60.49999999999999,3.5588235294117645
