Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,10.0,2022-11-06,22-293,CHI,TOR,1.0,38.0,6.0,15.0,0.4,3.0,8.0,0.375,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,3.0,4.0,15.0,5.3,-30.0,7.0,3.0,0.4285714285714285,65,66,7,72,37,72,62,49,30,5,7,80,80,12,75,67.0,67.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.9701492537313432,0.9850746268656716,1.0,0.972972972972973,0.9736842105263158,0.972972972972973,0.96875,0.8448275862068966,0.9375,,,1.0,1.0,0.975609756097561,0.975609756097561,1.0,0.974025974025974,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,3.0,87.0,5.117647058823529,5.299999999999999,10.2,2.9,-2.5,-3.0,0.6,0.0740620957309185,0.567,0.332,0.144,-0.2,0.7,L (-9),L (-9)
12.0,11.0,2022-11-07,22-294,CHI,TOR,1.0,27.35,5.0,10.0,0.5,2.0,7.0,0.286,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,2.0,3.0,2.0,12.0,7.2,-3.0,3.0,3.0,1.0,65,66,7,72,37,72,62,49,30,5,7,80,80,12,75,67.0,67.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.9701492537313432,0.9850746268656716,1.0,0.972972972972973,0.9736842105263158,0.972972972972973,0.96875,0.8448275862068966,0.9375,,,1.0,1.0,0.975609756097561,0.975609756097561,1.0,0.974025974025974,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,7.0,95.0,5.588235294117647,7.199999999999996,10.2,2.9,-2.5,-3.0,0.6,0.0740620957309185,0.567,0.332,0.144,-0.2,0.7,W (+14),W (+14)
13.0,12.0,2022-11-09,22-296,CHI,NOP,1.0,25.9,2.0,3.0,0.667,0.0,0.0,,3.0,3.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,2.0,1.0,7.0,7.4,-15.0,3.0,2.0,0.6666666666666666,65,66,7,72,37,72,62,49,30,5,7,80,80,12,75,67.0,67.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.9701492537313432,0.9850746268656716,1.0,0.972972972972973,0.9736842105263158,0.972972972972973,0.96875,0.8448275862068966,0.9375,,,1.0,1.0,0.975609756097561,0.975609756097561,1.0,0.974025974025974,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,6.0,69.0,4.0588235294117645,6.1999999999999975,10.2,2.9,-2.5,-3.0,0.6,0.0740620957309185,0.567,0.332,0.144,-0.2,0.7,L (-4),L (-4)
14.0,13.0,2022-11-13,22-300,CHI,DEN,1.0,29.55,3.0,9.0,0.333,0.0,4.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,4.0,2.0,0.0,2.0,3.0,7.0,4.1,-27.0,5.0,3.0,0.6,65,66,7,72,37,72,62,49,30,5,7,80,80,12,75,67.0,67.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.9701492537313432,0.9850746268656716,1.0,0.972972972972973,0.9736842105263158,0.972972972972973,0.96875,0.8448275862068966,0.9375,,,1.0,1.0,0.975609756097561,0.975609756097561,1.0,0.974025974025974,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,2.0,67.0,3.941176470588236,3.7,10.2,2.9,-2.5,-3.0,0.6,0.0740620957309185,0.567,0.332,0.144,-0.2,0.7,L (-23),L (-23)
15.0,14.0,2022-11-16,22-303,CHI,NOP,1.0,27.58333333333333,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,4.0,1.9,-8.0,2.0,2.0,1.0,65,66,7,72,37,72,62,49,30,5,7,80,80,12,75,67.0,67.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.9701492537313432,0.9850746268656716,1.0,0.972972972972973,0.9736842105263158,0.972972972972973,0.96875,0.8448275862068966,0.9375,,,1.0,1.0,0.975609756097561,0.975609756097561,1.0,0.974025974025974,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,2.0,65.0,3.823529411764706,1.9,10.2,2.9,-2.5,-3.0,0.6,0.0740620957309185,0.567,0.332,0.144,-0.2,0.7,L (-14),L (-14)
16.0,15.0,2022-11-18,22-305,CHI,ORL,1.0,24.133333333333333,6.0,8.0,0.75,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,13.0,11.1,-5.0,6.0,5.0,0.8333333333333334,65,66,7,72,37,72,62,49,30,5,7,80,80,12,75,67.0,67.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.9701492537313432,0.9850746268656716,1.0,0.972972972972973,0.9736842105263158,0.972972972972973,0.96875,0.8448275862068966,0.9375,,,1.0,1.0,0.975609756097561,0.975609756097561,1.0,0.974025974025974,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,9.0,89.0,5.235294117647059,11.099999999999998,10.2,2.9,-2.5,-3.0,0.6,0.0740620957309185,0.567,0.332,0.144,-0.2,0.7,L (-1),L (-1)
17.0,16.0,2022-11-21,22-308,CHI,BOS,1.0,36.083333333333336,5.0,8.0,0.625,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,5.0,10.0,5.7,16.0,7.0,5.0,0.7142857142857143,65,66,7,72,37,72,62,49,30,5,7,80,80,12,75,67.0,67.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.9701492537313432,0.9850746268656716,1.0,0.972972972972973,0.9736842105263158,0.972972972972973,0.96875,0.8448275862068966,0.9375,,,1.0,1.0,0.975609756097561,0.975609756097561,1.0,0.974025974025974,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,6.0,101.0,5.941176470588236,5.700000000000001,10.2,2.9,-2.5,-3.0,0.6,0.0740620957309185,0.567,0.332,0.144,-0.2,0.7,W (+14),W (+14)
18.0,17.0,2022-11-23,22-310,CHI,MIL,1.0,24.4,3.0,5.0,0.6,1.0,2.0,0.5,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,2.0,3.0,4.0,8.0,5.5,-3.0,3.0,2.0,0.6666666666666666,65,66,7,72,37,72,62,49,30,5,7,80,80,12,75,67.0,67.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.9701492537313432,0.9850746268656716,1.0,0.972972972972973,0.9736842105263158,0.972972972972973,0.96875,0.8448275862068966,0.9375,,,1.0,1.0,0.975609756097561,0.975609756097561,1.0,0.974025974025974,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,7.0,98.0,5.764705882352941,5.1,10.2,2.9,-2.5,-3.0,0.6,0.0740620957309185,0.567,0.332,0.144,-0.2,0.7,W (+5),W (+5)
19.0,18.0,2022-11-25,22-312,CHI,OKC,1.0,25.0,3.0,7.0,0.429,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,4.0,7.0,6.8,-2.0,5.0,3.0,0.6,65,66,7,72,37,72,62,49,30,5,7,80,80,12,75,67.0,67.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.9701492537313432,0.9850746268656716,1.0,0.972972972972973,0.9736842105263158,0.972972972972973,0.96875,0.8448275862068966,0.9375,,,1.0,1.0,0.975609756097561,0.975609756097561,1.0,0.974025974025974,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,7.0,60.0,3.5294117647058822,6.399999999999999,10.2,2.9,-2.5,-3.0,0.6,0.0740620957309185,0.567,0.332,0.144,-0.2,0.7,L (-4),L (-4)
20.0,19.0,2022-11-28,22-315,CHI,UTA,1.0,21.633333333333333,3.0,5.0,0.6,0.0,0.0,,2.0,2.0,1.0,2.0,2.0,4.0,3.0,0.0,0.0,1.0,3.0,8.0,7.6,-7.0,5.0,3.0,0.6,65,66,7,72,37,72,62,49,30,5,7,80,80,12,75,67.0,67.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.9701492537313432,0.9850746268656716,1.0,0.972972972972973,0.9736842105263158,0.972972972972973,0.96875,0.8448275862068966,0.9375,,,1.0,1.0,0.975609756097561,0.975609756097561,1.0,0.974025974025974,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,7.0,62.0,3.647058823529412,6.799999999999998,10.2,2.9,-2.5,-3.0,0.6,0.0740620957309185,0.567,0.332,0.144,-0.2,0.7,W (+7),W (+7)
