Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,+/-,GmSc,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,co_inf with Terry Taylor,Total Shared Players,STL,BLK,TOV,CO_EFF,EFF,avg_EFF,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,24-333,CHI,MIA,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,81.0,0.0,84.19999999999999,0.0,,W (+8),W (+8)
2.0,,2022-10-21,24-335,CHI,WAS,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,61.0,0.0,68.8,0.0,,L (-2),L (-2)
3.0,,2022-10-22,24-336,CHI,CLE,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,72.0,0.0,82.69999999999999,0.0,,L (-32),L (-32)
4.0,,2022-10-24,24-338,CHI,BOS,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,111.0,0.0,105.3,0.0,,W (+18),W (+18)
5.0,,2022-10-26,24-340,CHI,IND,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,99.0,0.0,89.59999999999998,0.0,,W (+15),W (+15)
6.0,,2022-10-28,24-342,CHI,SAS,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,80.0,0.0,82.60000000000001,0.0,,L (-5),L (-5)
7.0,,2022-10-29,24-343,CHI,PHI,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,66.0,0.0,82.19999999999999,0.0,,L (-5),L (-5)
8.0,,2022-11-01,24-346,CHI,BRK,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,77.0,0.0,84.9,0.0,,W (+9),W (+9)
9.0,,2022-11-02,24-347,CHI,CHO,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,94.0,0.0,89.89999999999999,0.0,,W (+18),W (+18)
10.0,,2022-11-04,24-349,CHI,BOS,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,75.0,0.0,81.99999999999999,0.0,,L (-4),L (-4)
