Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,HGS,avg_HGS
19,20,14,2022-11-28,29-110,CHI,@,UTA,W (+7),0,14:26,5.0,8.0,.625,0.0,0.0,,0,0.0,,4,6,10.0,0.0,1.0,0.0,1.0,3,10.0,9.8,+4,8.0,5.0,0.625,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,12.0,57.0,3.3529411764705883,72.69999999999999,4.276470588235293
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,,,FG%,,,3P%,FT,,FT%,ORB,DRB,,,,,,PF,,GmSc,+/-,,,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,,0.0,0.0,0.0,0.0
21,21,15,2022-11-30,29-112,CHI,@,PHO,L (-19),0,15:22,2.0,2.0,1.000,0.0,0.0,,0,0.0,,1,6,7.0,2.0,1.0,2.0,1.0,3,4.0,7.5,-9,2.0,2.0,1.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,13.0,63.0,3.7058823529411766,80.5,4.735294117647059
22,22,16,2022-12-02,29-114,CHI,@,GSW,L (-8),0,5:28,0.0,2.0,.000,0.0,0.0,,0,2.0,.000,1,1,2.0,1.0,0.0,0.0,0.0,0,0.0,-0.5,-4,2.0,0.0,0.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,-1.0,74.0,4.352941176470588,82.9,4.876470588235295
23,23,17,2022-12-04,29-116,CHI,@,SAC,L (-9),0,5:32,1.0,2.0,.500,0.0,0.0,,0,1.0,.000,0,1,1.0,0.0,0.0,0.0,0.0,0,2.0,0.9,-12,2.0,1.0,0.5,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,0.0,62.0,3.647058823529412,78.29999999999998,4.605882352941175
24,24,18,2022-12-07,29-119,CHI,,WAS,W (+4),0,8:28,2.0,5.0,.400,0.0,0.0,,0,0.0,,1,2,3.0,1.0,0.0,1.0,1.0,5,4.0,1.0,-7,5.0,2.0,0.4,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,3.0,89.0,5.235294117647059,96.8,5.694117647058824
25,25,19,2022-12-10,29-122,CHI,,DAL,W (+29),0,18:23,4.0,5.0,.800,0.0,0.0,,1,5.0,.200,1,6,7.0,1.0,0.0,0.0,1.0,0,9.0,7.7,+12,5.0,4.0,0.8,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,6.0,132.0,7.764705882352941,137.1,8.064705882352941
26,26,20,2022-12-11,29-123,CHI,@,ATL,L (-1),0,16:23,6.0,9.0,.667,0.0,0.0,,2,3.0,.667,3,6,9.0,0.0,5.0,0.0,1.0,2,14.0,16.8,+2,9.0,6.0,0.6666666666666666,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,15.0,84.0,4.941176470588236,94.9,5.582352941176471
27,27,21,2022-12-14,29-126,CHI,,NYK,L (-8),0,11:53,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0,2,2.0,2.0,0.0,0.0,2.0,2,2.0,0.9,-5,1.0,1.0,1.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,3.0,90.0,5.294117647058823,105.3,6.194117647058824
28,28,22,2022-12-16,29-128,CHI,,NYK,L (-23),0,9:38,0.0,0.0,,0.0,0.0,,0,0.0,,0,5,5.0,1.0,0.0,0.0,1.0,4,0.0,-0.4,-6,0.0,0.0,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,5.0,60.0,3.5294117647058822,60.09999999999999,3.5352941176470583
