Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,HGS,avg_HGS
29,29,,2022-12-18,29-130,CHI,@,MIN,L (-24),Did Not Play,Did Not Play,,,Did Not Play,,,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,Did Not Play,,,,,,Did Not Play,,Did Not Play,Did Not Play,,,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,,78.0,4.588235294117647,104.39999999999998,6.141176470588234
30,30,23,2022-12-20,29-132,CHI,@,MIA,W (+10),0,7:02,0.0,0.0,,0.0,0.0,,1,2.0,.500,0,1,1.0,0.0,0.0,0.0,0.0,1,1.0,0.5,+2,0.0,0.0,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,0.0,79.0,4.647058823529412,93.7,5.511764705882353
31,31,24,2022-12-21,29-133,CHI,@,ATL,W (+2),0,14:52,2.0,3.0,.667,0.0,0.0,,1,2.0,.500,1,10,11.0,0.0,0.0,0.0,2.0,0,5.0,5.0,+15,3.0,2.0,0.6666666666666666,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,9.0,81.0,4.764705882352941,98.5,5.794117647058823
32,32,25,2022-12-23,29-135,CHI,@,NYK,W (+1),0,20:04,3.0,7.0,.429,0.0,0.0,,0,2.0,.000,5,3,8.0,0.0,0.0,0.0,0.0,2,6.0,5.1,-10,7.0,3.0,0.4285714285714285,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,5.0,98.0,5.764705882352941,103.9,6.111764705882353
33,33,26,2022-12-26,29-138,CHI,,HOU,L (-15),0,18:10,3.0,5.0,.600,0.0,0.0,,2,2.0,1.000,4,5,9.0,2.0,1.0,0.0,1.0,2,8.0,10.6,-2,5.0,3.0,0.6,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,12.0,74.0,4.352941176470588,89.19999999999999,5.247058823529411
34,34,27,2022-12-28,29-140,CHI,,MIL,W (+6),0,16:18,2.0,3.0,.667,0.0,0.0,,3,4.0,.750,2,10,12.0,1.0,2.0,2.0,3.0,3,7.0,9.6,+8,3.0,2.0,0.6666666666666666,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,14.0,73.0,4.294117647058823,88.6,5.211764705882352
35,35,28,2022-12-30,29-142,CHI,,DET,W (+14),0,15:11,5.0,7.0,.714,0.0,0.0,,2,2.0,1.000,3,4,7.0,0.0,2.0,0.0,1.0,1,12.0,13.0,-2,7.0,5.0,0.7142857142857143,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,11.0,105.0,6.176470588235294,116.4,6.847058823529412
36,36,29,2022-12-31,29-143,CHI,,CLE,L (-1),0,13:05,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1,0,1.0,0.0,0.0,1.0,0.0,0,2.0,3.1,-8,1.0,1.0,1.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,3.0,77.0,4.529411764705882,95.7,5.629411764705883
37,37,30,2023-01-02,29-145,CHI,@,CLE,L (-11),0,6:48,3.0,3.0,1.000,0.0,0.0,,0,0.0,,1,3,4.0,0.0,1.0,0.0,0.0,2,6.0,6.9,+5,3.0,3.0,1.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,8.0,81.0,4.764705882352941,95.79999999999998,5.6352941176470575
38,38,,2023-01-04,29-147,CHI,,BRK,W (+9),Did Not Play,Did Not Play,,,Did Not Play,,,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,Did Not Play,,,,,,Did Not Play,,Did Not Play,Did Not Play,,,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,,74.0,4.352941176470588,87.99999999999999,5.1764705882352935
39,39,31,2023-01-06,29-149,CHI,@,PHI,W (+14),0,8:19,3.0,3.0,1.000,0.0,0.0,,0,2.0,.000,2,4,6.0,0.0,0.0,0.0,1.0,1,6.0,5.5,-3,3.0,3.0,1.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,6.0,105.0,6.176470588235294,108.2,6.364705882352942
40,40,32,2023-01-07,29-150,CHI,,UTA,W (+8),0,11:50,5.0,5.0,1.000,0.0,0.0,,1,3.0,.333,2,2,4.0,0.0,1.0,0.0,1.0,2,11.0,9.9,-2,5.0,5.0,1.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,7.0,90.0,5.294117647058823,99.3,5.841176470588235
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,,,FG%,,,3P%,FT,,FT%,ORB,DRB,,,,,,PF,,GmSc,+/-,,,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,,0.0,0.0,0.0,0.0
42,41,33,2023-01-09,29-152,CHI,@,BOS,L (-8),0,14:22,2.0,4.0,.500,0.0,0.0,,2,4.0,.500,3,6,9.0,0.0,1.0,0.0,0.0,3,6.0,6.9,+10,4.0,2.0,0.5,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,8.0,63.0,3.7058823529411766,71.3,4.194117647058824
43,42,34,2023-01-11,29-154,CHI,@,WAS,L (-3),0,8:11,0.0,0.0,,0.0,0.0,,0,0.0,,0,2,2.0,1.0,0.0,0.0,1.0,5,0.0,-1.7,+1,0.0,0.0,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,2.0,52.0,3.0588235294117645,63.10000000000001,3.7117647058823535
44,43,,2023-01-13,29-156,CHI,,OKC,L (-14),Did Not Play,Did Not Play,,,Did Not Play,,,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,Did Not Play,,,,,,Did Not Play,,Did Not Play,Did Not Play,,,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,,71.0,4.176470588235294,82.0,4.823529411764706
45,44,,2023-01-15,29-158,CHI,,GSW,W (+14),Did Not Play,Did Not Play,,,Did Not Play,,,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,Did Not Play,,,,,,Did Not Play,,Did Not Play,Did Not Play,,,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,,129.0,7.588235294117647,146.89999999999998,8.641176470588235
46,45,,2023-01-19,29-162,CHI,@,DET,W (+18),Did Not Play,Did Not Play,,,Did Not Play,,,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,Did Not Play,,,,,,Did Not Play,,Did Not Play,Did Not Play,,,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,,115.0,6.764705882352941,129.3,7.605882352941177
47,46,35,2023-01-23,29-166,CHI,,ATL,W (+11),0,3:27,2.0,2.0,1.000,0.0,0.0,,0,0.0,,1,0,1.0,0.0,0.0,0.0,0.0,0,4.0,4.1,+2,2.0,2.0,1.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,3.0,106.0,6.235294117647059,119.4,7.023529411764706
48,47,36,2023-01-24,29-167,CHI,@,IND,L (-6),0,5:42,3.0,4.0,.750,0.0,0.0,,1,5.0,.200,3,2,5.0,0.0,0.0,0.0,1.0,1,7.0,5.1,-7,4.0,3.0,0.75,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,2.0,91.0,5.352941176470588,97.7,5.747058823529412
49,48,,2023-01-26,29-169,CHI,@,CHO,L (-15),Did Not Play,Did Not Play,,,Did Not Play,,,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,Did Not Play,,,,,,Did Not Play,,Did Not Play,Did Not Play,,,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,,56.0,3.294117647058824,70.1,4.123529411764705
50,49,,2023-01-28,29-171,CHI,@,ORL,W (+19),Did Not Play,Did Not Play,,,Did Not Play,,,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,Did Not Play,,,,,,Did Not Play,,Did Not Play,Did Not Play,,,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,,125.0,7.352941176470588,147.0,8.647058823529411
51,50,37,2023-01-31,29-174,CHI,,LAC,L (-5),0,3:31,0.0,0.0,,0.0,0.0,,2,4.0,.500,2,3,5.0,0.0,0.0,0.0,0.0,1,2.0,3.1,-2,0.0,0.0,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,3.0,125.0,7.352941176470588,121.7,7.158823529411765
52,51,38,2023-02-02,29-176,CHI,,CHO,W (+16),0,14:44,6.0,9.0,.667,0.0,0.0,,3,5.0,.600,5,6,11.0,0.0,0.0,0.0,1.0,2,15.0,13.8,+12,9.0,6.0,0.6666666666666666,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,11.0,72.0,4.235294117647059,85.99999999999997,5.058823529411763
53,52,39,2023-02-04,29-178,CHI,,POR,W (+8),0,13:26,3.0,4.0,.750,0.0,0.0,,1,4.0,.250,1,4,5.0,1.0,0.0,0.0,1.0,1,7.0,5.4,+9,4.0,3.0,0.75,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,4.0,107.0,6.294117647058823,119.5,7.029411764705882
54,53,40,2023-02-06,29-180,CHI,,SAS,W (+24),0,20:54,9.0,9.0,1.000,0.0,0.0,,3,4.0,.750,3,12,15.0,1.0,3.0,1.0,3.0,1,21.0,24.6,+30,9.0,9.0,1.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,25.0,103.0,6.0588235294117645,108.7,6.394117647058824
55,54,41,2023-02-07,29-181,CHI,@,MEM,L (-15),0,12:33,1.0,3.0,.333,0.0,0.0,,1,2.0,.500,1,5,6.0,1.0,2.0,1.0,4.0,3,3.0,1.3,-6,3.0,1.0,0.3333333333333333,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,4.0,87.0,5.117647058823529,94.89999999999998,5.582352941176469
56,55,42,2023-02-09,29-183,CHI,@,BRK,L (-11),0,10:47,2.0,4.0,.500,0.0,0.0,,0,0.0,,1,4,5.0,0.0,1.0,0.0,0.0,1,4.0,4.5,-8,4.0,2.0,0.5,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,6.0,62.0,3.647058823529412,83.5,4.911764705882353
57,56,43,2023-02-11,29-185,CHI,@,CLE,L (-8),0,11:34,4.0,6.0,.667,0.0,0.0,,0,1.0,.000,0,5,5.0,0.0,0.0,1.0,4.0,3,8.0,2.0,-5,6.0,4.0,0.6666666666666666,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,3.0,87.0,5.117647058823529,72.39999999999999,4.258823529411764
58,57,44,2023-02-13,29-187,CHI,,ORL,L (-9),0,13:48,3.0,4.0,.750,0.0,0.0,,0,0.0,,2,5,7.0,0.0,0.0,0.0,0.0,1,6.0,6.9,+4,4.0,3.0,0.75,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,9.0,82.0,4.823529411764706,85.10000000000001,5.005882352941177
59,58,45,2023-02-15,29-189,CHI,@,IND,L (-4),0,11:29,1.0,2.0,.500,0.0,0.0,,1,2.0,.500,1,6,7.0,0.0,3.0,1.0,2.0,1,3.0,5.4,+6,2.0,1.0,0.5,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,8.0,89.0,5.235294117647059,107.09999999999998,6.299999999999999
60,59,46,2023-02-16,29-190,CHI,,MIL,L (-12),0,13:08,1.0,3.0,.333,0.0,0.0,,3,4.0,.750,3,2,5.0,0.0,0.0,1.0,1.0,1,5.0,4.9,+2,3.0,1.0,0.3333333333333333,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,3.0,77.0,4.529411764705882,83.49999999999999,4.911764705882352
