Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-12-16,24-358,CHI,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5,6,7,7,1,6,5,6,1,7,7,1,7,67.0,67.0,80.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.0746268656716417,0.0895522388059701,0.0875,0.0945945945945946,0.0263157894736842,0.081081081081081,0.078125,0.1034482758620689,0.03125,,,0.0,0.0,0.0853658536585365,0.0853658536585365,0.0833333333333333,0.0909090909090909,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,21,,81.0,3.857142857142857,0.0,84.19999999999999,4.009523809523809,0.0021561017680034,L (-23),L (-23)
2.0,,2022-12-18,24-360,CHI,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5,6,7,7,1,6,5,6,1,7,7,1,7,67.0,67.0,80.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.0746268656716417,0.0895522388059701,0.0875,0.0945945945945946,0.0263157894736842,0.081081081081081,0.078125,0.1034482758620689,0.03125,,,0.0,0.0,0.0853658536585365,0.0853658536585365,0.0833333333333333,0.0909090909090909,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,21,,61.0,2.9047619047619047,0.0,68.8,3.276190476190476,0.0021561017680034,L (-24),L (-24)
3.0,,2022-12-20,24-362,CHI,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5,6,7,7,1,6,5,6,1,7,7,1,7,67.0,67.0,80.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.0746268656716417,0.0895522388059701,0.0875,0.0945945945945946,0.0263157894736842,0.081081081081081,0.078125,0.1034482758620689,0.03125,,,0.0,0.0,0.0853658536585365,0.0853658536585365,0.0833333333333333,0.0909090909090909,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,21,,72.0,3.4285714285714284,0.0,82.69999999999999,3.938095238095237,0.0021561017680034,W (+10),W (+10)
4.0,,2022-12-21,24-363,CHI,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5,6,7,7,1,6,5,6,1,7,7,1,7,67.0,67.0,80.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.0746268656716417,0.0895522388059701,0.0875,0.0945945945945946,0.0263157894736842,0.081081081081081,0.078125,0.1034482758620689,0.03125,,,0.0,0.0,0.0853658536585365,0.0853658536585365,0.0833333333333333,0.0909090909090909,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,21,,111.0,5.285714285714286,0.0,105.3,5.014285714285714,0.0021561017680034,W (+2),W (+2)
5.0,,2022-12-23,25-000,CHI,NYK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,6,7,7,1,6,5,6,1,7,7,1,7,67.0,67.0,80.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.0746268656716417,0.0895522388059701,0.0875,0.0945945945945946,0.0263157894736842,0.081081081081081,0.078125,0.1034482758620689,0.03125,,,0.0,0.0,0.0853658536585365,0.0853658536585365,0.0833333333333333,0.0909090909090909,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,21,,99.0,4.714285714285714,0.0,89.59999999999998,4.266666666666666,0.0021561017680034,W (+1),W (+1)
6.0,,2022-12-26,25-003,CHI,HOU,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,6,7,7,1,6,5,6,1,7,7,1,7,67.0,67.0,80.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.0746268656716417,0.0895522388059701,0.0875,0.0945945945945946,0.0263157894736842,0.081081081081081,0.078125,0.1034482758620689,0.03125,,,0.0,0.0,0.0853658536585365,0.0853658536585365,0.0833333333333333,0.0909090909090909,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,21,,80.0,3.809523809523809,0.0,82.60000000000001,3.9333333333333336,0.0021561017680034,L (-15),L (-15)
7.0,,2022-12-28,25-005,CHI,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5,6,7,7,1,6,5,6,1,7,7,1,7,67.0,67.0,80.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.0746268656716417,0.0895522388059701,0.0875,0.0945945945945946,0.0263157894736842,0.081081081081081,0.078125,0.1034482758620689,0.03125,,,0.0,0.0,0.0853658536585365,0.0853658536585365,0.0833333333333333,0.0909090909090909,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,21,,66.0,3.142857142857143,0.0,82.19999999999999,3.9142857142857137,0.0021561017680034,W (+6),W (+6)
8.0,,2022-12-30,25-007,CHI,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5,6,7,7,1,6,5,6,1,7,7,1,7,67.0,67.0,80.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.0746268656716417,0.0895522388059701,0.0875,0.0945945945945946,0.0263157894736842,0.081081081081081,0.078125,0.1034482758620689,0.03125,,,0.0,0.0,0.0853658536585365,0.0853658536585365,0.0833333333333333,0.0909090909090909,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,21,,77.0,3.6666666666666665,0.0,84.9,4.042857142857143,0.0021561017680034,W (+14),W (+14)
9.0,,2022-12-31,25-008,CHI,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5,6,7,7,1,6,5,6,1,7,7,1,7,67.0,67.0,80.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.0746268656716417,0.0895522388059701,0.0875,0.0945945945945946,0.0263157894736842,0.081081081081081,0.078125,0.1034482758620689,0.03125,,,0.0,0.0,0.0853658536585365,0.0853658536585365,0.0833333333333333,0.0909090909090909,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,21,,94.0,4.476190476190476,0.0,89.89999999999999,4.280952380952381,0.0021561017680034,L (-1),L (-1)
10.0,,2023-01-02,25-010,CHI,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5,6,7,7,1,6,5,6,1,7,7,1,7,67.0,67.0,80.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.0746268656716417,0.0895522388059701,0.0875,0.0945945945945946,0.0263157894736842,0.081081081081081,0.078125,0.1034482758620689,0.03125,,,0.0,0.0,0.0853658536585365,0.0853658536585365,0.0833333333333333,0.0909090909090909,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,21,,75.0,3.571428571428572,0.0,81.99999999999999,3.904761904761904,0.0021561017680034,L (-11),L (-11)
