Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Nesmith,Shared Games with Andrew Nembhard,Shared Games with Bennedict Mathurin,Shared Games with Buddy Hield,Shared Games with Chris Duarte,Shared Games with Daniel Theis,Shared Games with Goga Bitadze,Shared Games with Isaiah Jackson,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Kendall Brown,Shared Games with Myles Turner,Shared Games with Oshae Brissett,Shared Games with T.J. McConnell,Shared Games with Terry Taylor,Aaron Nesmith,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,Daniel Theis,Gabe York,Goga Bitadze,Isaiah Jackson,Jalen Smith,James Johnson,Kendall Brown,Myles Turner,Oshae Brissett,T.J. McConnell,Terry Taylor,Trevelin Queen,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Goga Bitadze,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Terry Taylor,co_inf with Trevelin Queen,Shared Games with George Hill,Shared Games with Jordan Nwora,George Hill,John Collins,Jordan Nwora,Serge Ibaka,co_inf with George Hill,co_inf with John Collins,co_inf with Jordan Nwora,co_inf with Serge Ibaka,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-09,22-253,IND,,DEN,L (-3),1,33:12,9.0,15.0,.600,3.0,8.0,.375,0,0.0,,0.0,1.0,1.0,12.0,3.0,0.0,1.0,0.0,21.0,24.8,-12,7.0,6.0,0.8571428571428571,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,21.0,80.0,4.705882352941177,24.8,74.8,4.3999999999999995
11,12,12,2022-11-12,22-256,IND,,TOR,W (+14),1,39:10,3.0,14.0,.214,2.0,9.0,.222,0,1.0,.000,1.0,5.0,6.0,15.0,2.0,1.0,3.0,2.0,8.0,10.6,+26,5.0,1.0,0.2,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,14.0,82.0,4.823529411764706,10.599999999999998,85.5,5.029411764705882
12,13,13,2022-11-16,22-260,IND,@,CHO,W (+12),1,32:02,9.0,15.0,.600,3.0,8.0,.375,1,1.0,1.000,0.0,2.0,2.0,11.0,3.0,0.0,3.0,1.0,22.0,23.0,+11,7.0,6.0,0.8571428571428571,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,19.0,84.0,4.941176470588236,22.60000000000001,89.19999999999999,5.247058823529411
13,14,14,2022-11-18,22-262,IND,@,HOU,W (+8),1,36:28,7.0,16.0,.438,2.0,9.0,.222,3,3.0,1.000,0.0,6.0,6.0,8.0,1.0,0.0,1.0,1.0,19.0,17.6,0,7.0,5.0,0.7142857142857143,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,14.0,77.0,4.529411764705882,16.400000000000006,71.8,4.223529411764706
14,15,15,2022-11-19,22-263,IND,,ORL,W (+1),1,33:58,9.0,16.0,.563,3.0,8.0,.375,1,2.0,.500,1.0,3.0,4.0,14.0,2.0,3.0,3.0,3.0,22.0,25.3,+4,8.0,6.0,0.75,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,24.0,58.0,3.411764705882353,24.9,68.7,4.041176470588235
15,16,16,2022-11-21,22-265,IND,,ORL,W (+21),1,27:25,7.0,12.0,.583,1.0,5.0,.200,3,3.0,1.000,0.0,4.0,4.0,14.0,0.0,0.0,7.0,0.0,18.0,16.4,+13,7.0,6.0,0.8571428571428571,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,14.0,91.0,5.352941176470588,15.2,88.00000000000001,5.176470588235295
16,17,17,2022-11-23,22-267,IND,,MIN,L (-14),1,35:03,4.0,15.0,.267,2.0,7.0,.286,0,0.0,,1.0,1.0,2.0,14.0,1.0,0.0,3.0,0.0,10.0,9.9,-19,8.0,2.0,0.25,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,9.0,42.0,2.4705882352941178,9.9,60.8,3.576470588235294
17,18,18,2022-11-25,22-269,IND,,BRK,W (+11),1,34:25,7.0,15.0,.467,1.0,6.0,.167,6,6.0,1.000,0.0,6.0,6.0,15.0,4.0,0.0,0.0,0.0,21.0,29.6,0,9.0,6.0,0.6666666666666666,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,25.0,57.0,3.3529411764705883,27.200000000000003,82.7,4.864705882352942
18,19,19,2022-11-27,22-271,IND,@,LAC,L (-14),1,30:54,6.0,16.0,.375,3.0,8.0,.375,0,0.0,,0.0,5.0,5.0,11.0,2.0,0.0,0.0,0.0,15.0,17.4,-9,8.0,3.0,0.375,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,17.0,49.0,2.8823529411764706,17.4,52.69999999999999,3.099999999999999
19,20,20,2022-11-28,22-272,IND,@,LAL,W (+1),1,35:22,10.0,22.0,.455,3.0,7.0,.429,1,3.0,.333,2.0,5.0,7.0,14.0,1.0,1.0,0.0,1.0,24.0,25.8,+5,15.0,7.0,0.4666666666666667,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,22.0,84.0,4.941176470588236,25.4,67.39999999999999,3.964705882352941
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-30,22-274,IND,@,SAC,L (-23),1,25:25,4.0,13.0,.308,1.0,6.0,.167,0,0.0,,0.0,4.0,4.0,10.0,2.0,0.0,2.0,1.0,9.0,9.3,-24,7.0,3.0,0.4285714285714285,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,10.0,61.0,3.588235294117647,9.299999999999995,62.50000000000001,3.6764705882352944
22,22,22,2022-12-02,22-276,IND,@,UTA,L (-20),1,30:31,5.0,16.0,.313,3.0,9.0,.333,1,2.0,.500,0.0,6.0,6.0,4.0,2.0,0.0,3.0,1.0,14.0,7.6,-12,7.0,2.0,0.2857142857142857,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,5.0,68.0,4.0,7.200000000000001,84.39999999999998,4.9647058823529395
23,23,,2022-12-04,22-278,IND,@,POR,L (-16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,,70.0,4.117647058823529,0.0,79.00000000000001,4.647058823529413
24,24,,2022-12-05,22-279,IND,@,GSW,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,,81.0,4.764705882352941,0.0,87.89999999999998,5.170588235294116
25,25,23,2022-12-07,22-281,IND,@,MIN,L (-6),1,36:24,9.0,14.0,.643,5.0,9.0,.556,3,3.0,1.000,0.0,2.0,2.0,15.0,3.0,0.0,3.0,1.0,26.0,30.5,+12,5.0,4.0,0.8,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,26.0,40.0,2.3529411764705883,29.300000000000004,54.99999999999999,3.2352941176470584
26,26,24,2022-12-09,22-283,IND,,WAS,W (+10),1,32:10,9.0,14.0,.643,3.0,4.0,.750,2,2.0,1.000,1.0,1.0,2.0,11.0,0.0,0.0,1.0,1.0,23.0,24.1,+9,10.0,6.0,0.6,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,19.0,52.0,3.0588235294117645,23.3,63.400000000000006,3.729411764705883
27,27,25,2022-12-10,22-284,IND,,BRK,L (-3),1,36:51,12.0,15.0,.800,7.0,8.0,.875,4,4.0,1.000,0.0,1.0,1.0,9.0,3.0,1.0,5.0,1.0,35.0,34.2,-3,7.0,5.0,0.7142857142857143,48,51,56,56,33,7,19,40,48,10,4,48,41,55,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,0.6575342465753424,0.68,0.717948717948718,0.7,0.717391304347826,1.0,0.0,0.5,0.6349206349206349,0.7058823529411765,0.5555555555555556,0.6666666666666666,0.7741935483870968,0.6307692307692307,0.7333333333333333,0.6129032258064516,0.0,6,12,46.0,71.0,62.0,16.0,0.1304347826086956,0.0,0.1935483870967742,0.0,17,25.0,63.0,3.7058823529411766,32.599999999999994,71.99999999999999,4.235294117647058
