Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Nesmith,Shared Games with Andrew Nembhard,Shared Games with Bennedict Mathurin,Shared Games with Buddy Hield,Shared Games with Chris Duarte,Shared Games with Daniel Theis,Shared Games with Goga Bitadze,Shared Games with Isaiah Jackson,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Kendall Brown,Shared Games with Myles Turner,Shared Games with T.J. McConnell,Shared Games with Terry Taylor,Shared Games with Trevelin Queen,Shared Games with Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,Daniel Theis,Gabe York,Goga Bitadze,Isaiah Jackson,Jalen Smith,James Johnson,Kendall Brown,Myles Turner,T.J. McConnell,Terry Taylor,Trevelin Queen,Tyrese Haliburton,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Goga Bitadze,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with T.J. McConnell,co_inf with Terry Taylor,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,Shared Games with George Hill,Shared Games with Jordan Nwora,George Hill,John Collins,Jordan Nwora,Serge Ibaka,co_inf with George Hill,co_inf with John Collins,co_inf with Jordan Nwora,co_inf with Serge Ibaka,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,6,2022-11-09,24-142,IND,,DEN,L (-3),0,11:48,1.0,2.0,.500,0.0,0.0,,0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,+21,2.0,1.0,0.5,58,59,61,63,31,3,17,50,55,15,6,50,58,20,6,41,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,75.0,31.0,7.0,56.0,0.7945205479452054,0.7866666666666666,0.782051282051282,0.7875,0.6739130434782609,0.4285714285714285,0.0,0.4473684210526316,0.7936507936507936,0.8088235294117647,0.8333333333333334,1.0,0.8064516129032258,0.7733333333333333,0.6451612903225806,0.8571428571428571,0.7321428571428571,7,15,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2419354838709677,0.0,18,3.0,98.0,5.444444444444445,2.3,97.3,5.405555555555555
11,12,7,2022-11-12,24-145,IND,,TOR,W (+14),0,14:51,3.0,6.0,.500,0.0,3.0,.000,2,2.0,1.000,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,8.0,4.3,+3,3.0,3.0,1.0,58,59,61,63,31,3,17,50,55,15,6,50,58,20,6,41,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,75.0,31.0,7.0,56.0,0.7945205479452054,0.7866666666666666,0.782051282051282,0.7875,0.6739130434782609,0.4285714285714285,0.0,0.4473684210526316,0.7936507936507936,0.8088235294117647,0.8333333333333334,1.0,0.8064516129032258,0.7733333333333333,0.6451612903225806,0.8571428571428571,0.7321428571428571,7,15,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2419354838709677,0.0,18,1.0,95.0,5.277777777777778,3.499999999999999,92.6,5.144444444444444
12,13,8,2022-11-16,24-149,IND,@,CHO,W (+12),0,20:43,2.0,2.0,1.000,2.0,2.0,1.000,2,2.0,1.000,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,8.0,9.3,-1,0.0,0.0,,58,59,61,63,31,3,17,50,55,15,6,50,58,20,6,41,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,75.0,31.0,7.0,56.0,0.7945205479452054,0.7866666666666666,0.782051282051282,0.7875,0.6739130434782609,0.4285714285714285,0.0,0.4473684210526316,0.7936507936507936,0.8088235294117647,0.8333333333333334,1.0,0.8064516129032258,0.7733333333333333,0.6451612903225806,0.8571428571428571,0.7321428571428571,7,15,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2419354838709677,0.0,18,8.0,95.0,5.277777777777778,8.499999999999998,103.3,5.738888888888889
13,14,9,2022-11-18,24-151,IND,@,HOU,W (+8),0,17:39,5.0,7.0,.714,4.0,6.0,.667,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,14.0,10.5,+5,1.0,1.0,1.0,58,59,61,63,31,3,17,50,55,15,6,50,58,20,6,41,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,75.0,31.0,7.0,56.0,0.7945205479452054,0.7866666666666666,0.782051282051282,0.7875,0.6739130434782609,0.4285714285714285,0.0,0.4473684210526316,0.7936507936507936,0.8088235294117647,0.8333333333333334,1.0,0.8064516129032258,0.7733333333333333,0.6451612903225806,0.8571428571428571,0.7321428571428571,7,15,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2419354838709677,0.0,18,8.0,83.0,4.611111111111111,10.500000000000002,77.7,4.316666666666666
14,15,10,2022-11-19,24-152,IND,,ORL,W (+1),0,19:56,2.0,7.0,.286,1.0,3.0,.333,0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,1.1,-6,4.0,1.0,0.25,58,59,61,63,31,3,17,50,55,15,6,50,58,20,6,41,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,75.0,31.0,7.0,56.0,0.7945205479452054,0.7866666666666666,0.782051282051282,0.7875,0.6739130434782609,0.4285714285714285,0.0,0.4473684210526316,0.7936507936507936,0.8088235294117647,0.8333333333333334,1.0,0.8064516129032258,0.7733333333333333,0.6451612903225806,0.8571428571428571,0.7321428571428571,7,15,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2419354838709677,0.0,18,1.0,81.0,4.5,1.1000000000000003,92.5,5.138888888888889
15,16,11,2022-11-21,24-154,IND,,ORL,W (+21),0,26:43,5.0,9.0,.556,4.0,7.0,.571,4,5.0,.800,1.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,18.0,16.9,+19,2.0,1.0,0.5,58,59,61,63,31,3,17,50,55,15,6,50,58,20,6,41,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,75.0,31.0,7.0,56.0,0.7945205479452054,0.7866666666666666,0.782051282051282,0.7875,0.6739130434782609,0.4285714285714285,0.0,0.4473684210526316,0.7936507936507936,0.8088235294117647,0.8333333333333334,1.0,0.8064516129032258,0.7733333333333333,0.6451612903225806,0.8571428571428571,0.7321428571428571,7,15,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2419354838709677,0.0,18,10.0,95.0,5.277777777777778,15.3,87.9,4.883333333333334
16,17,12,2022-11-23,24-156,IND,,MIN,L (-14),0,19:44,2.0,7.0,.286,1.0,5.0,.200,0,2.0,.000,1.0,3.0,4.0,0.0,2.0,0.0,0.0,2.0,5.0,2.9,0,2.0,1.0,0.5,58,59,61,63,31,3,17,50,55,15,6,50,58,20,6,41,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,75.0,31.0,7.0,56.0,0.7945205479452054,0.7866666666666666,0.782051282051282,0.7875,0.6739130434782609,0.4285714285714285,0.0,0.4473684210526316,0.7936507936507936,0.8088235294117647,0.8333333333333334,1.0,0.8064516129032258,0.7733333333333333,0.6451612903225806,0.8571428571428571,0.7321428571428571,7,15,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2419354838709677,0.0,18,2.0,49.0,2.7222222222222223,2.900000000000001,67.80000000000001,3.7666666666666675
17,18,13,2022-11-25,24-158,IND,,BRK,W (+11),0,11:46,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,2.5,-8,2.0,1.0,0.5,58,59,61,63,31,3,17,50,55,15,6,50,58,20,6,41,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,75.0,31.0,7.0,56.0,0.7945205479452054,0.7866666666666666,0.782051282051282,0.7875,0.6739130434782609,0.4285714285714285,0.0,0.4473684210526316,0.7936507936507936,0.8088235294117647,0.8333333333333334,1.0,0.8064516129032258,0.7733333333333333,0.6451612903225806,0.8571428571428571,0.7321428571428571,7,15,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2419354838709677,0.0,18,4.0,78.0,4.333333333333333,2.5000000000000004,107.4,5.966666666666667
18,19,14,2022-11-27,24-160,IND,@,LAC,L (-14),0,22:48,0.0,3.0,.000,0.0,3.0,.000,1,2.0,.500,2.0,3.0,5.0,1.0,1.0,2.0,0.0,2.0,1.0,3.1,-6,0.0,0.0,,58,59,61,63,31,3,17,50,55,15,6,50,58,20,6,41,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,75.0,31.0,7.0,56.0,0.7945205479452054,0.7866666666666666,0.782051282051282,0.7875,0.6739130434782609,0.4285714285714285,0.0,0.4473684210526316,0.7936507936507936,0.8088235294117647,0.8333333333333334,1.0,0.8064516129032258,0.7733333333333333,0.6451612903225806,0.8571428571428571,0.7321428571428571,7,15,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2419354838709677,0.0,18,5.0,61.0,3.388888888888889,2.700000000000001,67.39999999999999,3.744444444444444
19,20,15,2022-11-28,24-161,IND,@,LAL,W (+1),0,8:18,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.1,-3,1.0,0.0,0.0,58,59,61,63,31,3,17,50,55,15,6,50,58,20,6,41,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,75.0,31.0,7.0,56.0,0.7945205479452054,0.7866666666666666,0.782051282051282,0.7875,0.6739130434782609,0.4285714285714285,0.0,0.4473684210526316,0.7936507936507936,0.8088235294117647,0.8333333333333334,1.0,0.8064516129032258,0.7733333333333333,0.6451612903225806,0.8571428571428571,0.7321428571428571,7,15,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2419354838709677,0.0,18,1.0,105.0,5.833333333333333,-0.0999999999999999,92.89999999999998,5.16111111111111
