Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-10,24-016,DAL,@,WAS,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,43.0,2.263157894736842,0.0,66.29999999999998,3.4894736842105254
11,12,,2022-11-12,24-018,DAL,,POR,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,53.0,2.789473684210526,0.0,71.6,3.7684210526315787
12,13,,2022-11-15,24-021,DAL,,LAC,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,38.0,2.0,0.0,43.6,2.294736842105263
13,14,,2022-11-16,24-022,DAL,,HOU,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,35.0,1.8421052631578947,0.0,48.70000000000001,2.5631578947368427
14,15,,2022-11-18,24-024,DAL,,DEN,W (+28),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,76.0,4.0,0.0,84.49999999999999,4.447368421052631
15,16,,2022-11-20,24-026,DAL,,DEN,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,45.0,2.3684210526315788,0.0,59.60000000000001,3.1368421052631583
16,17,,2022-11-23,24-029,DAL,@,BOS,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,51.0,2.6842105263157894,0.0,65.99999999999999,3.473684210526315
17,18,,2022-11-26,24-032,DAL,@,TOR,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,54.0,2.8421052631578947,0.0,63.49999999999999,3.3421052631578942
18,19,,2022-11-27,24-033,DAL,@,MIL,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,62.0,3.263157894736842,0.0,84.30000000000001,4.436842105263159
19,20,,2022-11-29,24-035,DAL,,GSW,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,60.0,3.1578947368421053,0.0,79.89999999999998,4.205263157894736
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-12-01,24-037,DAL,@,DET,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,86.0,4.526315789473684,0.0,116.5,6.131578947368421
22,22,,2022-12-03,24-039,DAL,@,NYK,W (+21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,73.0,3.842105263157895,0.0,87.00000000000001,4.578947368421053
23,23,,2022-12-05,24-041,DAL,,PHO,W (+19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,82.0,4.315789473684211,0.0,106.2,5.589473684210526
24,24,,2022-12-06,24-042,DAL,@,DEN,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,67.0,3.526315789473684,0.0,79.1,4.163157894736842
25,25,,2022-12-09,24-045,DAL,,MIL,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,21,4,26,21,20,23,16,12,15,5,25,16,24,22,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,78.0,79.0,40.0,71.0,3.0,0.0,0.3134328358208955,0.0606060606060606,0.3421052631578947,0.4666666666666667,0.0,0.425531914893617,0.4791666666666667,0.3809523809523809,0.2,0.0,0.2272727272727272,0.1351351351351351,0.3205128205128205,0.2025316455696202,0.6,0.3098591549295774,1.0,5,8,1,2,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0285714285714285,0.1333333333333333,,19,,51.0,2.6842105263157894,0.0,70.10000000000001,3.689473684210527
