Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,34-273,DAL,@,PHO,L (-2),1,14:08,1.0,3.0,.333,0.0,0.0,,1,4.0,.250,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.7,-5,3.0,1.0,0.3333333333333333,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,1.0,44.0,2.3157894736842106,1.3000000000000007,64.20000000000002,3.3789473684210534
1,2,2,2022-10-22,34-276,DAL,,MEM,W (+41),1,13:01,3.0,4.0,.750,0.0,0.0,,0,0.0,,2.0,4.0,6.0,1.0,0.0,2.0,1.0,3.0,6.0,6.9,+2,4.0,3.0,0.75,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,10.0,83.0,4.368421052631579,6.899999999999998,108.6,5.71578947368421
2,3,3,2022-10-25,34-279,DAL,@,NOP,L (-2),1,12:16,3.0,5.0,.600,0.0,0.0,,2,4.0,.500,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,8.0,7.2,0,5.0,3.0,0.6,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,3.0,61.0,3.210526315789474,6.399999999999999,83.8,4.410526315789474
3,4,4,2022-10-27,34-281,DAL,@,BRK,W (+4),1,11:56,2.0,5.0,.400,0.0,0.0,,4,4.0,1.000,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,8.0,4.4,-8,5.0,2.0,0.4,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,-1.0,71.0,3.736842105263158,2.8000000000000007,93.8,4.936842105263158
4,5,,2022-10-29,34-283,DAL,,OKC,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,,49.0,2.5789473684210527,0.0,68.29999999999998,3.594736842105262
5,6,5,2022-10-30,34-284,DAL,,ORL,W (+9),1,8:52,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9,-12,2.0,0.0,0.0,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,1.0,59.0,3.1052631578947367,-0.9,94.1,4.9526315789473685
6,7,6,2022-11-02,34-287,DAL,,UTA,W (+3),1,7:59,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,4.6,-7,2.0,2.0,1.0,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,5.0,74.0,3.8947368421052633,4.6,93.1,4.8999999999999995
7,8,7,2022-11-04,34-289,DAL,,TOR,W (+1),0,4:18,2.0,2.0,1.000,0.0,0.0,,1,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.7,+6,2.0,2.0,1.0,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,2.0,49.0,2.5789473684210527,3.299999999999999,54.400000000000006,2.8631578947368426
8,9,8,2022-11-07,34-292,DAL,,BRK,W (+2),1,3:25,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,-4,1.0,0.0,0.0,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,-2.0,48.0,2.526315789473684,-1.7,56.7,2.9842105263157896
9,10,9,2022-11-09,34-294,DAL,@,ORL,L (-7),0,10:59,2.0,4.0,.500,0.0,0.0,,1,2.0,.500,3.0,3.0,6.0,0.0,0.0,0.0,1.0,2.0,5.0,3.8,+4,4.0,2.0,0.5,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,4.0,29.0,1.5263157894736843,3.3999999999999995,39.50000000000001,2.078947368421053
