Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-12-01,27-026,DAL,@,DET,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,86.0,4.526315789473684,0.0,116.5,6.131578947368421
22,22,6,2022-12-03,27-028,DAL,@,NYK,W (+21),0,4:49,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,-10,0.0,0.0,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,1.0,72.0,3.789473684210526,0.6000000000000001,86.4,4.5473684210526315
23,23,7,2022-12-05,27-030,DAL,,PHO,W (+19),0,2:25,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,0.0,82.0,4.315789473684211,0.0,106.2,5.589473684210526
24,24,,2022-12-06,27-031,DAL,@,DEN,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,67.0,3.526315789473684,0.0,79.1,4.163157894736842
25,25,,2022-12-09,27-034,DAL,,MIL,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,51.0,2.6842105263157894,0.0,70.10000000000001,3.689473684210527
26,26,8,2022-12-10,27-035,DAL,@,CHI,L (-29),0,3:31,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-7,0.0,0.0,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,-1.0,70.0,3.684210526315789,-0.7,88.0,4.631578947368421
27,27,,2022-12-12,27-037,DAL,,OKC,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,60.0,3.1578947368421053,0.0,78.69999999999999,4.1421052631578945
28,28,9,2022-12-14,27-039,DAL,,CLE,L (-15),0,2:34,0.0,0.0,,0.0,0.0,,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,+4,0.0,0.0,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,1.0,36.0,1.894736842105263,1.4999999999999998,53.8,2.831578947368421
29,29,10,2022-12-16,27-041,DAL,,POR,W (+20),0,6:40,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,-5,0.0,0.0,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,2.0,82.0,4.315789473684211,0.5999999999999999,101.09999999999998,5.321052631578946
30,30,11,2022-12-17,27-042,DAL,@,CLE,L (-1),0,8:49,0.0,4.0,.000,0.0,1.0,.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,-3.9,-7,3.0,0.0,0.0,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,-3.0,57.0,3.0,-3.9,65.60000000000001,3.452631578947369
31,31,12,2022-12-19,27-044,DAL,@,MIN,L (-10),0,3:12,0.0,0.0,,0.0,0.0,,1,2.0,.500,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.9,+6,0.0,0.0,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,2.0,46.0,2.421052631578948,1.5,57.9,3.0473684210526315
32,32,,2022-12-21,27-046,DAL,@,MIN,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,50.0,2.631578947368421,0.0,65.29999999999998,3.436842105263157
33,33,13,2022-12-23,27-048,DAL,@,HOU,W (+6),0,13:49,2.0,3.0,.667,2.0,2.0,1.000,0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,6.0,7.3,+3,1.0,0.0,0.0,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,8.0,65.0,3.421052631578948,7.299999999999999,80.6,4.242105263157894
34,34,14,2022-12-25,27-050,DAL,,LAL,W (+9),0,6:55,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1,0.0,0.0,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,1.0,92.0,4.842105263157895,-0.5,115.7,6.089473684210526
35,35,,2022-12-27,27-052,DAL,,NYK,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,74.0,3.8947368421052633,0.0,89.60000000000002,4.715789473684212
36,36,15,2022-12-29,27-054,DAL,,HOU,W (+15),0,5:38,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.9,-8,0.0,0.0,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,2.0,97.0,5.105263157894737,1.9,114.7,6.036842105263158
37,37,16,2022-12-31,27-056,DAL,@,SAS,W (+1),0,0:01,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,0.0,89.0,4.684210526315789,0.0,115.1,6.057894736842105
38,38,17,2023-01-02,27-058,DAL,@,HOU,W (+5),0,4:38,1.0,3.0,.333,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.2,+1,2.0,0.0,0.0,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,1.0,66.0,3.473684210526316,1.2000000000000002,86.49999999999997,4.552631578947367
39,39,18,2023-01-05,27-061,DAL,,BOS,L (-29),0,3:45,1.0,2.0,.500,0.0,1.0,.000,1,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-6,1.0,1.0,1.0,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,0.0,36.0,1.894736842105263,1.6,49.5,2.6052631578947367
40,40,19,2023-01-07,27-063,DAL,,NOP,W (+10),0,1:42,0.0,0.0,,0.0,0.0,,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,0,0.0,0.0,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,1.0,81.0,4.2631578947368425,1.4999999999999998,103.10000000000002,5.426315789473685
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,0.0,0.0,0.0,0.0,0.0
42,41,20,2023-01-08,27-064,DAL,@,OKC,L (-11),0,6:52,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-3,0.0,0.0,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,1.0,47.0,2.473684210526316,2.0,66.7,3.5105263157894737
43,42,21,2023-01-10,27-066,DAL,@,LAC,L (-12),0,0:56,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,0.0,36.0,1.894736842105263,0.0,60.89999999999999,3.2052631578947364
44,43,,2023-01-12,27-068,DAL,@,LAL,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,74.0,3.8947368421052633,0.0,72.5,3.8157894736842106
45,44,22,2023-01-14,27-070,DAL,@,POR,L (-17),0,12:52,4.0,7.0,.571,3.0,6.0,.500,0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,10.1,-4,1.0,1.0,1.0,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,8.0,65.0,3.421052631578948,10.1,82.0,4.315789473684211
46,45,23,2023-01-15,27-071,DAL,@,POR,L (-17),0,21:20,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,1.0,2.0,3.0,5.0,0.0,0.0,1.0,4.0,3.0,3.5,-6,1.0,0.0,0.0,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,7.0,82.0,4.315789473684211,3.5,102.9,5.415789473684211
47,46,,2023-01-18,27-074,DAL,,ATL,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,15,37,27,35,32,25,22,28,8,24,36,25,34,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,71.0,3.0,0.0,0.4626865671641791,0.2272727272727272,0.4868421052631579,0.6,0.0,0.7446808510638298,0.6666666666666666,0.5952380952380952,0.3666666666666666,0.0,0.4242424242424242,0.2162162162162162,0.8888888888888888,0.4615384615384615,0.3164556962025316,0.4788732394366197,1.0,6,9,3,8,15.0,,46.0,60.0,35.0,0.1304347826086956,0.15,0.0857142857142857,0.5333333333333333,,19,,66.0,3.473684210526316,0.0,92.8,4.88421052631579
