Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Christian Wood,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Kyrie Irving,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Chris Silva,Christian Wood,Derrick Favors,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Justin Holiday,Kemba Walker,Kyrie Irving,Luka Dončić,Markieff Morris,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Derrick Favors,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Justin Holiday,co_inf with Kemba Walker,co_inf with Kyrie Irving,co_inf with Luka Dončić,co_inf with Markieff Morris,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-11-16,22-124,MIN,@,ORL,W (+18),0,1:46,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,-5,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0,14,12,8,8,5,9,10,1,12,6,2,13,8,13,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,60.0,66.0,35.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.208955223880597,,0.1578947368421052,0.1777777777777777,0.0,0.1702127659574468,0.1041666666666666,0.2142857142857142,0.1666666666666666,0.0,0.0,0.0166666666666666,0.1818181818181818,0.0,0.1621621621621621,0.074074074074074,0.1666666666666666,0.2,0.1830985915492957,0.0,25,2.0,43.0,1.72,1.5999999999999996,63.90000000000001,2.5560000000000005
1,2,,2022-11-19,22-127,MIN,@,PHI,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,1,1,1,1,1,1,1,1,1,1,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0,14,12,8,8,5,9,10,1,12,6,2,13,8,13,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,60.0,66.0,35.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.208955223880597,,0.1578947368421052,0.1777777777777777,0.0,0.1702127659574468,0.1041666666666666,0.2142857142857142,0.1666666666666666,0.0,0.0,0.0166666666666666,0.1818181818181818,0.0,0.1621621621621621,0.074074074074074,0.1666666666666666,0.2,0.1830985915492957,0.0,25,,93.0,3.72,0.0,115.5,4.62
2,3,,2022-11-21,22-129,MIN,,MIA,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,1,1,1,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0,14,12,8,8,5,9,10,1,12,6,2,13,8,13,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,60.0,66.0,35.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.208955223880597,,0.1578947368421052,0.1777777777777777,0.0,0.1702127659574468,0.1041666666666666,0.2142857142857142,0.1666666666666666,0.0,0.0,0.0166666666666666,0.1818181818181818,0.0,0.1621621621621621,0.074074074074074,0.1666666666666666,0.2,0.1830985915492957,0.0,25,,64.0,2.56,0.0,90.2,3.608
3,4,,2022-11-23,22-131,MIN,@,IND,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,1,1,1,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0,14,12,8,8,5,9,10,1,12,6,2,13,8,13,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,60.0,66.0,35.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.208955223880597,,0.1578947368421052,0.1777777777777777,0.0,0.1702127659574468,0.1041666666666666,0.2142857142857142,0.1666666666666666,0.0,0.0,0.0166666666666666,0.1818181818181818,0.0,0.1621621621621621,0.074074074074074,0.1666666666666666,0.2,0.1830985915492957,0.0,25,,70.0,2.8,0.0,96.59999999999998,3.863999999999999
4,5,,2022-11-25,22-133,MIN,@,CHO,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,1,1,1,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0,14,12,8,8,5,9,10,1,12,6,2,13,8,13,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,60.0,66.0,35.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.208955223880597,,0.1578947368421052,0.1777777777777777,0.0,0.1702127659574468,0.1041666666666666,0.2142857142857142,0.1666666666666666,0.0,0.0,0.0166666666666666,0.1818181818181818,0.0,0.1621621621621621,0.074074074074074,0.1666666666666666,0.2,0.1830985915492957,0.0,25,,49.0,1.96,0.0,68.3,2.7319999999999998
5,6,,2022-11-27,22-135,MIN,,GSW,L (-23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,1,1,1,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0,14,12,8,8,5,9,10,1,12,6,2,13,8,13,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,60.0,66.0,35.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.208955223880597,,0.1578947368421052,0.1777777777777777,0.0,0.1702127659574468,0.1041666666666666,0.2142857142857142,0.1666666666666666,0.0,0.0,0.0166666666666666,0.1818181818181818,0.0,0.1621621621621621,0.074074074074074,0.1666666666666666,0.2,0.1830985915492957,0.0,25,,60.0,2.4,0.0,93.2,3.728
6,7,,2022-11-28,22-136,MIN,@,WAS,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,1,1,1,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0,14,12,8,8,5,9,10,1,12,6,2,13,8,13,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,60.0,66.0,35.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.208955223880597,,0.1578947368421052,0.1777777777777777,0.0,0.1702127659574468,0.1041666666666666,0.2142857142857142,0.1666666666666666,0.0,0.0,0.0166666666666666,0.1818181818181818,0.0,0.1621621621621621,0.074074074074074,0.1666666666666666,0.2,0.1830985915492957,0.0,25,,79.0,3.16,0.0,97.7,3.908
7,8,,2022-11-30,22-138,MIN,,MEM,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,1,1,1,1,1,1,1,1,1,1,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0,14,12,8,8,5,9,10,1,12,6,2,13,8,13,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,60.0,66.0,35.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.208955223880597,,0.1578947368421052,0.1777777777777777,0.0,0.1702127659574468,0.1041666666666666,0.2142857142857142,0.1666666666666666,0.0,0.0,0.0166666666666666,0.1818181818181818,0.0,0.1621621621621621,0.074074074074074,0.1666666666666666,0.2,0.1830985915492957,0.0,25,,51.0,2.04,0.0,57.7,2.3080000000000003
8,9,,2022-12-03,22-141,MIN,,OKC,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,1,1,1,1,1,1,1,1,1,1,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0,14,12,8,8,5,9,10,1,12,6,2,13,8,13,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,60.0,66.0,35.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.208955223880597,,0.1578947368421052,0.1777777777777777,0.0,0.1702127659574468,0.1041666666666666,0.2142857142857142,0.1666666666666666,0.0,0.0,0.0166666666666666,0.1818181818181818,0.0,0.1621621621621621,0.074074074074074,0.1666666666666666,0.2,0.1830985915492957,0.0,25,,46.0,1.84,0.0,54.99999999999999,2.1999999999999997
9,10,,2022-12-07,22-145,MIN,,IND,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,1,1,1,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0126582278481012,0.0192307692307692,0.04,0.0140845070422535,0.0126582278481012,0.0153846153846153,0.0232558139534883,0.0,0.0344827586206896,0.0144927536231884,0.0,0.0,0.0,0.0142857142857142,0.0185185185185185,0.0,14,12,8,8,5,9,10,1,12,6,2,13,8,13,1.0,67.0,,76.0,45.0,8.0,47.0,48.0,42.0,60.0,46.0,9.0,60.0,66.0,35.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.208955223880597,,0.1578947368421052,0.1777777777777777,0.0,0.1702127659574468,0.1041666666666666,0.2142857142857142,0.1666666666666666,0.0,0.0,0.0166666666666666,0.1818181818181818,0.0,0.1621621621621621,0.074074074074074,0.1666666666666666,0.2,0.1830985915492957,0.0,25,,33.0,1.32,0.0,42.900000000000006,1.7160000000000002
