Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,31-217,DAL,@,PHO,L (-2),1,29:53,3.0,6.0,.500,3.0,5.0,.600,1,1.0,1.000,0.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,10.0,5.1,-11,1.0,0.0,0.0,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,4.0,41.0,2.1578947368421053,4.699999999999998,60.80000000000002,3.200000000000001
1,2,2,2022-10-22,31-220,DAL,,MEM,W (+41),1,24:04,3.0,5.0,.600,2.0,4.0,.500,0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,8.0,6.8,+28,1.0,1.0,1.0,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,7.0,86.0,4.526315789473684,6.8,108.7,5.721052631578948
2,3,3,2022-10-25,31-223,DAL,@,NOP,L (-2),1,35:03,1.0,8.0,.125,1.0,6.0,.167,0,0.0,,1.0,4.0,5.0,2.0,2.0,0.0,0.0,4.0,3.0,1.5,-2,2.0,0.0,0.0,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,4.0,60.0,3.1578947368421053,1.4999999999999996,88.69999999999999,4.668421052631579
3,4,4,2022-10-27,31-225,DAL,@,BRK,W (+4),1,41:36,3.0,7.0,.429,2.0,6.0,.333,1,2.0,.500,0.0,4.0,4.0,1.0,2.0,1.0,0.0,3.0,9.0,8.3,+7,1.0,1.0,1.0,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,8.0,62.0,3.263157894736842,7.899999999999998,88.7,4.6684210526315795
4,5,5,2022-10-29,31-227,DAL,,OKC,L (-6),1,37:49,2.0,5.0,.400,2.0,5.0,.400,1,1.0,1.000,2.0,2.0,4.0,1.0,0.0,0.0,2.0,4.0,7.0,3.4,-20,0.0,0.0,,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,4.0,45.0,2.3684210526315788,2.9999999999999982,65.3,3.4368421052631577
5,6,6,2022-10-30,31-228,DAL,,ORL,W (+9),1,28:51,2.0,5.0,.400,2.0,3.0,.667,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,3.1,+10,2.0,0.0,0.0,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,2.0,58.0,3.0526315789473686,3.1,90.1,4.742105263157894
6,7,7,2022-11-02,31-231,DAL,,UTA,W (+3),1,28:59,1.0,4.0,.250,1.0,4.0,.250,0,1.0,.000,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,0.1,-4,0.0,0.0,,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,0.0,79.0,4.157894736842105,0.0999999999999998,97.6,5.136842105263158
7,8,8,2022-11-04,31-233,DAL,,TOR,W (+1),1,25:21,1.0,7.0,.143,0.0,5.0,.000,0,0.0,,1.0,3.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,+12,2.0,1.0,0.5,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,3.0,48.0,2.526315789473684,1.0,56.7,2.9842105263157896
8,9,9,2022-11-07,31-236,DAL,,BRK,W (+2),1,22:02,0.0,5.0,.000,0.0,3.0,.000,0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,-1.3,-18,2.0,0.0,0.0,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,-1.0,47.0,2.473684210526316,-1.3,56.29999999999999,2.9631578947368418
9,10,10,2022-11-09,31-238,DAL,@,ORL,L (-7),1,25:49,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,-2.8,-4,1.0,0.0,0.0,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,0.0,33.0,1.736842105263158,-2.8,45.7,2.405263157894737
