Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,21-337,DAL,@,PHO,L (-2),0,17:57,0.0,0.0,,0.0,0.0,,1,2.0,.500,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,3.9,+18,0.0,0.0,,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,6.0,39.0,2.0526315789473686,3.500000000000001,62.000000000000014,3.263157894736843
1,2,2,2022-10-22,21-340,DAL,,MEM,W (+41),0,15:27,1.0,1.0,1.000,1.0,1.0,1.000,2,2.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,2.4,+10,0.0,0.0,,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,2.0,91.0,4.789473684210527,1.6000000000000003,113.9,5.994736842105263
2,3,3,2022-10-25,21-343,DAL,@,NOP,L (-2),0,13:37,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.2,+4,1.0,1.0,1.0,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,2.0,62.0,3.263157894736842,1.2000000000000002,89.0,4.684210526315789
3,4,4,2022-10-27,21-345,DAL,@,BRK,W (+4),0,13:21,3.0,3.0,1.000,3.0,3.0,1.000,1,2.0,.500,1.0,3.0,4.0,1.0,1.0,0.0,1.0,2.0,10.0,10.2,+3,0.0,0.0,,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,10.0,60.0,3.1578947368421053,9.799999999999995,86.8,4.568421052631579
4,5,5,2022-10-29,21-347,DAL,,OKC,L (-6),0,15:09,2.0,5.0,.400,0.0,2.0,.000,2,2.0,1.000,2.0,3.0,5.0,1.0,4.0,0.0,2.0,0.0,6.0,8.3,+24,3.0,2.0,0.6666666666666666,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,7.0,42.0,2.210526315789474,7.499999999999998,60.79999999999999,3.1999999999999993
5,6,6,2022-10-30,21-348,DAL,,ORL,W (+9),0,17:08,2.0,3.0,.667,1.0,2.0,.500,1,2.0,.500,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,4.9,+1,1.0,1.0,1.0,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,3.0,57.0,3.0,4.500000000000001,88.7,4.6684210526315795
6,7,7,2022-11-02,21-351,DAL,,UTA,W (+3),0,18:45,2.0,3.0,.667,2.0,3.0,.667,0,2.0,.000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,3.8,+8,0.0,0.0,,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,2.0,77.0,4.052631578947368,3.8000000000000007,93.9,4.942105263157895
7,8,8,2022-11-04,21-353,DAL,,TOR,W (+1),0,20:06,3.0,3.0,1.000,1.0,1.0,1.000,0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,7.0,6.9,+1,2.0,2.0,1.0,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,7.0,44.0,2.3157894736842106,6.9,50.8,2.6736842105263157
8,9,9,2022-11-07,21-356,DAL,,BRK,W (+2),0,26:48,5.0,5.0,1.000,2.0,2.0,1.000,4,4.0,1.000,1.0,4.0,5.0,2.0,0.0,0.0,2.0,2.0,16.0,15.0,+11,3.0,3.0,1.0,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,12.0,34.0,1.7894736842105263,13.399999999999997,41.6,2.1894736842105265
9,10,10,2022-11-09,21-358,DAL,@,ORL,L (-7),0,25:11,3.0,6.0,.500,0.0,2.0,.000,0,2.0,.000,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,6.0,5.5,-9,4.0,3.0,0.75,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,3.0,30.0,1.5789473684210529,5.5,37.400000000000006,1.9684210526315793
