Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,31-091,DAL,@,PHO,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,,45.0,2.3684210526315788,0.0,65.50000000000001,3.4473684210526323
1,2,1,2022-10-22,31-094,DAL,,MEM,W (+41),0,7:06,0.0,0.0,,0.0,0.0,,1,2.0,.500,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,-0.5,+8,0.0,0.0,,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,-1.0,94.0,4.947368421052632,-0.9000000000000001,116.4,6.126315789473685
2,3,,2022-10-25,31-097,DAL,@,NOP,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,,64.0,3.3684210526315788,0.0,90.2,4.747368421052632
3,4,,2022-10-27,31-099,DAL,@,BRK,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,,70.0,3.684210526315789,0.0,96.6,5.084210526315789
4,5,2,2022-10-29,31-101,DAL,,OKC,L (-6),1,18:28,5.0,7.0,.714,0.0,1.0,.000,3,3.0,1.000,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,10.3,+7,6.0,5.0,0.8333333333333334,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,5.0,44.0,2.3157894736842106,9.1,59.19999999999999,3.11578947368421
5,6,3,2022-10-30,31-102,DAL,,ORL,W (+9),0,11:58,2.0,3.0,.667,0.0,0.0,,1,1.0,1.000,2.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,5.0,5.6,+10,3.0,2.0,0.6666666666666666,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,6.0,54.0,2.8421052631578947,5.199999999999998,88.00000000000001,4.631578947368422
6,7,4,2022-11-02,31-105,DAL,,UTA,W (+3),0,18:36,4.0,5.0,.800,0.0,0.0,,1,2.0,.500,2.0,3.0,5.0,0.0,1.0,1.0,0.0,1.0,9.0,10.3,+25,5.0,4.0,0.8,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,9.0,70.0,3.684210526315789,9.9,87.8,4.621052631578947
7,8,5,2022-11-04,31-107,DAL,,TOR,W (+1),1,26:21,3.0,6.0,.500,0.0,0.0,,3,4.0,.750,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,9.0,6.8,+8,6.0,3.0,0.5,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,3.0,48.0,2.526315789473684,5.6000000000000005,52.1,2.7421052631578946
8,9,6,2022-11-07,31-110,DAL,,BRK,W (+2),0,22:37,1.0,2.0,.500,0.0,0.0,,0,0.0,,4.0,4.0,8.0,0.0,1.0,1.0,2.0,2.0,2.0,3.9,+7,2.0,1.0,0.5,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,8.0,38.0,2.0,3.9,51.1,2.6894736842105265
9,10,7,2022-11-09,31-112,DAL,@,ORL,L (-7),1,18:50,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,4.0,4.0,0.0,3.0,0.0,1.0,4.0,2.0,2.6,-10,2.0,1.0,0.5,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,6.0,27.0,1.4210526315789471,2.599999999999999,40.3,2.121052631578947
