Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-10,30-285,DAL,@,WAS,L (-8),0,20:52,1.0,6.0,.167,0.0,5.0,.000,0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,0.7,-22,1.0,1.0,1.0,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,2.0,41.0,2.1578947368421053,0.7,65.59999999999998,3.452631578947367
11,12,12,2022-11-12,30-287,DAL,,POR,W (+5),0,23:21,2.0,5.0,.400,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,2.2,+2,4.0,2.0,0.5,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,2.0,51.0,2.6842105263157894,2.2,69.39999999999999,3.652631578947368
12,13,13,2022-11-15,30-290,DAL,,LAC,W (+2),0,9:38,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,-0.5,+5,0.0,0.0,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,1.0,37.0,1.947368421052632,-0.5,44.1,2.3210526315789473
13,14,,2022-11-16,30-291,DAL,,HOU,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,,35.0,1.8421052631578947,0.0,48.70000000000001,2.5631578947368427
14,15,,2022-11-18,30-293,DAL,,DEN,W (+28),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,,76.0,4.0,0.0,84.49999999999999,4.447368421052631
15,16,,2022-11-20,30-295,DAL,,DEN,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,,45.0,2.3684210526315788,0.0,59.60000000000001,3.1368421052631583
16,17,,2022-11-23,30-298,DAL,@,BOS,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,,51.0,2.6842105263157894,0.0,65.99999999999999,3.473684210526315
17,18,14,2022-11-26,30-301,DAL,@,TOR,L (-5),0,29:06,5.0,7.0,.714,1.0,3.0,.333,0,0.0,,0.0,5.0,5.0,3.0,0.0,0.0,0.0,3.0,11.0,10.5,-1,4.0,4.0,1.0,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,12.0,42.0,2.210526315789474,10.500000000000004,52.99999999999999,2.789473684210526
18,19,15,2022-11-27,30-302,DAL,@,MIL,L (-9),0,24:17,2.0,3.0,.667,2.0,3.0,.667,0,0.0,,2.0,2.0,4.0,3.0,0.0,1.0,1.0,2.0,6.0,7.7,0,0.0,0.0,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,10.0,52.0,2.736842105263158,7.699999999999997,76.60000000000001,4.031578947368422
19,20,16,2022-11-29,30-304,DAL,,GSW,W (+3),0,25:07,2.0,3.0,.667,0.0,1.0,.000,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,6.0,4.2,-6,2.0,2.0,1.0,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,3.0,57.0,3.0,3.4000000000000004,76.49999999999997,4.026315789473682
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,,0.0,0.0,0.0,0.0,0.0
21,21,17,2022-12-01,30-306,DAL,@,DET,L (-6),0,32:09,4.0,8.0,.500,2.0,5.0,.400,0,0.0,,0.0,3.0,3.0,1.0,0.0,4.0,1.0,3.0,10.0,8.2,-4,3.0,2.0,0.6666666666666666,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,9.0,77.0,4.052631578947368,8.2,108.3,5.7
22,22,18,2022-12-03,30-308,DAL,@,NYK,W (+21),0,22:39,5.0,8.0,.625,3.0,5.0,.600,0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,13.0,11.0,+16,3.0,2.0,0.6666666666666666,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,9.0,64.0,3.3684210526315788,10.999999999999998,76.00000000000001,4.000000000000001
23,23,19,2022-12-05,30-310,DAL,,PHO,W (+19),0,24:51,3.0,6.0,.500,2.0,4.0,.500,0,0.0,,1.0,2.0,3.0,0.0,0.0,2.0,1.0,3.0,8.0,5.5,+10,2.0,1.0,0.5,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,6.0,76.0,4.0,5.499999999999999,100.7,5.3
24,24,20,2022-12-06,30-311,DAL,@,DEN,W (+1),0,26:28,4.0,6.0,.667,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,9.0,6.4,-6,3.0,3.0,1.0,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,7.0,60.0,3.1578947368421053,6.4,72.69999999999999,3.8263157894736834
25,25,21,2022-12-09,30-314,DAL,,MIL,L (-1),0,28:10,3.0,5.0,.600,2.0,4.0,.500,0,0.0,,1.0,1.0,2.0,1.0,0.0,2.0,1.0,3.0,8.0,6.6,+1,1.0,1.0,1.0,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,7.0,44.0,2.3157894736842106,6.599999999999999,63.5,3.3421052631578947
