Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,co_inf with Kyrie Irving,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-10,26-265,DAL,@,WAS,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,43.0,2.8666666666666667,0.0,66.29999999999998,4.419999999999999
11,12,,2022-11-12,26-267,DAL,,POR,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,53.0,3.533333333333333,0.0,71.6,4.7733333333333325
12,13,,2022-11-15,26-270,DAL,,LAC,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,38.0,2.533333333333333,0.0,43.6,2.9066666666666667
13,14,,2022-11-16,26-271,DAL,,HOU,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,35.0,2.333333333333333,0.0,48.70000000000001,3.2466666666666675
14,15,,2022-11-18,26-273,DAL,,DEN,W (+28),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,76.0,5.066666666666666,0.0,84.49999999999999,5.633333333333332
15,16,,2022-11-20,26-275,DAL,,DEN,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,45.0,3.0,0.0,59.60000000000001,3.973333333333334
16,17,,2022-11-23,26-278,DAL,@,BOS,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,51.0,3.4,0.0,65.99999999999999,4.3999999999999995
17,18,,2022-11-26,26-281,DAL,@,TOR,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,54.0,3.6,0.0,63.49999999999999,4.2333333333333325
18,19,,2022-11-27,26-282,DAL,@,MIL,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,62.0,4.133333333333334,0.0,84.3,5.62
19,20,,2022-11-29,26-284,DAL,,GSW,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,60.0,4.0,0.0,79.89999999999998,5.326666666666665
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-12-01,26-286,DAL,@,DET,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,86.0,5.733333333333333,0.0,116.5,7.766666666666667
22,22,,2022-12-03,26-288,DAL,@,NYK,W (+21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,73.0,4.866666666666666,0.0,87.00000000000001,5.800000000000001
23,23,,2022-12-05,26-290,DAL,,PHO,W (+19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,82.0,5.466666666666667,0.0,106.2,7.08
24,24,,2022-12-06,26-291,DAL,@,DEN,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,67.0,4.466666666666667,0.0,79.1,5.2733333333333325
25,25,,2022-12-09,26-294,DAL,,MIL,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,51.0,3.4,0.0,70.10000000000001,4.673333333333334
26,26,,2022-12-10,26-295,DAL,@,CHI,L (-29),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,69.0,4.6,0.0,87.3,5.819999999999999
27,27,,2022-12-12,26-297,DAL,,OKC,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,60.0,4.0,0.0,78.69999999999999,5.246666666666666
