Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,29-355,NYK,@,MEM,L (-3),1,32:59,4.0,11.0,.364,3.0,6.0,.500,3,3.0,1.000,1.0,3.0,4.0,3.0,2.0,0.0,0.0,2.0,14.0,12.8,-1,5.0,1.0,0.2,13,15,26,27,21,19,23,18,17,22,19,18,5,4,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.5555555555555556,,0.3209876543209876,0.3292682926829268,0.3088235294117647,0.3653846153846153,0.2987012987012987,0.28125,0.288135593220339,0.3283582089552239,0.2676056338028169,0.2465753424657534,0.25,0.125,0.3333333333333333,4,4,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0526315789473684,17,9.0,70.0,4.117647058823529,11.599999999999998,64.80000000000001,3.8117647058823536
1,2,2,2022-10-21,29-357,NYK,,DET,W (+24),1,19:57,3.0,8.0,.375,2.0,5.0,.400,0,0.0,,0.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,8.0,4.4,-1,3.0,1.0,0.3333333333333333,13,15,26,27,21,19,23,18,17,22,19,18,5,4,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.5555555555555556,,0.3209876543209876,0.3292682926829268,0.3088235294117647,0.3653846153846153,0.2987012987012987,0.28125,0.288135593220339,0.3283582089552239,0.2676056338028169,0.2465753424657534,0.25,0.125,0.3333333333333333,4,4,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0526315789473684,17,4.0,90.0,5.294117647058823,4.4,101.79999999999998,5.988235294117646
2,3,3,2022-10-24,29-360,NYK,,ORL,W (+13),1,26:50,2.0,8.0,.250,2.0,8.0,.250,2,2.0,1.000,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,8.0,4.4,+8,0.0,0.0,,13,15,26,27,21,19,23,18,17,22,19,18,5,4,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.5555555555555556,,0.3209876543209876,0.3292682926829268,0.3088235294117647,0.3653846153846153,0.2987012987012987,0.28125,0.288135593220339,0.3283582089552239,0.2676056338028169,0.2465753424657534,0.25,0.125,0.3333333333333333,4,4,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0526315789473684,17,2.0,90.0,5.294117647058823,3.6000000000000014,86.60000000000001,5.094117647058824
3,4,4,2022-10-26,29-362,NYK,,CHO,W (+3),1,24:05,6.0,11.0,.545,2.0,6.0,.333,0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,2.0,6.0,14.0,7.6,+4,5.0,4.0,0.8,13,15,26,27,21,19,23,18,17,22,19,18,5,4,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.5555555555555556,,0.3209876543209876,0.3292682926829268,0.3088235294117647,0.3653846153846153,0.2987012987012987,0.28125,0.288135593220339,0.3283582089552239,0.2676056338028169,0.2465753424657534,0.25,0.125,0.3333333333333333,4,4,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0526315789473684,17,7.0,95.0,5.588235294117647,7.599999999999996,100.0,5.882352941176471
4,5,5,2022-10-28,29-364,NYK,@,MIL,L (-11),1,20:05,4.0,12.0,.333,3.0,7.0,.429,0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,11.0,3.0,-22,5.0,1.0,0.2,13,15,26,27,21,19,23,18,17,22,19,18,5,4,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.5555555555555556,,0.3209876543209876,0.3292682926829268,0.3088235294117647,0.3653846153846153,0.2987012987012987,0.28125,0.288135593220339,0.3283582089552239,0.2676056338028169,0.2465753424657534,0.25,0.125,0.3333333333333333,4,4,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0526315789473684,17,1.0,74.0,4.352941176470588,3.0,81.19999999999999,4.776470588235293
5,6,6,2022-10-30,30-001,NYK,@,CLE,L (-13),1,28:02,6.0,9.0,.667,3.0,5.0,.600,1,2.0,.500,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,16.0,13.5,-3,4.0,3.0,0.75,13,15,26,27,21,19,23,18,17,22,19,18,5,4,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.5555555555555556,,0.3209876543209876,0.3292682926829268,0.3088235294117647,0.3653846153846153,0.2987012987012987,0.28125,0.288135593220339,0.3283582089552239,0.2676056338028169,0.2465753424657534,0.25,0.125,0.3333333333333333,4,4,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0526315789473684,17,10.0,65.0,3.823529411764706,13.099999999999994,67.99999999999999,3.999999999999999
6,7,7,2022-11-02,30-004,NYK,,ATL,L (-13),1,18:40,1.0,6.0,.167,1.0,4.0,.250,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,3.0,-2.7,-20,2.0,0.0,0.0,13,15,26,27,21,19,23,18,17,22,19,18,5,4,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.5555555555555556,,0.3209876543209876,0.3292682926829268,0.3088235294117647,0.3653846153846153,0.2987012987012987,0.28125,0.288135593220339,0.3283582089552239,0.2676056338028169,0.2465753424657534,0.25,0.125,0.3333333333333333,4,4,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0526315789473684,17,-2.0,67.0,3.941176470588236,-2.7,67.6,3.9764705882352938
7,8,8,2022-11-04,30-006,NYK,@,PHI,W (+2),0,14:23,1.0,4.0,.250,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.9,-1,2.0,1.0,0.5,13,15,26,27,21,19,23,18,17,22,19,18,5,4,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.5555555555555556,,0.3209876543209876,0.3292682926829268,0.3088235294117647,0.3653846153846153,0.2987012987012987,0.28125,0.288135593220339,0.3283582089552239,0.2676056338028169,0.2465753424657534,0.25,0.125,0.3333333333333333,4,4,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0526315789473684,17,2.0,65.0,3.823529411764706,0.9000000000000008,64.89999999999999,3.8176470588235287
8,9,9,2022-11-05,30-007,NYK,,BOS,L (-15),0,10:54,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,1.9,-19,0.0,0.0,,13,15,26,27,21,19,23,18,17,22,19,18,5,4,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.5555555555555556,,0.3209876543209876,0.3292682926829268,0.3088235294117647,0.3653846153846153,0.2987012987012987,0.28125,0.288135593220339,0.3283582089552239,0.2676056338028169,0.2465753424657534,0.25,0.125,0.3333333333333333,4,4,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0526315789473684,17,3.0,83.0,4.882352941176471,1.9,93.9,5.523529411764706
9,10,10,2022-11-07,30-009,NYK,@,MIN,W (+13),0,12:05,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,2.0,2.3,+15,1.0,1.0,1.0,13,15,26,27,21,19,23,18,17,22,19,18,5,4,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.5555555555555556,,0.3209876543209876,0.3292682926829268,0.3088235294117647,0.3653846153846153,0.2987012987012987,0.28125,0.288135593220339,0.3283582089552239,0.2676056338028169,0.2465753424657534,0.25,0.125,0.3333333333333333,4,4,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0526315789473684,17,3.0,90.0,5.294117647058823,2.299999999999999,93.60000000000002,5.505882352941178
