Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-09,23-145,NYK,@,BRK,L (-27),0,19:44,1.0,8.0,.125,0.0,6.0,.000,0,0.0,,0.0,4.0,4.0,4.0,1.0,0.0,1.0,3.0,2.0,-0.4,-17,2.0,1.0,0.5,20,27,26,81,67,51,76,63,59,66,70,72,11,13,3,40.0,,27.0,27.0,,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.9629629629629628,,0.9878048780487804,0.9852941176470588,0.9807692307692308,0.987012987012987,0.984375,1.0,0.9850746268656716,0.9859154929577464,0.9863013698630136,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,2.0,39.0,2.294117647058824,-0.4000000000000003,45.99999999999999,2.705882352941176
11,12,12,2022-11-11,23-147,NYK,,DET,W (+9),0,21:15,3.0,6.0,.500,2.0,3.0,.667,0,0.0,,1.0,4.0,5.0,1.0,2.0,0.0,0.0,4.0,8.0,8.0,+2,3.0,1.0,0.3333333333333333,20,27,26,81,67,51,76,63,59,66,70,72,11,13,3,40.0,,27.0,27.0,,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.9629629629629628,,0.9878048780487804,0.9852941176470588,0.9807692307692308,0.987012987012987,0.984375,1.0,0.9850746268656716,0.9859154929577464,0.9863013698630136,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,10.0,66.0,3.882352941176471,7.999999999999998,86.30000000000001,5.076470588235295
12,13,13,2022-11-13,23-149,NYK,,OKC,L (-10),0,23:23,8.0,17.0,.471,1.0,4.0,.250,7,8.0,.875,0.0,1.0,1.0,5.0,3.0,1.0,0.0,3.0,24.0,21.2,+5,13.0,7.0,0.5384615384615384,20,27,26,81,67,51,76,63,59,66,70,72,11,13,3,40.0,,27.0,27.0,,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.9629629629629628,,0.9878048780487804,0.9852941176470588,0.9807692307692308,0.987012987012987,0.984375,1.0,0.9850746268656716,0.9859154929577464,0.9863013698630136,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,9.0,60.0,3.5294117647058822,18.40000000000001,57.7,3.394117647058824
13,14,14,2022-11-15,23-151,NYK,@,UTA,W (+7),0,25:31,5.0,10.0,.500,3.0,6.0,.500,0,0.0,,0.0,3.0,3.0,2.0,4.0,0.0,0.0,5.0,13.0,12.3,+18,4.0,2.0,0.5,20,27,26,81,67,51,76,63,59,66,70,72,11,13,3,40.0,,27.0,27.0,,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.9629629629629628,,0.9878048780487804,0.9852941176470588,0.9807692307692308,0.987012987012987,0.984375,1.0,0.9850746268656716,0.9859154929577464,0.9863013698630136,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,12.0,72.0,4.235294117647059,12.299999999999995,73.39999999999999,4.317647058823529
14,15,15,2022-11-16,23-152,NYK,@,DEN,W (+3),0,27:49,2.0,5.0,.400,0.0,2.0,.000,2,3.0,.667,0.0,5.0,5.0,6.0,1.0,0.0,1.0,1.0,6.0,8.2,+11,3.0,2.0,0.6666666666666666,20,27,26,81,67,51,76,63,59,66,70,72,11,13,3,40.0,,27.0,27.0,,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.9629629629629628,,0.9878048780487804,0.9852941176470588,0.9807692307692308,0.987012987012987,0.984375,1.0,0.9850746268656716,0.9859154929577464,0.9863013698630136,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,9.0,64.0,3.764705882352941,7.4,75.29999999999998,4.429411764705882
15,16,16,2022-11-18,23-154,NYK,@,GSW,L (-10),0,26:43,0.0,5.0,.000,0.0,3.0,.000,6,6.0,1.000,0.0,6.0,6.0,1.0,2.0,0.0,3.0,0.0,6.0,4.0,-8,2.0,0.0,0.0,20,27,26,81,67,51,76,63,59,66,70,72,11,13,3,40.0,,27.0,27.0,,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.9629629629629628,,0.9878048780487804,0.9852941176470588,0.9807692307692308,0.987012987012987,0.984375,1.0,0.9850746268656716,0.9859154929577464,0.9863013698630136,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,1.0,56.0,3.294117647058824,1.5999999999999996,64.60000000000001,3.8000000000000007
16,17,17,2022-11-20,23-156,NYK,@,PHO,L (-21),0,28:00,1.0,6.0,.167,0.0,2.0,.000,4,4.0,1.000,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,6.0,2.6,-1,4.0,1.0,0.25,20,27,26,81,67,51,76,63,59,66,70,72,11,13,3,40.0,,27.0,27.0,,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.9629629629629628,,0.9878048780487804,0.9852941176470588,0.9807692307692308,0.987012987012987,0.984375,1.0,0.9850746268656716,0.9859154929577464,0.9863013698630136,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,-2.0,71.0,4.176470588235294,0.9999999999999996,77.19999999999999,4.541176470588234
17,18,18,2022-11-21,23-157,NYK,@,OKC,W (+10),0,25:12,6.0,8.0,.750,4.0,5.0,.800,2,2.0,1.000,1.0,2.0,3.0,4.0,1.0,0.0,0.0,3.0,18.0,18.7,+11,3.0,2.0,0.6666666666666666,20,27,26,81,67,51,76,63,59,66,70,72,11,13,3,40.0,,27.0,27.0,,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.9629629629629628,,0.9878048780487804,0.9852941176470588,0.9807692307692308,0.987012987012987,0.984375,1.0,0.9850746268656716,0.9859154929577464,0.9863013698630136,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,16.0,85.0,5.0,17.9,85.59999999999998,5.035294117647058
18,19,19,2022-11-25,23-161,NYK,,POR,L (-3),0,32:25,6.0,17.0,.353,4.0,10.0,.400,2,2.0,1.000,1.0,3.0,4.0,5.0,1.0,0.0,1.0,4.0,18.0,12.0,+7,7.0,2.0,0.2857142857142857,20,27,26,81,67,51,76,63,59,66,70,72,11,13,3,40.0,,27.0,27.0,,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.9629629629629628,,0.9878048780487804,0.9852941176470588,0.9807692307692308,0.987012987012987,0.984375,1.0,0.9850746268656716,0.9859154929577464,0.9863013698630136,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,8.0,85.0,5.0,11.199999999999998,86.8,5.105882352941176
19,20,20,2022-11-27,23-163,NYK,,MEM,L (-4),0,10:14,2.0,3.0,.667,1.0,1.0,1.000,1,1.0,1.000,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,7.4,-1,2.0,1.0,0.5,20,27,26,81,67,51,76,63,59,66,70,72,11,13,3,40.0,,27.0,27.0,,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.9629629629629628,,0.9878048780487804,0.9852941176470588,0.9807692307692308,0.987012987012987,0.984375,1.0,0.9850746268656716,0.9859154929577464,0.9863013698630136,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,7.0,78.0,4.588235294117647,7.0,87.9,5.170588235294118
