Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,27-324,NYK,@,MEM,L (-3),1,34:55,9.0,16.0,.563,2.0,6.0,.333,4,5.0,.800,2.0,9.0,11.0,6.0,2.0,0.0,3.0,6.0,24.0,20.9,+7,10.0,7.0,0.7,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,19.0,60.0,3.5294117647058822,19.300000000000004,57.10000000000001,3.358823529411765
1,2,2,2022-10-21,27-326,NYK,,DET,W (+24),1,25:27,5.0,12.0,.417,2.0,3.0,.667,3,4.0,.750,1.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,15.0,9.6,-1,9.0,3.0,0.3333333333333333,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,5.0,89.0,5.235294117647059,8.4,97.79999999999998,5.752941176470587
2,3,3,2022-10-24,27-329,NYK,,ORL,W (+13),1,34:07,10.0,19.0,.526,2.0,9.0,.222,3,5.0,.600,4.0,8.0,12.0,4.0,1.0,0.0,2.0,5.0,25.0,19.9,+4,10.0,8.0,0.8,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,16.0,76.0,4.470588235294118,18.700000000000003,71.5,4.205882352941177
3,4,4,2022-10-26,27-331,NYK,,CHO,W (+3),1,39:50,7.0,19.0,.368,0.0,2.0,.000,3,4.0,.750,2.0,4.0,6.0,2.0,2.0,1.0,1.0,5.0,17.0,9.8,+6,17.0,7.0,0.4117647058823529,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,4.0,98.0,5.764705882352941,8.599999999999998,99.0,5.823529411764706
4,5,5,2022-10-28,27-333,NYK,@,MIL,L (-11),1,31:14,3.0,10.0,.300,0.0,2.0,.000,8,9.0,.889,4.0,8.0,12.0,2.0,1.0,0.0,3.0,4.0,14.0,10.8,-14,8.0,3.0,0.375,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,7.0,68.0,4.0,7.599999999999998,76.6,4.5058823529411764
5,6,6,2022-10-30,27-335,NYK,@,CLE,L (-13),1,32:48,5.0,13.0,.385,0.0,3.0,.000,5,10.0,.500,0.0,9.0,9.0,7.0,2.0,0.0,4.0,5.0,15.0,9.5,-8,10.0,5.0,0.5,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,6.0,69.0,4.0588235294117645,7.5,73.59999999999998,4.329411764705881
6,7,7,2022-11-02,27-338,NYK,,ATL,L (-13),1,29:33,4.0,12.0,.333,0.0,4.0,.000,6,9.0,.667,2.0,4.0,6.0,2.0,0.0,1.0,4.0,2.0,14.0,5.9,-10,8.0,4.0,0.5,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,-2.0,67.0,3.941176470588236,3.499999999999999,61.400000000000006,3.6117647058823534
7,8,8,2022-11-04,27-340,NYK,@,PHI,W (+2),1,36:37,6.0,13.0,.462,1.0,5.0,.200,4,5.0,.800,3.0,7.0,10.0,5.0,0.0,1.0,6.0,1.0,17.0,11.9,+7,8.0,5.0,0.625,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,9.0,58.0,3.411764705882353,10.300000000000004,55.49999999999998,3.26470588235294
8,9,9,2022-11-05,27-341,NYK,,BOS,L (-15),1,40:06,10.0,19.0,.526,3.0,7.0,.429,6,6.0,1.000,5.0,4.0,9.0,2.0,0.0,0.0,3.0,3.0,29.0,21.6,-8,12.0,7.0,0.5833333333333334,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,12.0,74.0,4.352941176470588,19.200000000000006,76.59999999999998,4.505882352941176
9,10,10,2022-11-07,27-343,NYK,@,MIN,W (+13),1,32:31,9.0,16.0,.563,8.0,13.0,.615,5,6.0,.833,2.0,6.0,8.0,3.0,0.0,0.0,5.0,5.0,31.0,21.3,+4,3.0,1.0,0.3333333333333333,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,15.0,78.0,4.588235294117647,19.3,76.60000000000002,4.505882352941178
