Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,+/-,GmSc,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,STL,BLK,TOV,CO_EFF,EFF,avg_EFF,HGS,avg_HGS
0,1,,2022-10-19,23-106,NYK,@,MEM,L (-3),Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,,Did Not Play,,,Did Not Play,,Did Not Play,Did Not Play,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,79.0,0.0,0,
1,2,,2022-10-21,23-108,NYK,,DET,W (+24),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,94.0,0.0,0,
2,3,,2022-10-24,23-111,NYK,,ORL,W (+13),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,92.0,0.0,0,
3,4,,2022-10-26,23-113,NYK,,CHO,W (+3),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,102.0,0.0,0,
4,5,,2022-10-28,23-115,NYK,@,MIL,L (-11),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,75.0,0.0,0,
5,6,,2022-10-30,23-117,NYK,@,CLE,L (-13),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,75.0,0.0,0,
6,7,,2022-11-02,23-120,NYK,,ATL,L (-13),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,65.0,0.0,0,
7,8,,2022-11-04,23-122,NYK,@,PHI,W (+2),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,67.0,0.0,0,
8,9,,2022-11-05,23-123,NYK,,BOS,L (-15),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,86.0,0.0,0,
9,10,,2022-11-07,23-125,NYK,@,MIN,W (+13),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,93.0,0.0,0,
10,11,,2022-11-09,23-127,NYK,@,BRK,L (-27),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,41.0,0.0,0,
11,12,,2022-11-11,23-129,NYK,,DET,W (+9),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,76.0,0.0,0,
12,13,,2022-11-13,23-131,NYK,,OKC,L (-10),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,69.0,0.0,0,
13,14,,2022-11-15,23-133,NYK,@,UTA,W (+7),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,84.0,0.0,0,
14,15,,2022-11-16,23-134,NYK,@,DEN,W (+3),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,73.0,0.0,0,
15,16,,2022-11-18,23-136,NYK,@,GSW,L (-10),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,40.0,,27.0,27.0,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,,57.0,0.0,0,
