Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,22-127,NYK,@,MEM,L (-3),1,37:36,3.0,18.0,.167,0.0,6.0,.000,5,6.0,.833,2.0,6.0,8.0,3.0,0.0,0.0,2.0,2.0,11.0,1.7,0,12.0,3.0,0.25,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,-4.0,83.0,4.882352941176471,-0.3,76.70000000000002,4.511764705882354
1,2,2,2022-10-21,22-129,NYK,,DET,W (+24),1,27:36,8.0,15.0,.533,0.0,3.0,.000,2,2.0,1.000,0.0,3.0,3.0,4.0,0.0,1.0,1.0,2.0,18.0,13.3,+12,12.0,8.0,0.6666666666666666,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,8.0,86.0,5.0588235294117645,12.499999999999996,93.7,5.511764705882353
2,3,3,2022-10-24,22-132,NYK,,ORL,W (+13),1,37:48,7.0,19.0,.368,3.0,7.0,.429,3,4.0,.750,1.0,5.0,6.0,1.0,0.0,0.0,3.0,2.0,20.0,8.2,+22,12.0,4.0,0.3333333333333333,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,1.0,91.0,5.352941176470588,7.0,83.2,4.894117647058824
3,4,4,2022-10-26,22-134,NYK,,CHO,W (+3),1,38:31,9.0,21.0,.429,0.0,5.0,.000,4,4.0,1.000,4.0,4.0,8.0,1.0,0.0,1.0,4.0,1.0,22.0,11.9,+8,16.0,9.0,0.5625,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,3.0,99.0,5.823529411764706,10.3,97.29999999999998,5.723529411764705
4,5,5,2022-10-28,22-136,NYK,@,MIL,L (-11),1,36:27,7.0,17.0,.412,1.0,7.0,.143,5,8.0,.625,0.0,5.0,5.0,2.0,0.0,0.0,1.0,2.0,20.0,10.8,-8,10.0,6.0,0.6,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,1.0,74.0,4.352941176470588,8.8,75.39999999999999,4.435294117647058
5,6,6,2022-10-30,22-138,NYK,@,CLE,L (-13),1,32:31,6.0,10.0,.600,3.0,4.0,.750,0,0.0,,1.0,4.0,5.0,2.0,0.0,0.0,1.0,3.0,15.0,11.5,-9,6.0,3.0,0.5,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,11.0,64.0,3.764705882352941,11.499999999999996,69.59999999999998,4.094117647058822
6,7,7,2022-11-02,22-141,NYK,,ATL,L (-13),1,33:01,8.0,18.0,.444,2.0,6.0,.333,1,1.0,1.000,1.0,4.0,5.0,5.0,1.0,0.0,2.0,2.0,19.0,13.2,-13,12.0,6.0,0.5,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,9.0,56.0,3.294117647058824,12.799999999999995,52.10000000000001,3.064705882352942
7,8,8,2022-11-04,22-143,NYK,@,PHI,W (+2),1,37:11,8.0,16.0,.500,2.0,8.0,.250,4,6.0,.667,0.0,9.0,9.0,2.0,1.0,0.0,2.0,2.0,22.0,15.5,+1,8.0,6.0,0.75,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,10.0,57.0,3.3529411764705883,13.899999999999997,51.899999999999984,3.052941176470587
8,9,9,2022-11-05,22-144,NYK,,BOS,L (-15),1,36:32,9.0,15.0,.600,3.0,5.0,.600,6,6.0,1.000,0.0,4.0,4.0,4.0,1.0,0.0,6.0,2.0,27.0,18.3,-14,10.0,6.0,0.6,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,9.0,77.0,4.529411764705882,15.899999999999997,79.89999999999999,4.699999999999999
9,10,10,2022-11-07,22-146,NYK,@,MIN,W (+13),1,36:48,7.0,18.0,.389,3.0,7.0,.429,5,6.0,.833,0.0,5.0,5.0,5.0,2.0,0.0,1.0,0.0,22.0,17.8,+4,11.0,4.0,0.3636363636363636,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,9.0,84.0,4.941176470588236,15.800000000000004,80.10000000000001,4.711764705882353
