Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,23-163,LAL,GSW,0,1.8666666666666667,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,+3,0.0,0.0,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,1.0,77.0,3.85,0.3,68.3,3.415,7.4,0.1,-3.4,-2.9,-0.5,0.0009367194004995,0.5,0.889,0.0,0.0,0.0,L (-14),L (-14)
2.0,,2022-10-20,23-165,LAL,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,85.0,4.25,0.0,71.7,3.585,7.4,0.1,-3.4,-2.9,-0.5,0.0009367194004995,0.5,0.889,0.0,0.0,0.0,L (-6),L (-6)
3.0,,2022-10-23,23-168,LAL,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,82.0,4.1,0.0,73.60000000000002,3.680000000000001,7.4,0.1,-3.4,-2.9,-0.5,0.0009367194004995,0.5,0.889,0.0,0.0,0.0,L (-2),L (-2)
4.0,,2022-10-26,23-171,LAL,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,102.0,5.1,0.0,76.89999999999999,3.845,7.4,0.1,-3.4,-2.9,-0.5,0.0009367194004995,0.5,0.889,0.0,0.0,0.0,L (-11),L (-11)
5.0,,2022-10-28,23-173,LAL,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,99.0,4.95,0.0,65.0,3.25,7.4,0.1,-3.4,-2.9,-0.5,0.0009367194004995,0.5,0.889,0.0,0.0,0.0,L (-9),L (-9)
6.0,,2022-10-30,23-175,LAL,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,93.0,4.65,0.0,91.0,4.55,7.4,0.1,-3.4,-2.9,-0.5,0.0009367194004995,0.5,0.889,0.0,0.0,0.0,W (+11),W (+11)
7.0,,2022-11-02,23-178,LAL,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,102.0,5.1,0.0,96.3,4.815,7.4,0.1,-3.4,-2.9,-0.5,0.0009367194004995,0.5,0.889,0.0,0.0,0.0,W (+3),W (+3)
8.0,,2022-11-04,23-180,LAL,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,78.0,3.9,0.0,80.1,4.005,7.4,0.1,-3.4,-2.9,-0.5,0.0009367194004995,0.5,0.889,0.0,0.0,0.0,L (-14),L (-14)
9.0,,2022-11-06,23-182,LAL,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,55.0,2.75,0.0,63.1,3.155,7.4,0.1,-3.4,-2.9,-0.5,0.0009367194004995,0.5,0.889,0.0,0.0,0.0,L (-14),L (-14)
10.0,,2022-11-07,23-183,LAL,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,68.0,3.4,0.0,64.2,3.21,7.4,0.1,-3.4,-2.9,-0.5,0.0009367194004995,0.5,0.889,0.0,0.0,0.0,L (-23),L (-23)
