Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-18,21-342,LAL,GSW,0,1.8666666666666667,0.0,0.0,,0.0,0.0,,2,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,+3,0.0,0.0,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,78.0,4.875,1.2,53.4,3.3375,0.0014571190674437,L (-14),L (-14)
2.0,,2022-10-20,21-344,LAL,LAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,85.0,5.3125,0.0,48.400000000000006,3.0250000000000004,0.0014571190674437,L (-6),L (-6)
3.0,,2022-10-23,21-347,LAL,POR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,82.0,5.125,0.0,56.70000000000001,3.5437500000000006,0.0014571190674437,L (-2),L (-2)
4.0,,2022-10-26,21-350,LAL,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,102.0,6.375,0.0,57.1,3.56875,0.0014571190674437,L (-11),L (-11)
5.0,,2022-10-28,21-352,LAL,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,99.0,6.1875,0.0,48.6,3.0375,0.0014571190674437,L (-9),L (-9)
6.0,,2022-10-30,21-354,LAL,DEN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,93.0,5.8125,0.0,71.8,4.4875,0.0014571190674437,W (+11),W (+11)
7.0,,2022-11-02,21-357,LAL,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,102.0,6.375,0.0,73.30000000000001,4.581250000000001,0.0014571190674437,W (+3),W (+3)
8.0,,2022-11-04,21-359,LAL,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,78.0,4.875,0.0,55.8,3.4875,0.0014571190674437,L (-14),L (-14)
9.0,,2022-11-06,21-361,LAL,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,55.0,3.4375,0.0,43.3,2.70625,0.0014571190674437,L (-14),L (-14)
10.0,2.0,2022-11-07,21-362,LAL,UTA,0,6.483333333333333,0.0,2.0,.000,0.0,0.0,,1,2.0,.500,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,-1.6,0,2.0,0.0,0.0,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-2.0,70.0,4.375,-2.0,56.1,3.50625,0.0014571190674437,L (-23),L (-23)
