Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Scotty Pippen Jr.,Shared Games with Sterling Brown,Shared Games with Thomas Bryant,Shared Games with Tristan Thompson,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel
30,30,,2022-12-19,34-037,LAL,@,PHO,L (-26),Did Not Dress,0.0,,,Did Not Dress,,,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,,,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
31,31,,2022-12-21,34-039,LAL,@,SAC,L (-14),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
32,32,29,2022-12-23,34-041,LAL,,CHO,L (-4),0,24.583333333333332,6.0,12.0,.500,2.0,4.0,.500,3,4,.750,2,3,5,7,1,0,3,2,17,15.0,+8,8.0,4.0,0.5,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
33,33,30,2022-12-25,34-043,LAL,@,DAL,L (-9),0,24.216666666666665,7.0,16.0,.438,2.0,5.0,.400,1,2,.500,0,5,5,4,0,0,0,3,17,11.3,-30,11.0,5.0,0.4545454545454545,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
34,34,31,2022-12-27,34-045,LAL,@,ORL,W (+19),0,29.35,6.0,11.0,.545,1.0,3.0,.333,2,2,1.000,0,13,13,13,0,0,4,3,15,17.5,+18,8.0,5.0,0.625,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
35,35,32,2022-12-28,34-046,LAL,@,MIA,L (-14),0,32.36666666666667,6.0,16.0,.375,2.0,7.0,.286,1,3,.333,1,3,4,8,0,1,3,1,15,9.9,-9,9.0,4.0,0.4444444444444444,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
36,36,33,2022-12-30,34-048,LAL,@,ATL,W (+9),0,29.333333333333332,6.0,12.0,.500,0.0,3.0,.000,2,2,1.000,2,6,8,11,1,1,6,1,14,14.2,+11,9.0,6.0,0.6666666666666666,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
37,37,34,2023-01-02,34-051,LAL,@,CHO,W (+6),0,11.366666666666667,1.0,8.0,.125,0.0,3.0,.000,0,0,,0,4,4,2,0,0,3,1,2,-4.0,+8,5.0,1.0,0.2,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
38,38,35,2023-01-04,34-053,LAL,,MIA,W (+3),0,35.916666666666664,8.0,18.0,.444,2.0,6.0,.333,3,6,.500,1,7,8,9,3,0,7,3,21,14.3,+12,12.0,6.0,0.5,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
39,39,36,2023-01-06,34-055,LAL,,ATL,W (+16),0,30.65,7.0,14.0,.500,2.0,4.0,.500,2,2,1.000,0,11,11,9,2,1,2,3,18,20.1,+15,10.0,5.0,0.5,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
40,40,37,2023-01-07,34-056,LAL,@,SAC,W (+2),0,33.516666666666666,7.0,14.0,.500,2.0,5.0,.400,7,10,.700,1,4,5,15,0,1,4,3,23,22.7,+15,9.0,5.0,0.5555555555555556,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
42,41,38,2023-01-09,34-058,LAL,@,DEN,L (-13),0,30.85,10.0,21.0,.476,1.0,4.0,.250,4,7,.571,1,6,7,7,1,0,7,2,25,13.7,-9,17.0,9.0,0.5294117647058824,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
43,42,39,2023-01-12,34-061,LAL,,DAL,L (-4),0,40.05,10.0,23.0,.435,3.0,6.0,.500,5,8,.625,1,6,7,5,2,0,3,3,28,18.5,+3,17.0,7.0,0.4117647058823529,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
44,43,40,2023-01-15,34-064,LAL,,PHI,L (-1),0,33.983333333333334,7.0,14.0,.500,2.0,5.0,.400,4,5,.800,0,14,14,11,1,1,4,2,20,21.4,+3,9.0,5.0,0.5555555555555556,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
45,44,41,2023-01-16,34-065,LAL,,HOU,W (+8),0,32.18333333333333,9.0,16.0,.563,0.0,3.0,.000,6,8,.750,2,3,5,4,1,0,0,2,24,20.9,+17,13.0,9.0,0.6923076923076923,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
46,45,42,2023-01-18,34-067,LAL,,SAC,L (-5),0,31.883333333333333,8.0,17.0,.471,2.0,5.0,.400,1,4,.250,0,7,7,5,1,0,2,1,19,13.3,+1,12.0,6.0,0.5,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
47,46,43,2023-01-20,34-069,LAL,,MEM,W (+1),0,30.816666666666666,10.0,18.0,.556,2.0,4.0,.500,7,11,.636,3,2,5,6,0,1,4,3,29,21.2,+3,14.0,8.0,0.5714285714285714,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
48,47,44,2023-01-22,34-071,LAL,@,POR,W (+9),0,25.866666666666667,3.0,13.0,.231,0.0,4.0,.000,0,0,,1,7,8,5,0,0,3,2,6,0.6,-13,9.0,3.0,0.3333333333333333,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
49,48,45,2023-01-24,34-073,LAL,,LAC,L (-18),0,24.716666666666665,4.0,13.0,.308,1.0,4.0,.250,8,13,.615,1,0,1,5,2,0,2,1,17,11.3,-11,9.0,3.0,0.3333333333333333,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
50,49,46,2023-01-25,34-074,LAL,,SAS,W (+9),0,27.883333333333333,7.0,15.0,.467,0.0,3.0,.000,0,0,,0,2,2,4,1,0,3,4,14,6.1,-10,12.0,7.0,0.5833333333333334,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
51,50,47,2023-01-28,34-077,LAL,@,BOS,L (-4),0,25.316666666666666,4.0,14.0,.286,0.0,3.0,.000,4,5,.800,2,2,4,7,1,0,5,4,12,4.7,-10,11.0,4.0,0.3636363636363636,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
52,51,48,2023-01-30,34-079,LAL,@,BRK,L (-17),0,29.666666666666668,5.0,15.0,.333,3.0,6.0,.500,4,7,.571,2,6,8,10,1,1,6,2,17,12.4,-10,9.0,2.0,0.2222222222222222,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
53,52,49,2023-01-31,34-080,LAL,@,NYK,W (+6),0,36.21666666666667,7.0,13.0,.538,1.0,4.0,.250,2,5,.400,3,3,6,8,3,0,1,4,17,18.5,-5,9.0,6.0,0.6666666666666666,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
54,53,50,2023-02-02,34-082,LAL,@,IND,W (+1),0,32.15,2.0,16.0,.125,0.0,5.0,.000,6,8,.750,1,2,3,10,0,0,4,2,10,2.3,0,11.0,2.0,0.1818181818181818,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
55,54,51,2023-02-04,34-084,LAL,@,NOP,L (-5),0,22.9,6.0,11.0,.545,2.0,3.0,.667,1,2,.500,2,2,4,4,0,0,2,1,15,11.7,-4,8.0,4.0,0.5,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
56,55,52,2023-02-07,34-087,LAL,,OKC,L (-3),0,28.0,10.0,19.0,.526,4.0,7.0,.571,3,6,.500,0,4,4,8,2,1,6,1,27,19.6,+4,12.0,6.0,0.5,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
57,56,,2023-02-10,34-090,UTA,@,TOR,W (+6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
58,57,,2023-02-11,34-091,UTA,@,NYK,L (-6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
59,58,,2023-02-13,34-093,UTA,@,IND,W (+6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
60,59,,2023-02-15,34-095,UTA,@,MEM,L (-6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
61,60,53,2023-02-24,34-104,LAC,,SAC,L (-1),1,39.45,7.0,13.0,.538,1.0,4.0,.250,2,2,1.000,1,4,5,14,1,0,7,6,17,14.0,+3,9.0,6.0,0.6666666666666666,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
63,61,54,2023-02-26,34-106,LAC,@,DEN,L (-10),1,25.35,6.0,10.0,.600,1.0,2.0,.500,4,4,1.000,0,5,5,4,5,0,2,3,17,18.5,-12,8.0,5.0,0.625,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
64,62,55,2023-02-28,34-108,LAC,,MIN,L (-7),1,27.766666666666666,5.0,11.0,.455,2.0,3.0,.667,2,2,1.000,2,5,7,10,1,0,4,2,14,14.4,-5,8.0,3.0,0.375,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
65,63,56,2023-03-02,34-110,LAC,@,GSW,L (-24),1,27.683333333333334,3.0,12.0,.250,0.0,5.0,.000,2,2,1.000,0,0,0,6,0,0,4,3,8,-0.2,-10,7.0,3.0,0.4285714285714285,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
