Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Scotty Pippen Jr.,Shared Games with Sterling Brown,Shared Games with Thomas Bryant,Shared Games with Tristan Thompson,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel
10,11,10,2022-11-09,33-362,LAL,@,LAC,L (-13),0,29.566666666666666,6.0,15.0,.400,0.0,3.0,.000,2,2,1.000,1,3,4,9,2,0,4,1,14,11.4,-12,12.0,6.0,0.5,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
11,12,11,2022-11-11,33-364,LAL,,SAC,L (-6),0,34.05,6.0,17.0,.353,4.0,7.0,.571,5,6,.833,3,1,4,11,0,0,5,5,21,14.2,-13,10.0,2.0,0.2,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
12,13,12,2022-11-13,34-001,LAL,,BRK,W (+13),0,27.8,4.0,15.0,.267,1.0,6.0,.167,5,6,.833,1,5,6,12,0,1,4,3,14,10.8,-6,9.0,3.0,0.3333333333333333,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
13,14,13,2022-11-18,34-006,LAL,,DET,W (+7),0,30.133333333333333,4.0,13.0,.308,0.0,2.0,.000,2,3,.667,1,4,5,12,0,0,4,2,10,7.6,+11,11.0,4.0,0.3636363636363636,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
14,15,14,2022-11-20,34-008,LAL,,SAS,W (+31),0,21.55,4.0,9.0,.444,2.0,5.0,.400,0,0,,0,4,4,10,1,0,3,2,10,10.7,+14,4.0,2.0,0.5,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
15,16,15,2022-11-22,34-010,LAL,@,PHO,L (-10),0,31.366666666666667,8.0,20.0,.400,2.0,6.0,.333,3,7,.429,1,2,3,5,1,0,1,1,21,13.0,-1,14.0,6.0,0.4285714285714285,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
16,17,16,2022-11-25,34-013,LAL,@,SAS,W (+11),0,19.416666666666668,1.0,7.0,.143,0.0,3.0,.000,1,2,.500,1,3,4,7,2,1,3,3,3,3.1,-2,4.0,1.0,0.25,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
17,18,17,2022-11-26,34-014,LAL,@,SAS,W (+5),0,26.5,4.0,12.0,.333,0.0,3.0,.000,3,6,.500,1,6,7,6,0,1,6,3,11,3.2,-2,9.0,4.0,0.4444444444444444,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
18,19,18,2022-11-28,34-016,LAL,,IND,L (-1),0,27.316666666666666,10.0,18.0,.556,2.0,4.0,.500,2,3,.667,0,4,4,6,1,1,6,1,24,15.7,+1,14.0,8.0,0.5714285714285714,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
19,20,19,2022-11-30,34-018,LAL,,POR,W (+19),0,22.9,4.0,14.0,.286,2.0,6.0,.333,0,2,.000,1,4,5,4,1,0,0,1,10,6.3,+12,8.0,2.0,0.25,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
