Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Sterling Brown,Shared Games with Thomas Bryant,Shared Games with Tristan Thompson,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel
0,1,1,2022-10-18,34-098,LAL,@,GSW,L (-14),1,24.666666666666668,1.0,5.0,.200,1.0,5.0,.200,0,0,,1,1,2,2,4,2,1,5,3,4.7,-5,0.0,0.0,,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
1,2,2,2022-10-20,34-100,LAL,,LAC,L (-6),1,33.03333333333333,1.0,7.0,.143,1.0,6.0,.167,2,2,1.000,1,1,2,1,2,2,2,4,5,2.0,+7,1.0,0.0,0.0,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
2,3,3,2022-10-23,34-103,LAL,,POR,L (-2),1,29.516666666666666,1.0,3.0,.333,1.0,3.0,.333,4,4,1.000,1,3,4,5,1,0,2,3,7,8.2,+7,0.0,0.0,,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
3,4,4,2022-10-26,34-106,LAL,@,DEN,L (-11),1,28.983333333333334,1.0,4.0,.250,0.0,2.0,.000,4,4,1.000,1,3,4,3,1,0,0,3,6,7.1,-9,2.0,1.0,0.5,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
4,5,5,2022-10-28,34-108,LAL,@,MIN,L (-9),1,29.683333333333334,2.0,4.0,.500,0.0,1.0,.000,2,2,1.000,1,5,6,4,0,0,1,3,6,6.8,-23,3.0,2.0,0.6666666666666666,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
5,6,6,2022-10-30,34-110,LAL,,DEN,W (+11),1,21.183333333333334,2.0,5.0,.400,1.0,4.0,.250,0,0,,1,4,5,2,0,0,0,3,5,4.4,-9,1.0,1.0,1.0,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
6,7,7,2022-11-02,34-113,LAL,,NOP,W (+3),1,27.333333333333332,0.0,3.0,.000,0.0,0.0,,0,0,,1,3,4,3,1,0,2,0,0,0.6,+7,3.0,0.0,0.0,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
7,8,8,2022-11-04,34-115,LAL,,UTA,L (-14),1,28.266666666666666,2.0,2.0,1.000,1.0,1.0,1.000,0,0,,1,4,5,1,0,0,0,2,5,6.2,+2,1.0,1.0,1.0,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
8,9,,2022-11-06,34-117,LAL,,CLE,L (-14),Did Not Dress,0.0,,,Did Not Dress,,,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,,,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
9,10,,2022-11-07,34-118,LAL,@,UTA,L (-23),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
